Reaction	EC-Number	In-Pathway	Substrates
(S)-2,3,4,5-tetrahydrodipicolinate + H+ + H2O  <-->  L-alpha-amino-epsilon-keto-pimelate	EC-3.5.99		H<sub>2</sub>O // (<i>S</i>)-2,3,4,5-tetrahydrodipicolinate // H<SUP>+</SUP> // L-&alpha;-amino-&epsilon;-keto-pimelate
4-phosphooxy-L-threonine + 2-oxoglutarate  <-->  (3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate + L-glutamate	EC-2.6.1.52	pyridoxal 5'-phosphate biosynthesis I	2-oxoglutarate // 4-phosphooxy-L-threonine // (3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate // L-glutamate
GTP + AMP  <-->  GDP + ADP	EC-2.7.4.4		AMP // GTP // GDP // ADP
2-aminoprop-2-enoate + H2O  ->  pyruvate + ammonium			H<sub>2</sub>O // 2-aminoprop-2-enoate // pyruvate // ammonium
cob(II)inamide + a [corrinoid adenosyltransferase]  ->  [corrinoid adenosyltranferase]-cob(II)inamide		adenosylcobinamide-GDP salvage from cobinamide I // 2 ATP + 2 cob(II)inamide + a [reduced flavoprotein]  ->  2 adenosylcobinamide + 2 triphosphate + an [oxidized flavoprotein]	a [corrinoid adenosyltransferase] // cob(II)inamide // [corrinoid adenosyltranferase]-cob(II)inamide
L-proline + a ubiquinone[inner membrane]  ->  (S)-1-pyrroline-5-carboxylate + a ubiquinol[inner membrane] + H+	EC-1.5.5.2	proline to cytochrome <i>bo</i> oxidase electron transfer // proline degradation	L-proline // a ubiquinone // a ubiquinol // H<SUP>+</SUP> // (<i>S</i>)-1-pyrroline-5-carboxylate
D-cysteine  ->  hydrogen sulfide + 2-aminoprop-2-enoate		D-cysteine + H2O  ->  ammonium + pyruvate + hydrogen sulfide	D-cysteine // hydrogen sulfide // 2-aminoprop-2-enoate
UDP-alpha-D-glucose + (heptosyl)3-Kdo2-lipid A-phosphate (E. coli)  ->  glucosyl-(heptosyl)3-Kdo2-lipid A-phosphate (E. coli) + UDP + H+	EC-2.4.1	lipid A-core biosynthesis (<i>E. coli</i> K-12)	(heptosyl)<sub>3</sub>-Kdo<sub>2</sub>-lipid A-phosphate (<i>E. coli</i>) // UDP-&alpha;-D-glucose // glucosyl-(heptosyl)<sub>3</sub>-Kdo<sub>2</sub>-lipid A-phosphate (<i>E. coli</i>) // UDP // H<SUP>+</SUP>
3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate + NAD+  ->  3-(2,3-dihydroxyphenyl)propanoate + NADH + H+	EC-1.3.1.87	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	NAD<sup>+</sup> // 3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate // H<SUP>+</SUP> // 3-(2,3-dihydroxyphenyl)propanoate // NADH
(R)-NADHX  ->  (S)-NADHX	EC-5.1.99.6		(<i>R</i>)-NADHX // (<i>S</i>)-NADHX
D-arabinopyranose  <-->  aldehydo-D-arabinose			D-arabinopyranose // <i>aldehydo</i>-D-arabinose
a ribonucleoside 2',3'-cyclic phosphate[periplasm] + H2O[periplasm]  ->  a ribonucleoside 3'-phosphate[periplasm] + H+[periplasm]	EC-3.1.4.16		H<sub>2</sub>O // a ribonucleoside 2',3'-cyclic phosphate // a ribonucleoside 3'-phosphate // H<SUP>+</SUP>
GMP + ATP  <-->  GDP + ADP	EC-2.7.4.8	guanosine ribonucleotides <i>de novo</i> biosynthesis	ATP // GMP // GDP // ADP
alpha-D-glucose 6-phosphate + H2O  ->  alpha-D-glucopyranose + phosphate	EC-3.1.3.58 // EC-3.1.3.9		H<sub>2</sub>O // &alpha;-D-glucose 6-phosphate // &alpha;-D-glucopyranose // phosphate
a uridine55 in tRNA  ->  a pseudouridine55 in tRNA	EC-5.4.99.25		a uridine<sup>55</sup> in tRNA // a pseudouridine<sup>55</sup> in tRNA
(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA + NAD+  ->  3-oxo-(5Z)-tetradecenoyl-CoA + NADH + H+	EC-1.1.1.35 // EC-1.1.1.211	oleate &beta;-oxidation	NAD<sup>+</sup> // (S)-3-hydroxy-(5Z)-tetradecenoyl-CoA // 3-oxo-(5Z)-tetradecenoyl-CoA // NADH // H<SUP>+</SUP>
L-aspartate  <-->  ammonium + fumarate	EC-4.3.1.1	L-aspartate degradation III (anaerobic) // L-aspartate degradation II (aerobic) // superpathway of L-aspartate and L-asparagine biosynthesis // L-glutamate degradation II	L-aspartate // ammonium // fumarate
L-glutamate-5-semialdehyde + NADP+ + phosphate  <-  gamma-L-glutamyl 5-phosphate + NADPH + H+	EC-1.2.1.41	L-proline biosynthesis I (from L-glutamate)	NADP<sup>+</sup> // phosphate // L-glutamate-5-semialdehyde // &gamma;-L-glutamyl 5-phosphate // NADPH // H<SUP>+</SUP>
D-mannopyranose + ATP  ->  D-mannopyranose 6-phosphate + ADP + H+	EC-2.7.1.7		ATP // D-mannopyranose // D-mannopyranose 6-phosphate // ADP // H<SUP>+</SUP>
L-threonine + NAD+  ->  L-2-amino-3-oxobutanoate + NADH + H+	EC-1.1.1.103	L-threonine + NAD+  ->  aminoacetone + CO2 + NADH // L-threonine degradation II // L-threonine degradation III (to methylglyoxal)	NAD<sup>+</sup> // L-threonine // L-2-amino-3-oxobutanoate // NADH // H<SUP>+</SUP>
dimethyl sulfide[periplasm] + a menaquinone[inner membrane] + H2O[periplasm]  <-  dimethyl sulfoxide[periplasm] + a menaquinol[inner membrane]	EC-1.8.5.3	hydrogen to dimethyl sulfoxide electron transfer // formate to dimethyl sulfoxide electron transfer // NADH to dimethyl sulfoxide electron transfer	H<sub>2</sub>O // dimethyl sulfide // a menaquinone // a menaquinol // dimethyl sulfoxide
beta-nicotinamide D-ribonucleotide + H2O  ->  D-ribofuranose 5-phosphate + nicotinamide + H+	EC-3.2.2.14 // EC-3.2.2.6	NAD salvage pathway I (PNC VI cycle)	&beta;-nicotinamide D-ribonucleotide // H<sub>2</sub>O // D-ribofuranose 5-phosphate // nicotinamide // H<SUP>+</SUP>
aldehydo-D-galacturonate  <-->  D-tagaturonate	EC-5.3.1.12	D-galacturonate degradation I	<i>aldehydo</i>-D-galacturonate // D-tagaturonate
D-sedoheptulose 1,7-bisphosphate  <-->  glycerone phosphate + D-erythrose 4-phosphate	EC-4.1.2.13	sedoheptulose bisphosphate bypass	D-sedoheptulose 1,7-bisphosphate // glycerone phosphate // D-erythrose 4-phosphate
a tRNAIle + L-isoleucine + ATP  ->  an L-isoleucyl-[tRNAIle] + AMP + diphosphate	EC-6.1.1.5	tRNA charging	ATP // L-isoleucine // a tRNA<SUP>Ile</SUP> // an L-isoleucyl-[tRNA<SUP>Ile</SUP>] // diphosphate // AMP
S-adenosyl-L-methionine + an adenine in DNA  ->  S-adenosyl-L-homocysteine + an N6-methyladenine in DNA + H+	EC-2.1.1.72		an adenine in DNA // <i>S</i>-adenosyl-L-methionine // <i>S</i>-adenosyl-L-homocysteine // an <i>N<sup>6</sup></i>-methyladenine in DNA // H<SUP>+</SUP>
(R)-2,3-dihydroxy-3-methylpentanoate + NADP+  <-  (S)-2-aceto-2-hydroxybutanoate + NADPH + H+	EC-1.1.1.86	L-isoleucine biosynthesis I (from threonine)	NADP<sup>+</sup> // (<i>R</i>)-2,3-dihydroxy-3-methylpentanoate // H<SUP>+</SUP> // (<i>S</i>)-2-aceto-2-hydroxybutanoate // NADPH
xanthosine + H2O  ->  D-ribofuranose + xanthine	EC-3.2.2.1		H<sub>2</sub>O // xanthosine // D-ribofuranose // xanthine
dihydrocurcumin + NADPH + H+  ->  tetrahydrocurcumin + NADP+		curcumin degradation	H<SUP>+</SUP> // NADPH // dihydrocurcumin // tetrahydrocurcumin // NADP<sup>+</sup>
L-alanine  <-->  D-alanine	EC-5.1.1.10 // EC-5.1.1.1	alanine racemization // L-alanine degradation I	L-alanine // D-alanine
3-oxo-palmitoyl-[acyl-carrier protein] reductase	EC-1.1.1.100	palmitate biosynthesis II (type II fatty acid synthase)	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxyhexadecanoyl-[acp] // a 3-oxohexadecanoyl-[acp] // NADPH // H<SUP>+</SUP>
beta-D-ribofuranose  <-->  aldehydo-D-ribose			&beta;-D-ribofuranose // <i>aldehydo</i>-D-ribose
hydrogen peroxide[periplasm] + a menaquinol[inner membrane]  ->  a menaquinone[inner membrane] + 2 H2O[periplasm]	EC-1.11.1	NADH to hydrogen peroxide electron transfer // glycerol-3-phosphate to hydrogen peroxide electron transport	hydrogen peroxide // a menaquinol // a menaquinone // H<sub>2</sub>O
ITP + H2O  ->  IMP + diphosphate + H+	EC-3.6.1.66 // EC-3.6.1.9		H<sub>2</sub>O // ITP // H<SUP>+</SUP> // IMP // diphosphate
a [protein]-L-lysine + acetyl-CoA  <-->  a [protein]-N6-acetyl-L-lysine + coenzyme A + H+	EC-2.3.1		acetyl-CoA // a [protein]-L-lysine // a [protein]-<i>N</i><sup>6</sup>-acetyl-L-lysine // coenzyme A // H<SUP>+</SUP>
oleoyl-CoA + an oxidized electron-transfer flavoprotein + H+  ->  (2E,9Z)-octadecenoyl-CoA + a reduced electron-transfer flavoprotein	EC-1.3.8.8	oleate &beta;-oxidation	H<SUP>+</SUP> // an oxidized electron-transfer flavoprotein // oleoyl-CoA // (2E,9Z)-octadecenoyl-CoA // a reduced electron-transfer flavoprotein
N-acetyl-alpha-neuraminate  <-->  N-acetyl-beta-neuraminate	EC-5.1.3.24		<i>N</i>-acetyl-&alpha;-neuraminate // <i>N</i>-acetyl-&beta;-neuraminate
an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a [bis(guanylyl molybdopterin) cofactor chaperone]-L-cysteine  ->  an [L-cysteine desulfurase]-L-cysteine + a [bis(guanylyl molybdopterin) cofactor chaperone]-S-sulfanyl-L-cysteine		L-cysteine + a [bis(guanylyl molybdopterin) cofactor chaperone]-L-cysteine  ->  L-alanine + a [bis(guanylyl molybdopterin) cofactor chaperone]-S-sulfanyl-L-cysteine	a [<i>bis</i>(guanylyl molybdopterin) cofactor chaperone]-L-cysteine // an [L-cysteine desulfurase]-<i>S</i>-sulfanyl-L-cysteine // an [L-cysteine desulfurase]-L-cysteine // a [<i>bis</i>(guanylyl molybdopterin) cofactor chaperone]-<i>S</i>-sulfanyl-L-cysteine
GMP + H2O  ->  guanine + D-ribose 5-phosphate	EC-3.2.2		H<sub>2</sub>O // GMP // guanine // D-ribose 5-phosphate
a [ThiI sulfur-carrier protein]-S-sulfanyl-L-cysteine + a carboxy-adenylated-[ThiS sulfur-carrier protein] + 2 a reduced ferredoxin [iron-sulfur] cluster  ->  a thiocarboxylated-[ThiS sulfur-carrier protein] + a [ThiI sulfur-carrier protein]-L-cysteine + AMP + 2 an oxidized ferredoxin [iron-sulfur] cluster	EC-2.8.1	thiazole component of thiamine diphosphate biosynthesis I	a reduced ferredoxin [iron-sulfur] cluster // a carboxy-adenylated-[ThiS sulfur-carrier protein] // a [ThiI sulfur-carrier protein]-<i>S</i>-sulfanyl-L-cysteine // a thiocarboxylated-[ThiS sulfur-carrier protein] // a [ThiI sulfur-carrier protein]-L-cysteine // AMP // an oxidized ferredoxin [iron-sulfur] cluster
[a protein chain elongation factor EF-P]-N-(beta-L-lysyl)-L-lysine34 + NADPH + dioxygen + H+  ->  a [protein chain elongation factor EF-P]-N-(beta-lysyl)-5-hydroxy-L-lysine34 + NADP+ + H2O	EC-1.14.13		H<SUP>+</SUP> // NADPH // dioxygen // [a protein chain elongation factor EF-P]-<i>N</i>-(&beta;-L-lysyl)-L-lysine<sup>34</sup> // a [protein chain elongation factor EF-P]-<i>N</i>-(&beta;-lysyl)-5-hydroxy-L-lysine<sup>34</sup> // H<sub>2</sub>O // NADP<sup>+</sup>
prenyl phosphate + FMNH2  ->  prenylated FMNH2 + phosphate	EC-2.5.1.129	prenylated FMNH<sub>2</sub> biosynthesis	prenyl phosphate // FMNH<SUB>2</SUB> // prenylated FMNH<sub>2</sub> // phosphate
a 1-palmitoyl-2-acyl-phosphatidylserine[periplasm] + lipid A-core oligosaccharide (E. coli K-12 core type)[periplasm]  ->  a hepta-acylated core oligosaccharide lipid A (E. coli K-12 type)[periplasm] + a 1-lysophosphatidylserine[periplasm]	EC-2.3.1.251		lipid A-core oligosaccharide (<i>E. coli</i> K-12 core type) // a 1-palmitoyl-2-acyl-phosphatidylserine // a hepta-acylated core oligosaccharide lipid A (<i>E. coli</i> K-12 type) // a 1-lysophosphatidylserine
hypoxanthine + NAD+ + H2O  ->  xanthine + NADH + H+	EC-1.17.1.4	adenosine nucleotides degradation II	H<sub>2</sub>O // NAD<sup>+</sup> // hypoxanthine // xanthine // NADH // H<SUP>+</SUP>
quercetin + dioxygen  ->  2-protocatechuoylphloroglucinolcarboxylate + carbon monoxide	EC-1.13.11.24		dioxygen // quercetin // 2-protocatechuoylphloroglucinolcarboxylate // carbon monoxide
5-hydroxy-CTP + H2O  ->  5-hydroxy-CMP + diphosphate + H+	EC-3.6.1	pyrimidine deoxyribonucleotides dephosphorylation	H<sub>2</sub>O // 5-hydroxy-CTP // 5-hydroxy-CMP // diphosphate // H<SUP>+</SUP>
isocitrate dehydrogenase (NADP<small><sup>+</sup></small>)		D-threo-isocitrate + NADP+  <-->  2-oxoglutarate + CO2 + NADPH	NADP<sup>+</sup> // D-<i>threo</i>-isocitrate // oxalosuccinate // NADPH // H<SUP>+</SUP>
a (3R,5Z)-3-hydroxydodec-5-enoyl-[acp]  ->  a (2E,5Z)-dodeca-3,5-dienoyl-[acp] + H2O	EC-4.2.1.59	(5Z)-dodecenoate biosynthesis I	a (3<i>R</i>,5<i>Z</i>)-3-hydroxydodec-5-enoyl-[acp] // H<sub>2</sub>O // a (2<i>E</i>,5<i>Z</i>)-dodeca-3,5-dienoyl-[acp]
a queuosine34 in tRNA + an oxidized electron carrier + H2O  <-  an epoxyqueuosine34 in tRNA + a reduced two electron carrier	EC-1.17.99.6	queuosine biosynthesis I (<i>de novo</i>)	H<sub>2</sub>O // an oxidized electron carrier // a queuosine<sup>34</sup> in tRNA // an epoxyqueuosine<sup>34</sup> in tRNA // a reduced two electron carrier
an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a [molybdopterin synthase sulfurtransferase]-L-cysteine  ->  an [L-cysteine desulfurase]-L-cysteine + a [molybdopterin synthase sulfurtransferase]-S-sulfanyl-L-cysteine		L-cysteine + a [molybdopterin synthase sulfurtransferase]-L-cysteine  ->  L-alanine + a [molybdopterin synthase sulfurtransferase]-S-sulfanyl-L-cysteine	a [molybdopterin synthase sulfurtransferase]-L-cysteine // an [L-cysteine desulfurase]-<i>S</i>-sulfanyl-L-cysteine // an [L-cysteine desulfurase]-L-cysteine // a [molybdopterin synthase sulfurtransferase]-<i>S</i>-sulfanyl-L-cysteine
a purine ribonucleoside + phosphate  <-->  a purine base + alpha-D-ribose-1-phosphate	EC-2.4.2.1		phosphate // a purine ribonucleoside // a purine base // &alpha;-D-ribose-1-phosphate
2-iminoacetate + H+ + H2O  ->  glyoxylate + ammonium			H<sub>2</sub>O // 2-iminoacetate // H<SUP>+</SUP> // glyoxylate // ammonium
alpha-D-ribose 5-phosphate  ->  aldehydo-D-ribose 5-phosphate			&alpha;-D-ribose 5-phosphate // <i>aldehydo</i>-D-ribose 5-phosphate
D-arabinopyranose  <-->  D-ribulose	EC-5.3.1.3	D-arabinose degradation II	D-arabinopyranose // D-ribulose
1-(5-phospho-beta-D-ribosyl)-ATP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-AMP + diphosphate + H+	EC-3.6.1.31	L-histidine biosynthesis	H<sub>2</sub>O // 1-(5-phospho-&beta;-D-ribosyl)-ATP // 1-(5-phospho-&beta;-D-ribosyl)-AMP // diphosphate // H<SUP>+</SUP>
D-glucopyranose + ATP  ->  D-glucopyranose 6-phosphate + ADP + H+	EC-2.7.1.1 // EC-2.7.1.2	glycogen degradation I // trehalose degradation I (low osmolarity) // trehalose degradation II (cytosolic) // glucose and glucose-1-phosphate degradation	ATP // D-glucopyranose // D-glucopyranose 6-phosphate // ADP // H<SUP>+</SUP>
aldehydo-D-xylose  <-->  D-xylopyranose			<i>aldehydo</i>-D-xylose // D-xylopyranose
L-valine + 2-oxoglutarate  <-->  3-methyl-2-oxobutanoate + L-glutamate	EC-2.6.1.42	L-alanine biosynthesis I // L-valine biosynthesis	2-oxoglutarate // L-valine // 3-methyl-2-oxobutanoate // L-glutamate
L-serine + a tetrahydrofolate  <-->  glycine + a 5,10-methylenetetrahydrofolate + H2O	EC-2.1.2.1	folate transformations III (<i>E. coli</i>) // folate polyglutamylation // glycine biosynthesis I	a tetrahydrofolate // L-serine // glycine // a 5,10-methylenetetrahydrofolate // H<sub>2</sub>O
(S)-4-hydroxy-2-oxopentanoate  <-->  acetaldehyde + pyruvate	EC-4.1.3.39	2-hydroxypenta-2,4-dienoate degradation	(<i>S</i>)-4-hydroxy-2-oxopentanoate // acetaldehyde // pyruvate
a beta-D glucoside[periplasm] + H2O[periplasm]  ->  a non glucosylated D-glucose acceptor[periplasm] + D-glucopyranose[periplasm]	EC-3.2.1.21		H<sub>2</sub>O // a &beta;-D glucoside // a non glucosylated D-glucose acceptor // D-glucopyranose
oxaloacetate + H+  ->  pyruvate + CO2	EC-4.1.1.112	(S)-malate + NADP+  ->  CO2 + pyruvate + NADPH // (S)-malate + NAD+  ->  CO2 + pyruvate + NADH	oxaloacetate // H<SUP>+</SUP> // pyruvate // CO<SUB>2</SUB>
D-gluconate + NADP+  <-  2-keto-D-gluconate + NADPH + H+	EC-1.1.1.215	ketogluconate metabolism	D-gluconate // NADP<sup>+</sup> // H<SUP>+</SUP> // 2-keto-D-gluconate // NADPH
(S)-lactaldehyde + NAD+ + H2O  ->  (S)-lactate + NADH + 2 H+	EC-1.2.1.22	L-lactaldehyde degradation (aerobic)	(<i>S</i>)-lactaldehyde // NAD<sup>+</sup> // H<sub>2</sub>O // H<SUP>+</SUP> // NADH // (<i>S</i>)-lactate
N2-succinylglutamate + H2O  ->  succinate + L-glutamate	EC-3.5.1.96	L-arginine degradation II (AST pathway)	H<sub>2</sub>O // N<SUP>2</SUP>-succinylglutamate // succinate // L-glutamate
beta-nicotinamide D-ribonucleotide + ATP + H+  ->  NAD+ + diphosphate	EC-2.7.7.1	NAD salvage pathway IV (from nicotinamide riboside)	ATP // &beta;-nicotinamide D-ribonucleotide // H<SUP>+</SUP> // NAD<sup>+</sup> // diphosphate
4-amino-4-deoxychorismate  ->  4-aminobenzoate + pyruvate + H+	EC-4.1.3.38	4-aminobenzoate biosynthesis I	4-amino-4-deoxychorismate // H<SUP>+</SUP> // 4-aminobenzoate // pyruvate
2 glutathione + an oxidized glutaredoxin  ->  glutathione disulfide + a reduced glutaredoxin		2 glutathione + a protein with a disulfide bond  ->  glutathione disulfide + a protein with reduced L-cysteine residues // 2 glutathione + S-sulfo-L-cysteine  ->  glutathione disulfide + L-cysteine + sulfite + H+ // L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine) // glutathione-glutaredoxin redox reactions	an oxidized glutaredoxin // glutathione // glutathione disulfide // a reduced glutaredoxin
L-methionine + acetyl-CoA  ->  N-acetyl-L-methionine + coenzyme A + H+	EC-2.3.1.1		acetyl-CoA // L-methionine // <i>N</i>-acetyl-L-methionine // coenzyme A // H<SUP>+</SUP>
Aliphatic-amine oxidase	EC-1.4.3.21		dioxygen // H<sub>2</sub>O // an aliphatic amine // an aldehyde // ammonium // hydrogen peroxide
formate + CTP + H+  ->  dCTP + CO2 + H2O	EC-1.1.98.6	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	H<SUP>+</SUP> // CTP // formate // dCTP // CO<SUB>2</SUB> // H<sub>2</sub>O
sn-glycerol 3-phosphate + NADP+  <-  L-glyceraldehyde 3-phosphate + NADPH + H+	EC-1.1.1		NADP<sup>+</sup> // <i>sn</i>-glycerol 3-phosphate // H<SUP>+</SUP> // L-glyceraldehyde 3-phosphate // NADPH
a (6S)-5-formyltetrahydrofolate + ATP  ->  a 5,10-methenyltetrahydrofolate + ADP + phosphate	EC-6.3.3.2	folate transformations III (<i>E. coli</i>)	ATP // a (6<i>S</i>)-5-formyltetrahydrofolate // a 5,10-methenyltetrahydrofolate // ADP // phosphate
N-methyl-L-tryptophan + dioxygen + H2O  ->  L-tryptophan + hydrogen peroxide + formaldehyde	EC-1.5.3.2		<I>N</I>-methyl-L-tryptophan // H<sub>2</sub>O // dioxygen // L-tryptophan // hydrogen peroxide // formaldehyde
(2E)-5-carboxy-2-pentenoyl-CoA + acetyl-CoA  <-  3-oxo-5,6-didehydrosuberyl-CoA + coenzyme A	EC-2.3.1.223	phenylacetate degradation I (aerobic)	acetyl-CoA // (2<i>E</i>)-5-carboxy-2-pentenoyl-CoA // 3-oxo-5,6-didehydrosuberyl-CoA // coenzyme A
acyl-carrier protein + acetyl-CoA  <-->  an acetyl-[acp] + coenzyme A	EC-2.3.1.38	fatty acid biosynthesis initiation II	acetyl-CoA // a soluble [acyl-carrier protein] // an acetyl-[acp] // coenzyme A
2 L-glutamate + NADP+  <-  L-glutamine + 2-oxoglutarate + NADPH + H+	EC-1.4.1.13		NADP<sup>+</sup> // L-glutamate // H<SUP>+</SUP> // L-glutamine // 2-oxoglutarate // NADPH
antimonous acid  <-->  antimonite + 3 H+			antimonous acid // antimonite // H<SUP>+</SUP>
XTP + H2O  ->  XMP + diphosphate + H+	EC-3.6.1.66		H<sub>2</sub>O // XTP // H<SUP>+</SUP> // XMP // diphosphate
NADPH + H2O  ->  (S)-NADPHX			H<sub>2</sub>O // NADPH // (<i>S</i>)-NADPHX
a 5-hydroxyuridine34 in tRNA + S-adenosyl-S-carboxymethyl-L-homocysteine  ->  a 5-(carboxymethoxy)uridine34 in tRNA + S-adenosyl-L-homocysteine + H+		5-(methoxycarbonylmethoxy)uridine biosynthesis	<i>S</i>-adenosyl-<i>S</i>-carboxymethyl-L-homocysteine // a 5-hydroxyuridine<sup>34</sup> in tRNA // a 5-(carboxymethoxy)uridine<sup>34</sup> in tRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>
S-adenosyl-L-methionine + 4,5-secobiotin  ->  biotin + 5'-deoxyadenosine + L-methionine + H+		biotin biosynthesis from 8-amino-7-oxononanoate I // 2 S-adenosyl-L-methionine + a sulfurated [sulfur carrier] + dethiobiotin + 2 a reduced [2Fe-2S] ferredoxin  ->  an unsulfurated [sulfur carrier] + biotin + 2 5'-deoxyadenosine + 2 L-methionine + 2 an oxidized [2Fe-2S] ferredoxin	4,5-secobiotin // <i>S</i>-adenosyl-L-methionine // biotin // 5'-deoxyadenosine // L-methionine // H<SUP>+</SUP>
an N1-methyladenine in RNA + 2-oxoglutarate + dioxygen  ->  an adenine in RNA + CO2 + formaldehyde + succinate	EC-1.14.11.54		dioxygen // 2-oxoglutarate // an <i>N</i><sup>1</sup>-methyladenine in RNA // an adenine in RNA // CO<SUB>2</SUB> // formaldehyde // succinate
(S)-propane-1,2-diol + NAD+  <-->  hydroxyacetone + NADH + H+		methylglyoxal degradation III	NAD<sup>+</sup> // (<i>S</i>)-propane-1,2-diol // hydroxyacetone // NADH // H<SUP>+</SUP>
