Reaction	EC-Number	In-Pathway	Substrates
(S)-nicotine + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  2'-hydroxynicotine + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.1	nicotine degradation IV	dioxygen // a reduced [NADPH-hemoprotein reductase] // (<i>S</i>)-nicotine // 2'-hydroxynicotine // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O
UDP-alpha-D-galactose + an N-acylsphingosine  ->  a beta-D-galactosyl-N-acylsphingosine + UDP + H+	EC-2.4.1.47	gala-series glycosphingolipids biosynthesis	an <i>N</i>-acylsphingosine // UDP-&alpha;-D-galactose // a &beta;-D-galactosyl-<i>N</i>-acylsphingosine // UDP // H<SUP>+</SUP>
3,5-diiodothyronamine + a reduced two electron carrier  ->  3-iodothyronamine + iodide + an oxidized electron carrier + H+		thyronamine and iodothyronamine metabolism	a reduced two electron carrier // 3,5-diiodothyronamine // 3-iodothyronamine // an oxidized electron carrier // iodide // H<SUP>+</SUP>
(3R)-3-hydroxyoctacosanoyl-CoA  ->  trans-octacos-2-enoyl-CoA + H2O	EC-4.2.1.134	ultra-long-chain fatty acid biosynthesis	(3<i>R</i>)-3-hydroxyoctacosanoyl-CoA // <i>trans</i>-octacos-2-enoyl-CoA // H<sub>2</sub>O
(Z,Z)-bilirubin-IX alpha + NAD(P)+  <-  (Z,Z)-biliverdin-IX alpha + NAD(P)H + H+	EC-1.3.1.24	heme degradation I	(<i>Z,Z</i>)-bilirubin-IX &alpha; // NAD(P)<sup>+</sup> // (<i>Z,Z</i>)-biliverdin-IX &alpha; // NAD(P)H // H<SUP>+</SUP>
dopaquinone + L-cysteine  ->  5-S-cysteinyldopa			L-cysteine // dopaquinone // 5-<i>S</i>-cysteinyldopa
a 5-methyltetrahydrofolate + NADP+  <-  a 5,10-methylenetetrahydrofolate + NADPH + H+	EC-1.5.1.53	folate transformations I	NADP<sup>+</sup> // a 5-methyltetrahydrofolate // a 5,10-methylenetetrahydrofolate // NADPH // H<SUP>+</SUP>
tetraiodothyroacetate + UDP-alpha-D-glucuronate  ->  tetraiodothyroacetate ether glucuronide + UDP + H+	EC-2.4.1.17	thyroid hormone metabolism II (via conjugation and/or degradation)	UDP-&alpha;-D-glucuronate // tetraiodothyroacetate // H<SUP>+</SUP> // tetraiodothyroacetate ether glucuronide // UDP
hypoglycin A + glutathione  ->  hypoglycin B + L-cysteinylglycine	EC-2.3.2.2		glutathione // hypoglycin A // hypoglycin B // L-cysteinylglycine
glycerol + ATP  ->  sn-glycerol 3-phosphate + ADP + H+	EC-2.7.1.30	glycerol degradation	ATP // glycerol // H<SUP>+</SUP> // <i>sn</i>-glycerol 3-phosphate // ADP
CMP-N-acetyl-beta-neuraminate + a type 2 histo-blood group antigen precursor disaccharide  ->  an N-acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R + CMP + H+	EC-2.4.3.6	terminal <i>O</i>-glycans residues modification (via type 2 precursor disaccharide) // ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide	a type 2 histo-blood group antigen precursor disaccharide // CMP-<i>N</i>-acetyl-&beta;-neuraminate // an <i>N</i>-acetyl-&alpha;-neuraminyl-(2&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R // CMP // H<SUP>+</SUP>
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate + dioxygen  ->  5(S)-HpEPE	EC-1.13.11.34	icosapentaenoate metabolites biosynthesis	(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate // dioxygen // 5(<i>S</i>)-HpEPE
UDP-N-acetyl-alpha-D-galactosamine + an H type 1 histo-blood group antigen  ->  an A type 1 histo-blood group antigen + UDP + H+	EC-2.4.1.40	ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide	an H type 1 histo-blood group antigen // UDP-<i>N</i>-acetyl-&alpha;-D-galactosamine // an A type 1 histo-blood group antigen // UDP // H<SUP>+</SUP>
bupropion + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  hydroxybupropion + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.1	bupropion degradation	dioxygen // a reduced [NADPH-hemoprotein reductase] // bupropion // hydroxybupropion // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O
(9Z,15Z)-12,13-epoxy-octadeca-9,15-dienoate + H2O  ->  12,13-DiHODE	EC-3.3.2.10		H<sub>2</sub>O // (9Z,15Z)-12,13-epoxy-octadeca-9,15-dienoate // 12,13-DiHODE
alpha-D-mannose 1-phosphate + GDP + H+  ->  GDP-alpha-D-mannose + phosphate	EC-2.7.7.22		GDP // &alpha;-D-mannose 1-phosphate // H<SUP>+</SUP> // GDP-&alpha;-D-mannose // phosphate
(3R)-3-hydroxyhexatriacontanoyl-CoA  ->  trans-hexatriaconta-2-enoyl-CoA + H2O	EC-4.2.1.134	ultra-long-chain fatty acid biosynthesis	(3<i>R</i>)-3-hydroxyhexatriacontanoyl-CoA // <i>trans</i>-hexatriaconta-2-enoyl-CoA // H<sub>2</sub>O
L-tyrosine + a 5,6,7,8-tetrahydropteridine + dioxygen  ->  L-dopa + a 4a-hydroxytetrahydropteridine	EC-1.14.16.2	catecholamine biosynthesis	dioxygen // a 5,6,7,8-tetrahydropteridine // L-tyrosine // L-dopa // a 4a-hydroxytetrahydropteridine
S-adenosyl-L-methionine + an N1-methylguanine37 in tRNAPhe + pyruvate  ->  4-demethylwyosine37 in tRNAPhe + L-methionine + 5'-deoxyadenosine + CO2 + H2O	EC-4.1.3.44	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	pyruvate // an <i>N</i><sup>1</sup>-methylguanine<sup>37</sup> in tRNA<sup>Phe</sup> // <i>S</i>-adenosyl-L-methionine // 4-demethylwyosine<sup>37</sup> in tRNA<sup>Phe</sup> // L-methionine // 5'-deoxyadenosine // CO<SUB>2</SUB> // H<sub>2</sub>O
S-adenosyl-L-methionine + a catechol  ->  a guaiacol + S-adenosyl-L-homocysteine + H+	EC-2.1.1.6		a catechol // <i>S</i>-adenosyl-L-methionine // a guaiacol // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>
(2Z,4E)-2-amino-6-oxohexa-2,4-dienoate  ->  picolinate + H2O + H+		L-tryptophan degradation XI (mammalian, via kynurenine)	(2Z,4E)-2-amino-6-oxohexa-2,4-dienoate // picolinate // H<sub>2</sub>O // H<SUP>+</SUP>
Nomega-phosphocreatine  ->  creatinine + phosphate			<i>N</i><sup>&omega;</sup>-phosphocreatine // creatinine // phosphate
glycolate + NADP+  <-  glyoxylate + NADPH + H+	EC-1.1.1.79		NADP<sup>+</sup> // glycolate // H<SUP>+</SUP> // NADPH // glyoxylate
(-)-limonene 6-monooxygenase	EC-1.14.13		H<SUP>+</SUP> // NADPH // dioxygen // (4<i>S</i>)-limonene // (-)-<i>cis</i>-carveol // H<sub>2</sub>O // NADP<sup>+</sup>
14(15)-EpETE + H2O  ->  14,15-diHETE	EC-3.3.2.10	icosapentaenoate metabolites biosynthesis	H<sub>2</sub>O // 14(15)-EpETE // 14,15-diHETE
a 1-phosphatidyl-1D-myo-inositol 3-phosphate + ATP  ->  1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate + ADP + H+	EC-2.7.1.150	3-phosphoinositide biosynthesis	ATP // a 1-phosphatidyl-1D-myo-inositol 3-phosphate // 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate // ADP // H<SUP>+</SUP>
squalene synthase		epoxysqualene biosynthesis // 2 (2E,6E)-farnesyl diphosphate + NAD(P)H + H+  =  squalene + NAD(P)+ + 2 diphosphate	H<SUP>+</SUP> // NAD(P)H // presqualene diphosphate // squalene // NAD(P)<sup>+</sup> // diphosphate
a ganglioside GA2 + UDP-alpha-D-galactose  ->  a ganglioside GA1 + UDP + H+	EC-2.4.1.62	ganglio-series glycosphingolipids biosynthesis	UDP-&alpha;-D-galactose // a ganglioside GA2 // a ganglioside GA1 // UDP // H<SUP>+</SUP>
a methylated nucleobase within DNA + 2-oxoglutarate + dioxygen  ->  a nucleobase within DNA + CO2 + formaldehyde + succinate	EC-1.14.11.33		2-oxoglutarate // dioxygen // a methylated nucleobase within DNA // a nucleobase within DNA // CO<SUB>2</SUB> // formaldehyde // succinate
docosanoyl-CoA + sphinganine  ->  N-(docosanoyl)-sphinganine + coenzyme A + H+	EC-2.3.1.297		sphinganine // docosanoyl-CoA // <i>N</i>-(docosanoyl)-sphinganine // coenzyme A // H<SUP>+</SUP>
aldehydo-D-ribose  <-->  D-ribofuranose			<i>aldehydo</i>-D-ribose // D-ribofuranose
xanthine + dioxygen + H2O  ->  hydrogen peroxide + urate	EC-1.17.3.2		xanthine // H<sub>2</sub>O // dioxygen // hydrogen peroxide // urate
phenylethylamine oxidase	EC-1.4.3.21 // EC-1.4.3.4	phenylethylamine degradation I	H<sub>2</sub>O // dioxygen // 2-phenylethylamine // phenylacetaldehyde // ammonium // hydrogen peroxide
an acylcholine + H2O  ->  choline + a carboxylate + H+	EC-3.1.1.8		an acylcholine // H<sub>2</sub>O // choline // a carboxylate // H<SUP>+</SUP>
a deacetylated heparosan-[core protein] + 3'-phosphoadenylyl-sulfate  ->  a heparan sulfate containing alpha-D-N-sulfoglucosamine + adenosine 3',5'-bisphosphate	EC-2.8.2.8	heparan sulfate biosynthesis	3'-phosphoadenylyl-sulfate // a deacetylated heparosan-[core protein] // a heparan sulfate containing &alpha;-D-<i>N</i>-sulfoglucosamine // adenosine 3',5'-bisphosphate
dimethylarsinous acid + glutathione  ->  dimethylarsino-glutathione + H2O		arsenic detoxification (mammals)	glutathione // dimethylarsinous acid // dimethylarsino-glutathione // H<sub>2</sub>O
18-HEPE + dioxygen  ->  resolvin E1		icosapentaenoate metabolites biosynthesis	dioxygen // 18-HEPE // resolvin E1
a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + H2O  ->  a 1-phosphatidyl-1D-myo-inositol 5-phosphate + phosphate	EC-3.1.3.78	3-phosphoinositide degradation // D-<i>myo</i>-inositol-5-phosphate metabolism	H<sub>2</sub>O // a 1-phosphatidyl-1D-<i>myo</i>-inositol 4,5-bisphosphate // a 1-phosphatidyl-1D-myo-inositol 5-phosphate // phosphate
5alpha-cholesta-7,24-dien-3beta-ol  <-->  zymosterol	EC-5.3.3.5	cholesterol biosynthesis I // cholesterol biosynthesis III (via desmosterol)	5&alpha;-cholesta-7,24-dien-3&beta;-ol // zymosterol
a CDP-diacylglycerol + myo-inositol  ->  a 1-phosphatidyl-1D-myo-inositol + CMP + H+	EC-2.7.8.11	3-phosphoinositide biosynthesis // D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	<I>myo</I>-inositol // a CDP-diacylglycerol // a 1-phosphatidyl-1D-<i>myo</i>-inositol // CMP // H<SUP>+</SUP>
GDP-beta-L-fucose + SSEA-3  ->  globo H + GDP + H+	EC-2.4.1	globo-series glycosphingolipids biosynthesis	SSEA-3 // GDP-&beta;-L-fucose // globo H // GDP // H<SUP>+</SUP>
a 1-arachidonoyl-2-acyl-sn-glycero-3-phosphocholine + a phosphatidylethanolamine  ->  an N-arachidonoyl-phosphatidylethanolamine + a 1-lysophosphatidylcholine + H+	EC-2.3.1	anandamide biosynthesis I	a phosphatidylethanolamine // a 1-arachidonoyl-2-acyl-<i>sn</i>-glycero-3-phosphocholine // an <i>N</i>-arachidonoyl-phosphatidylethanolamine // a 1-lysophosphatidylcholine // H<SUP>+</SUP>
L-cysteine  =  2-aminoprop-2-enoate + hydrogen sulfide		L-cysteine + H2O  ->  pyruvate + hydrogen sulfide + ammonium	L-cysteine // 2-aminoprop-2-enoate // hydrogen sulfide
N-acetyl-D-glucosamine 6-phosphate + H2O  ->  D-glucosamine 6-phosphate + acetate	EC-3.5.1.25	<i>N</i>-acetylglucosamine degradation I	H<sub>2</sub>O // <i>N</i>-acetyl-D-glucosamine 6-phosphate // D-glucosamine 6-phosphate // acetate
metanephrine + H2O + dioxygen  ->  3-methoxy-4-hydroxyphenylglycolaldehyde + methylamine + hydrogen peroxide	EC-1.4.3.4	noradrenaline and adrenaline degradation	dioxygen // H<sub>2</sub>O // metanephrine // 3-methoxy-4-hydroxyphenylglycolaldehyde // methylamine // hydrogen peroxide
2'-deoxycytidine + H+ + H2O  ->  2'-deoxyuridine + ammonium	EC-3.5.4.5	pyrimidine deoxyribonucleosides degradation // pyrimidine deoxyribonucleosides salvage	2'-deoxycytidine // H<sub>2</sub>O // H<SUP>+</SUP> // 2'-deoxyuridine // ammonium
4-imidazolone-5-propanoate + H2O  ->  N-formimino-L-glutamate	EC-3.5.2.7	L-histidine degradation	H<sub>2</sub>O // 4-imidazolone-5-propanoate // <i>N</i>-formimino-L-glutamate
(R)-lactate + H+  <-->  (R)-lactic acid			H<SUP>+</SUP> // (<i>R</i>)-lactate // <i>(R)</i>-lactic acid
4-acetamidobutanoate + H2O  ->  4-aminobutanoate + acetate	EC-3.5.1.63	putrescine degradation III	H<sub>2</sub>O // 4-acetamidobutanoate // 4-aminobutanoate // acetate
19-hydroxytestosterone + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  19-oxo-testosterone + an oxidized [NADPH-hemoprotein reductase] + 2 H2O		testosterone + 3 a reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  17beta-estradiol + 3 an oxidized [NADPH-hemoprotein reductase] + formate + 4 H2O + H+ // estradiol biosynthesis II	dioxygen // a reduced [NADPH-hemoprotein reductase] // 19-hydroxytestosterone // 19-oxo-testosterone // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O
(25<i>R</i>)-3&alpha;,7&alpha;-dihydroxy-5&beta;-cholestan-26-al 26-hydroxylase		5&beta;-cholestane-3&alpha;,7&alpha;-diol 26-monooxygenase // bile acid biosynthesis, neutral pathway	H<SUP>+</SUP> // dioxygen // a reduced  adrenodoxin // (25<i>R</i>)-3&alpha;,7&alpha;-dihydroxy-5&beta;-cholestan-26-al // (25<i>R</i>)-3&alpha;,7&alpha;-dihydroxy-5-&beta;-cholestanate // an oxidized adrenodoxin // H<sub>2</sub>O
prostaglandin D2 + NADP+  <-->  15-dehydro-prostaglandin D2 + NADPH + H+	EC-1.1.1.196	C20 prostanoid biosynthesis	NADP<sup>+</sup> // prostaglandin D<sub>2</sub> // 15-dehydro-prostaglandin D<sub>2</sub> // NADPH // H<SUP>+</SUP>
a 3-oxo-5beta-steroid + an oxidized electron carrier  =  a 3-oxo-Delta4-steroid + a reduced two electron carrier	EC-1.3.99.6		a 3-oxo-5&beta;-steroid // an oxidized electron carrier // a reduced two electron carrier // a 3-oxo-&Delta;<SUP>4</SUP>-steroid
a CDP-1-acyl-2-arachidonoyl-glycerol + myo-inositol  ->  a 1-acyl-2-arachidonoyl-phosphatidylinositol + CMP + H+	EC-2.7.8.11		<I>myo</I>-inositol // a CDP-1-acyl-2-arachidonoyl-glycerol // a 1-acyl-2-arachidonoyl-phosphatidylinositol // CMP // H<SUP>+</SUP>
bilirubin-IX beta + NAD(P)+  <-  biliverdin-IX beta + NAD(P)H + H+	EC-1.3.1.24		NAD(P)<sup>+</sup> // bilirubin-IX &beta; // biliverdin-IX &beta; // NAD(P)H // H<SUP>+</SUP>
an [E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine + a [protein]-L-lysine  ->  an [E2 ubiquitin-conjugating enzyme]-L-cysteine + a [protein]-N6-monoubiquitinyl-L-lysine + H+	EC-2.3.2.27	protein ubiquitination	a [protein]-L-lysine // an [E2 ubiquitin-conjugating enzyme]-<i>S</i>-ubiquitinyl-L-cysteine // an [E2 ubiquitin-conjugating enzyme]-L-cysteine // a [protein]-<i>N<sup>6</sup></i>-monoubiquitinyl-L-lysine // H<SUP>+</SUP>
13-cis-retinol + NAD+  ->  13-cis-retinal + NADH + H+	EC-1.1.1		NAD<sup>+</sup> // 13-<i>cis</i>-retinol // 13-<i>cis</i>-retinal // NADH // H<SUP>+</SUP>
1D-myo-inositol 5-monophosphate + H2O  ->  myo-inositol + phosphate	EC-3.1.3.25		H<sub>2</sub>O // 1D-<i>myo</i>-inositol 5-monophosphate // <I>myo</I>-inositol // phosphate
orotidine 5'-phosphate + H+  ->  CO2 + UMP	EC-4.1.1.23	UMP biosynthesis	orotidine 5'-phosphate // H<SUP>+</SUP> // CO<SUB>2</SUB> // UMP
L-kynurenine + NADPH + dioxygen + H+  ->  3-hydroxy-L-kynurenine + NADP+ + H2O	EC-1.14.13.9	L-tryptophan degradation XI (mammalian, via kynurenine) // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	H<SUP>+</SUP> // NADPH // dioxygen // L-kynurenine // H<sub>2</sub>O // NADP<sup>+</sup> // 3-hydroxy-L-kynurenine
ATP + dAMP  ->  ADP + dADP	EC-2.7.4.13 // EC-2.7.4.11	purine deoxyribonucleosides salvage	dAMP // ATP // ADP // dADP
(indol-3-yl)acetaldehyde + NAD(P)+ + H2O  =  (indol-3-yl)acetate + NAD(P)H + 2 H+	EC-1.2.1.5		H<sub>2</sub>O // NAD(P)<sup>+</sup> // (indol-3-yl)acetaldehyde // (indol-3-yl)acetate // NAD(P)H // H<SUP>+</SUP>
S-adenosyl-L-methionine + an 18S rRNA N1-methylpseudouridine  ->  S-methyl-5'-thioadenosine + an N1-methyl-N3-aminocarboxypropyl-pseudouridine in 18S rRNA + H+	EC-2.5.1	<i>N</i><sup>1</sup>-methyl-<i>N</i><sup>3</sup>-aminocarboxypropyl-pseudouridine-modified rRNA biosynthesis	an 18S rRNA <i>N</i><sup>1</sup>-methylpseudouridine // <i>S</i>-adenosyl-L-methionine // <i>S</i>-methyl-5'-thioadenosine // an <i>N</i><sup>1</sup>-methyl-<i>N</i><sup>3</sup>-aminocarboxypropyl-pseudouridine in 18S rRNA // H<SUP>+</SUP>
3-methyl-branched fatty acyl-CoA 2-hydroxylase	EC-1.14.11	fatty acid &alpha;-oxidation	dioxygen // 2-oxoglutarate // a 3-methyl-branched 2,3,4-saturated fatty acyl-CoA // a 2-hydroxy-3-methyl-branched 2,3,4-saturated fatty acyl-CoA // succinate // CO<SUB>2</SUB>
3-oxopropanoate + coenzyme A + NAD(P)+  =  acetyl-CoA + CO2 + NAD(P)H	EC-1.2.1.18		NAD(P)<sup>+</sup> // coenzyme A // 3-oxopropanoate // acetyl-CoA // CO<SUB>2</SUB> // NAD(P)H
P1,P4-bis(5'-guanosyl) tetraphosphate + H2O  ->  GTP + GMP + 2 H+	EC-3.6.1.17		H<sub>2</sub>O // P<sup>1</sup>,P<sup>4</sup>-<i>bis</i>(5'-guanosyl) tetraphosphate // H<SUP>+</SUP> // GTP // GMP
an N-acyl-2-lysophosphatidylethanolamine + H2O  ->  an sn-glycero-3-phospho-N-(acyl)ethanolamine + a fatty acid + H+	EC-3.1.1.4		H<sub>2</sub>O // an <i>N</i>-acyl-2-lysophosphatidylethanolamine // an <i>sn</i>-glycero-3-phospho-<i>N</i>-(acyl)ethanolamine // a fatty acid // H<SUP>+</SUP>
a protein with a disulfide bond + phylloquinone + H2O  <-  vitamin K 2,3-epoxide + a protein with reduced L-cysteine residues	EC-1.17.4.4	vitamin K-epoxide cycle	a protein with a disulfide bond // H<sub>2</sub>O // phylloquinone // vitamin K 2,3-epoxide // a protein with reduced L-cysteine residues
