Compound	SMILES
lipid II	C[C@H](C(=O)N[C@H](C)C([O-])=O)NC(=O)[C@H](CCC[C@@H]([NH3+])C([O-])=O)NC(=O)CC[C@H](C(=O)[O-])NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]2([C@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(C)=O)1))[C@@H](CO)O[C@@H]([C@H](NC(=O)C)2)OP([O-])(=O)O)
3-oxo-(9Z)-octadecenoyl-CoA	CCCCCCCC\C=C/CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
glycine	C([NH3+])C([O-])=O
a peptidoglycan with D,D cross-links (<I>meso</I>-diaminopimelate containing)	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(OP([O-])(=O)O[C@@H]8([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(N[C@H](C)C(=O)N[C@H](C)C([O-])=O)=O)[C@H](O[C@@H]7(O[C@H](CO)[C@@H](O[C@@H]6([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(N[C@H](C)C(=O)N[C@@H](C(=O)[O-])CCC[C@@H](C(N[C@H](C)C(=O)N[C@H](C)C([O-])=O)=O)NC(=O)CC[C@H](C(=O)[O-])NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]4([C@H](O[C@@H]3(O[C@H](CO)[C@@H](O[C@@H]2([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(N[C@H](C)C(=O)N[C@H](C)C([O-])=O)=O)[C@H](O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)1))[C@@H](CO)O2))[C@H](O)[C@@H](NC(=O)C)3))[C@@H](CO)O[C@@H]([C@H](NC(=O)C)4)OP(OP(OC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC/C=C(C)/CC/C=C(C)/CC/C=C(C)/CCC=C(C)C)([O-])=O)([O-])=O))=O)[C@H](O[C@@H]5(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)5))[C@@H](CO)O6))[C@H](O)[C@@H](NC(=O)C)7))[C@@H](CO)O8))([O-])=O
b-lgal-HEX-1:5|6:d	
prenyl diphosphate	CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]
(<i>S</i>)-5-hydroxyisourate	C2([C@]1(O)(NC(=O)NC/1=N/C(=O)N2))(=O)
adenosyl-cobinamide phosphate	C[C@@H](OP([O-])(=O)[O-])CNC(=O)CC[C@]1(C)([C@@H](CC(=O)N)[C@@H]%11([C@@]6(C)([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C7(\C(/C)=C4([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C5(\C=C2(C(C)(C)[C@H](CCC(N)=O)C3(\C(/C)=C1/N([Co-2]([N+]\2=3)([N+]4=5)([N+]\6=7)C[C@@H]8([C@H]([C@@H](O)[C@@H](O8)N9(\C=N/C%10(C(/N)=N\C=N/C9=%10)))O))%11))))))))
nicotinamide	C1(\C=C/C(/C(=O)N)=C\N=1)
bacteriochlorophyllide <i>a</i>	CC[C@@H]1([C@@H](C)C2(\N=C1\C=C7(C(\C)=C3(C4(\N([Mg]N6(C(\C=2)=C(C(/C)=C(\C=C5([C@@H](C)[C@H](CCC(=O)[O-])C(\C(/[C-](C(OC)=O)C(=O)3)=4)=N5))/6)/C(C)=O))7)))))
porphyrin-ring	C1(\C2(\C=C5(\C=C/C(\C=C4(\C=C/C(\C=C3(\C=C/C(\C=C(\C=1)/N=2)=N3))=N4))=N5)))
lipid A-core-phosphoethanolamine (hep I)	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]%12([C@H]([C@@H](O[C@H](CO[C@@]%11(C(=O)[O-])(O[C@H]([C@H](O)CO)[C@H](O[C@H]9(O[C@H]([C@@H](O)CO)[C@@H](OP(=O)([O-])OP(=O)([O-])OCC[NH3+])[C@H](O[C@@H]8(O[C@H]([C@@H](CO[C@H]1(O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@H](O)1))O)[C@@H](OP([O-])(=O)[O-])[C@H](O[C@H]7(O[C@H](CO[C@H]2(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)2))[C@@H](O)[C@H](O[C@H]3(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]6(O[C@H](CO[C@H]4(O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@H](O)4))[C@H](O)[C@H](O)[C@@H](O[C@H]5(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)5))6)))[C@@H](O)7))[C@H](O)8))[C@H](O)9))[C@H](O[C@]%10(O[C@H]([C@@H](CO)O)[C@H](O)[C@H](O)C%10)C(=O)[O-])C%11))[C@H]%12OP([O-])([O-])=O)OC[C@@H]%13([C@@H](O)[C@H](OC(C[C@H](O)CCCCCCCCCCC)=O)[C@@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OP([O-])([O-])=O)O%13))NC(C[C@H](OC(=O)CCCCCCCCCCC)CCCCCCCCCCC)=O)
glutathione	C(S)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
coproporphyrinogen III	CC2(\C(/CCC([O-])=O)=C1(CC5(\NC(/CC4(\NC(/CC3(\NC(/CC(\N1)=2)=C(C)/C(\CCC([O-])=O)=3))=C(CCC([O-])=O)/C(\C)=4))=C(CCC(=O)[O-])/C(\C)=5)))
5-amino-6-(5-phospho-D-ribitylamino)uracil	C(NC1(NC(NC(=O)C(N)=1)=O))[C@H](O)[C@H](O)[C@H](O)COP([O-])(=O)[O-]
a-dgal-HEX-1:5|6:d	
XMP	C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(/NC(=O)NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3)
2-dehydro-3-deoxy-D-octonate	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C(=O)C([O-])=O
5-methoxybenzimidazole	COC1(\C=C/C2(/N\C=N/C(\C=1)=2))
(7<i>R</i>,8<i>S</i>)-diaminononanoate	C[C@@H]([C@@H](CCCCCC([O-])=O)[NH3+])[NH3+]
GLYCO-CT-SULFATE	
&alpha;-D-mannose 1-phosphate	C(O)[C@H]1(O[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@H](O)1)
GDP-4-dehydro-&alpha;-D-rhamnose	C[C@H]4(O[C@H](OP(OP(=O)([O-])OC[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3))(=O)[O-])[C@@H](O)[C@@H](O)C(=O)4)
a coenzyme-A group	CC(C)(COP(OP([O-])(OC[C@@H]1([C@@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))=O)([O-])=O)[C@@H](O)C(=O)NCCC(=O)NCCS
thymidine	CC1(\C(=O)NC(N(\C=1)[C@H]2(C[C@H](O)[C@@H](CO)O2))=O)
(S)-3-hydroxy-(9Z)-octadecenoyl-CoA	CCCCCCCC\C=C/CCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
leukotriene-E4	CCCCC\C=C/C\C=C/C=C/C=C/[C@@H](SC[C@@H](C(=O)[O-])[NH3+])[C@H](CCCC([O-])=O)O
4-aminobutanoate	C(C[NH3+])CC([O-])=O
ethylphosphate	CCOP([O-])(=O)[O-]
phospho<i>enol</i>pyruvate	C=C(OP(=O)([O-])[O-])C([O-])=O
<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide	C([NH3+])C(=O)N[C@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1)
L-fuculose 1-phosphate	C[C@@H]([C@H]([C@H](C(COP([O-])(=O)[O-])=O)O)O)O
(<i>S</i>)-3-hydroxydecanoyl-CoA	CCCCCCC[C@@H](CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)O
cobalt-precorrin-6A	C[C@@]8(CCC([O-])=O)(C(/CC([O-])=O)=C2([C@@]1(C)([C@@](C)(CC([O-])=O)[C@H](CCC(=O)[O-])C6(\N1[Co-2]35([N+]/2=C(CC4(/C(\CCC([O-])=O)=C(CC(=O)[O-])\[C@@](C)([N+]\3=4)CC7(\[N+]/5=C(\C=6)/[C@@](C)(CC([O-])=O)C(/CCC([O-])=O)=7)))/8)))))
5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(C(/NC=O)=C(C(=O)N)/N=C\1))[C@H](O)[C@H](O)2)
a peptidoglycan dimer (S. aureus)	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP([O-])(=O)OP([O-])(=O)O[C@@H]4([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCCCNC(CNC(CNC(CNC(CNC(C[NH3+])=O)=O)=O)=O)=O)C(N[C@H](C)C(N[C@@H](C(=O)[O-])C)=O)=O)C(=O)N)[C@H](O[C@@H]3(O[C@H](CO)[C@@H](O[C@@H]2([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCCCNC(CNC(CNC(CNC(CNC(C[NH3+])=O)=O)=O)=O)=O)C(N[C@H](C)C(N[C@@H](C(=O)[O-])C)=O)=O)C(=O)N)[C@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)1))[C@@H](CO)O2))[C@H](O)[C@@H](NC(=O)C)3))[C@@H](CO)O4)
adenosine 5'-phosphoselenate	C(OP(=O)([O-])O[Se](=O)(=O)[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
acetate	CC([O-])=O
tetrahydrogeranylgeranyl diphosphate	CC(C)=CCC[C@H](CCC[C@H](CCCC(\C)=C/COP([O-])(=O)OP([O-])(=O)[O-])C)C
dolichol-group	CC[C@@H](C)CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC\C=C(C)/CC/C=C(C)/CC/C=C(C)/CCC=C(C)C
methylphosphonate	CP([O-])(=O)O
an acp domain within a type I fatty acid synthase	CC(C)(COP(=O)([O-])OC[C@H](N[a type I fatty acid synthase])C(=O)[a type I fatty acid synthase])[C@@H](O)C(=O)NCCC(=O)NCCS
x-lara-PEN-1:4	
L-isoleucine	CC[C@H](C)[C@H]([NH3+])C(=O)[O-]
(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-]
octanoate	CCCCCCCC(=O)[O-]
&alpha;-L-arabinofuranose	C(O)[C@H]1([C@H](O)[C@@H](O)[C@H](O)O1)
a mature peptidoglycan with L,D cross-links (<i>meso</i>-diaminopimelate containing)	C[C@@H](C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCC[C@@H](NC(=O)[C@H](CCC[C@@H]([NH3+])C([O-])=O)NC(=O)CC[C@H](C(=O)[O-])NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]2([C@H](O[C@@H]1(O[C@H](CO)[C@@H](O[R1])[C@H](O)[C@@H](NC(=O)C)1))C3(COC([C@H](NC(=O)C)2)O3)))C([O-])=O)C(N[C@H](C)C([O-])=O)=O)NC(=O)[C@@H](C)O[C@H]5([C@H](O[C@@H]4(O[C@H](CO)[C@@H](O[R2])[C@H](O)[C@@H](NC(=O)C)4))[C@@H](CO)O[C@H](O[R3])[C@H](NC(=O)C)5)
(<i>S</i>)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline	C([C@]1(O)(NC(=O)/N=C1/NC(N)=O))(=O)[O-]
succinate semialdehyde	C(C=O)CC(=O)[O-]
adenosylcobinamide-GDP	C[C@@H](OP([O-])(=O)OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(=O)NC(/N)=N/C2=3))))CNC(=O)CC[C@]4(C)([C@@H](CC(=O)N)[C@@H]%14([C@@]%12(C)([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C%13(\C(/C)=C%10([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C%11(\C=C8(C(C)(C)[C@H](CCC(N)=O)C9(\C(/C)=C4/N([Co-2](C[C@@H]7([C@@H](O)[C@H]([C@H](N5(\C=N/C6(C(/N)=N\C=N/C5=6)))O7)O))([N+]\8=9)([N+]%10=%11)[N+]\%12=%13)%14))))))))
(<i>E</i>)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate	CC(/CO)=C\COP(OP([O-])(=O)[O-])(=O)[O-]
propionamide	CCC(N)=O
dimethyl(3-oxopropyl)sulfanium	C[S+](C)CCC=O
3-acetyl-3-devinylchlorophyllide <i>a</i>	CCC1(\C2(/C=C7(C(\C)=C3(C4(\N([Mg]N6(C(\C=C(C(/C)=1)/N=2)=C(C(/C)=C(\C=C5([C@@H](C)[C@H](CCC(=O)[O-])C(\C(/[C-](C(OC)=O)C(=O)3)=4)=N5))/6)/C(C)=O))7)))))
DNA without lesion	
tryptamine	C([NH3+])CC1(\C2(/C=C\C=C/C(/N\C=1)=2))
<i>N</i><sup>2</sup>-formyl-<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide	C(NC=O)C(=O)N[C@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1)
malonate	C(C([O-])=O)C([O-])=O
(<i>R</i>)-methylmalonate-semialdehyde	C[C@H](C=O)C(=O)[O-]
&alpha;-D-ribose 1,5-bisphosphate	C(OP(=O)([O-])[O-])[C@H]1(O[C@@H]([C@@H]([C@@H]1O)O)OP([O-])(=O)[O-])
5-methoxybenzimidazole ribotide phosphate	COC1(\C=C/C2(/N(\C=N/C(\C=1)=2)[C@@H]3([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O3)))
b-dara-PEN-1:4	
molybdopterin	C(OP([O-])(=O)[O-])[C@@H]1(C(\[S-])=C([C@H]2([C@@H](O1)NC3(/N=C(N)\NC(=O)C(/N2)=3)))\S)
ophthalmate	CC[C@@H](C(NCC(=O)[O-])=O)NC(CC[C@@H](C(=O)[O-])[NH3+])=O
butan-2-one	CCC(C)=O
ATP	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
x-dglc-HEX-1:5|6:d	
&alpha;-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate	CC(=O)NCP([O-])(=O)O[C@@H]1([C@@H]([C@@H]([C@H](O1)COP([O-])(OP([O-])(=O)OP(=O)([O-])[O-])=O)O)O)
a [cytidylyl molybdenum cofactor chaperone]-cytidylyl molybdenum cofactor (sulfo-dioxo)	C(OP(OP(OC[C@H]2(O[C@H]1(NC4(/N=C(N)\NC(=O)C(/N[C@H]1C3(\S[Mo](=S)(=O)(O[a cytidylyl molybdenum cofactor chaperone])SC\2=3))=4))))([O-])=O)(=O)[O-])[C@@H]6([C@H]([C@H]([C@H](N5(\C=C/C(/N)=N\C5=O))O6)O)O)
XLXG xyloglucan oligosaccharide	C8(C([C@@H](C(C(OC[C@H]7(O[C@@H](O[C@H]3([C@H](O)[C@@H](O)[C@@H](O[C@H](COC1(C([C@H](C(CO1)O)O)O[C@H]2([C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)))3)O[C@H]5([C@H](O)[C@@H](O)[C@@H](O[C@H](COC4(C([C@H](C(CO4)O)O)O))5)O[C@H]6([C@H](O)[C@@H](O)[C@H](O)O[C@H](CO)6))))[C@H](O)[C@@H](O)[C@H](O)7))O8)O)O)O)
x-PEN-1:4	
dCDP	C(OP(OP([O-])([O-])=O)(=O)[O-])[C@@H]2([C@H](C[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)
lipid A (<i>E. coli</i>)	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]2([C@H]([C@H](OC[C@H]1(O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H](O)1))O[C@H](CO)[C@H]2OP([O-])(=O)[O-])NC(C[C@H](OC(=O)CCCCCCCCCCC)CCCCCCCCCCC)=O)
propanoate	CCC(=O)[O-]
(2E)-dec-2-enoyl-CoA	CCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
Na<SUP>+</SUP>	[Na+]
<i>S</i>-methyl-5'-thioadenosine	CSC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
2-amino-3-carboxymuconate-6-semialdehyde	C(=O)([O-])C(\C=C\C=O)=C(C([O-])=O)/[NH3+]
&alpha;-L-fucopyranose	C[C@@H]1(O[C@H]([C@H]([C@@H]([C@@H]1O)O)O)O)
4-amino-2-methyl-5-pyrimidinemethanol	CC1(\N=C(C(/CO)=C\N=1)\N)
D-glucono-1,5-lactone	C(O)[C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)=O)
molybdopterin adenine dinucleotide	C(OP(=O)([O-])OP(OC[C@H]2(O[C@H]1(NC3(/N=C(N)\NC(=O)C(/N[C@H]1C(\S)=C2\[S-])=3))))(=O)[O-])[C@H]6(O[C@@H](N4(C5(\C(\N=C/4)=C(N)/N=C\N=5)))[C@H](O)[C@H](O)6)
D-<i>erythro</i>-7,8-dihydroneopterin	C1(NC2(/N=C(N)\NC(=O)C(/N=C1/[C@H](O)[C@H](O)CO)=2))
