Reaction	EC-Number	In-Pathway	Substrates
beta-nicotinate D-ribonucleotide + benzimidazole  ->  benzimidazole ribotide phosphate + nicotinate + H+	EC-2.4.2.21	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	benzimidazole // &beta;-nicotinate D-ribonucleotide // benzimidazole ribotide phosphate // nicotinate // H<SUP>+</SUP>
(S)-3-hydroxyhexanoyl-CoA  <-  (2E)-hexenoyl-CoA + H2O	EC-4.2.1.17	oleate &beta;-oxidation	(<i>S</i>)-3-hydroxyhexanoyl-CoA // (2<i>E</i>)-hexenoyl-CoA // H<sub>2</sub>O
L-cysteine + L-cysteine desulfurase  ->  L-alanine + an S-sulfanyl-[L-cysteine desulfurase]	EC-2.8.1.7	[2Fe-2S] iron-sulfur cluster biosynthesis	an [L-cysteine desulfurase] // L-cysteine // L-alanine // an <i>S</i>-sulfanyl-[L-cysteine desulfurase]
thiarsahydroxy-[arsenate reductase] + glutathione + H+  ->  S-glutathionyl-thiarsahydroxy-[arsenate reductase] + H2O		arsenate + glutathione + a reduced glutaredoxin + H+  ->  arsenite + a [glutaredoxin]-glutathione disulfide + H2O	H<SUP>+</SUP> // glutathione // thiarsahydroxy-[arsenate reductase] // <i>S</i>-glutathionyl-thiarsahydroxy-[arsenate reductase] // H<sub>2</sub>O
3-methyl-2-oxobutanoate + 5,10-methylene-tetrahydromethanopterin + H2O  =  2-dehydropantoate + tetrahydromethanopterin	EC-2.1.2.11		H<sub>2</sub>O // 3-methyl-2-oxobutanoate // 5,10-methylene-tetrahydromethanopterin // 2-dehydropantoate // tetrahydromethanopterin
3-oxo-decanoyl-[acyl-carrier protein] synthase	EC-2.3.1.179 // EC-2.3.1.41	palmitate biosynthesis (type II fatty acid synthase)	H<SUP>+</SUP> // a malonyl-[acp] // an octanoyl-[acp] // a 3-oxodecanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
a [protein]-N6-acetyl-L-lysine + NAD+  ->  a [protein]-N6-[1,1-(5-adenosylyl-alpha-D-ribose-1,2-di-O-yl)ethyl]-L-lysine + nicotinamide		a [protein]-N6-acetyl-L-lysine + NAD+ + H2O  ->  a [protein]-L-lysine + 2''-O-acetyl-ADP-ribose + nicotinamide	NAD<sup>+</sup> // a [protein]-<i>N</i><sup>6</sup>-acetyl-L-lysine // a [protein]-<i>N</i><sup>6</sup>-[1,1-(5-adenosylyl-&alpha;-D-ribose-1,2-di-O-yl)ethyl]-L-lysine // nicotinamide
D-ribose 5-phosphate + ATP  ->  5-phospho-alpha-D-ribose 1-diphosphate + AMP + H+	EC-2.7.6.1	PRPP biosynthesis	ATP // D-ribose 5-phosphate // H<SUP>+</SUP> // 5-phospho-&alpha;-D-ribose 1-diphosphate // AMP
D-xylulose + ATP  ->  D-xylulose 5-phosphate + ADP + H+	EC-2.7.1.17	D-xylose degradation I	ATP // D-xylulose // H<SUP>+</SUP> // D-xylulose 5-phosphate // ADP
(S)-4-amino-5-oxopentanoate + a tRNAglu + NADP+  <-  an L-glutamyl-[tRNAGlu] + NADPH + H+	EC-1.2.1.70	tetrapyrrole biosynthesis I (from glutamate)	a tRNA<SUP>glu</SUP> // NADP<sup>+</sup> // (S)-4-amino-5-oxopentanoate // an L-glutamyl-[tRNA<SUP>Glu</SUP>] // NADPH // H<SUP>+</SUP>
3,8-divinyl protochlorophyllide a + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 ATP + 2 H2O  ->  chlorophyllide a2 + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 ADP + 2 phosphate	EC-1.3.7.7	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	H<sub>2</sub>O // ATP // a reduced ferredoxin [iron-sulfur] cluster // 3,8-divinyl protochlorophyllide <i>a</i> // chlorophyllide <i>a</i><sub>2</sub> // an oxidized ferredoxin [iron-sulfur] cluster // ADP // phosphate
MCD cofactor chaperone + cytidylyl molybdenum cofactor (trioxo)  ->  a [cytidylyl molybdenum cofactor chaperone]-cytidylyl molybdenum cofactor		cytidylyl molybdenum cofactor sulfurylation	a cytidylyl molybdenum cofactor chaperone // cytidylyl molybdenum cofactor (trioxo) // a [cytidylyl molybdenum cofactor chaperone]-cytidylyl molybdenum cofactor
(7R,8S)-diaminononanoate + CO2  ->  (7R,8S)-8-amino-7-(carboxyamino)nonanoate + 2 H+		(7R,8S)-diaminononanoate + CO2 + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+	CO<SUB>2</SUB> // (7<i>R</i>,8<i>S</i>)-diaminononanoate // (7<i>R</i>,8<i>S</i>)-8-amino-7-(carboxyamino)nonanoate // H<SUP>+</SUP>
4-imidazolone-5-propanoate + H2O  ->  N-formimino-L-glutamate	EC-3.5.2.7	L-histidine degradation II	H<sub>2</sub>O // 4-imidazolone-5-propanoate // <i>N</i>-formimino-L-glutamate
aldehydo-D-arabinose 5-phosphate  <-  D-ribulose 5-phosphate	EC-5.3.1.13	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	<i>aldehydo</i>-D-arabinose 5-phosphate // D-ribulose 5-phosphate
an [arsenate reductase]-L-cysteine + arsenate + H+  ->  thiarsahydroxy-[arsenate reductase] + H2O		arsenate + glutathione + a reduced glutaredoxin + H+  ->  arsenite + a [glutaredoxin]-glutathione disulfide + H2O	H<SUP>+</SUP> // arsenate // an [arsenate reductase]-L-cysteine // thiarsahydroxy-[arsenate reductase] // H<sub>2</sub>O
2-dehydro-3-deoxy-D-gluconate 6-phosphate  ->  D-glyceraldehyde 3-phosphate + pyruvate	EC-4.1.2.55 // EC-4.1.2.14	Entner-Doudoroff shunt // D-glucosaminate degradation	2-dehydro-3-deoxy-D-gluconate 6-phosphate // D-glyceraldehyde 3-phosphate // pyruvate
a [protein]-N6-acetyl-L-lysine + NAD+ + H2O  ->  a [protein]-L-lysine + 2''-O-acetyl-ADP-ribose + nicotinamide	EC-2.3.1.286		H<sub>2</sub>O // NAD<sup>+</sup> // a [protein]-<i>N</i><sup>6</sup>-acetyl-L-lysine // a [protein]-L-lysine // 2''-<i>O</i>-acetyl-ADP-ribose // nicotinamide
an [amino-group carrier protein]-C-terminal-gamma-(L-glutamate 5-semialdehyde-2-yl)-L-glutamate + NADP+ + phosphate  =  an [amino-group carrier protein]-C-terminal-gamma-(5-phospho-L-glutamyl)-L-glutamate + NADPH + H+	EC-1.2.1.38		phosphate // NADP<sup>+</sup> // an [amino-group carrier protein]-C-terminal-&gamma;-(L-glutamate 5-semialdehyde-2-yl)-L-glutamate // an [amino-group carrier protein]-C-terminal-&gamma;-(5-phospho-L-glutamyl)-L-glutamate // NADPH // H<SUP>+</SUP>
D-sedoheptulose 1-phosphate  <-->  glycerone phosphate + D-erythrose	EC-4.1.2.13		D-sedoheptulose 1-phosphate // glycerone phosphate // D-erythrose
L-glutamate + ATP  ->  gamma-L-glutamyl 5-phosphate + ADP	EC-2.7.2.11	L-proline biosynthesis I (from L-glutamate)	ATP // L-glutamate // &gamma;-L-glutamyl 5-phosphate // ADP
L-alanine  <-->  D-alanine	EC-5.1.1.1	alanine racemization	L-alanine // D-alanine
(7R,8S)-diaminononanoate + CO2 + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+	EC-6.3.3.3	biotin biosynthesis from 8-amino-7-oxononanoate I	ATP // CO<SUB>2</SUB> // (7<i>R</i>,8<i>S</i>)-diaminononanoate // dethiobiotin // phosphate // ADP // H<SUP>+</SUP>
glycine + gamma-L-glutamyl-D-alanine + ATP  ->  norophthalmate + ADP + phosphate + H+	EC-6.3.2.3		ATP // &gamma;-L-glutamyl-D-alanine // glycine // norophthalmate // ADP // phosphate // H<SUP>+</SUP>
an oleoyl-[acp] + NAD+  <-  a (2E,9Z)-octadeca-2,9-dienoyl-[acp] + NADH + H+	EC-1.3.1.9	oleate biosynthesis IV (anaerobic)	NAD<sup>+</sup> // an oleoyl-[acp] // a (2E,9Z)-octadeca-2,9-dienoyl-[acp] // NADH // H<SUP>+</SUP>
3-deoxy-D-manno-octulosonate 8-phosphate + H2O  ->  3-deoxy-alpha-D-manno-2-octulosonate + phosphate	EC-3.1.3.45	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	H<sub>2</sub>O // 3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate // 3-deoxy-&alpha;-D-<i>manno</i>-2-octulosonate // phosphate
L-leucine + 2-oxoglutarate  <-->  L-glutamate + 4-methyl-2-oxopentanoate	EC-2.6.1.6 // EC-2.6.1.42	L-leucine degradation I // L-leucine biosynthesis	2-oxoglutarate // L-leucine // L-glutamate // 4-methyl-2-oxopentanoate
a (1->4)-alpha-D-glucan  ->  a (1,6)-alpha-D-glucosyl-(1,4)-alpha-glucan highly branched	EC-2.4.1.18		a (1&rarr;4)-&alpha;-D-glucan // a (1,6)-&alpha;-D-glucosyl-(1,4)-&alpha;-glucan
arsenate + glutathione + a reduced glutaredoxin + H+  ->  arsenite + a [glutaredoxin]-glutathione disulfide + H2O	EC-1.20.4.1	arsenate detoxification II (glutaredoxin)	H<SUP>+</SUP> // a reduced glutaredoxin // glutathione // arsenate // arsenite // a [glutaredoxin]-glutathione disulfide // H<sub>2</sub>O
(S)-4-amino-5-oxopentanoate  ->  5-aminolevulinate	EC-5.4.3.8	tetrapyrrole biosynthesis I (from glutamate)	(S)-4-amino-5-oxopentanoate // 5-aminolevulinate
L-fuculose 1-phosphate  ->  (S)-lactaldehyde + glycerone phosphate	EC-4.1.2.17	fucose degradation	L-fuculose 1-phosphate // (<i>S</i>)-lactaldehyde // glycerone phosphate
1-(5-phospho-beta-D-ribosyl)-AMP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	EC-3.5.4.19	L-histidine biosynthesis	H<sub>2</sub>O // 1-(5-phospho-&beta;-D-ribosyl)-AMP // 1-(5-phospho-&beta;-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide
rhodovibrin + an oxidized electron carrier  ->  hydroxyspirilloxanthin + a reduced two electron carrier		spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis	an oxidized electron carrier // rhodovibrin // hydroxyspirilloxanthin // a reduced two electron carrier
4-imidazolone-5-propanoate + H2O  ->  formyl-L-isoglutamine			H<sub>2</sub>O // 4-imidazolone-5-propanoate // formyl-L-isoglutamine
(2S)-2-hydroxy-3,4-dioxopentyl phosphate  ->  3-hydroxy-2,4-dioxopentyl phosphate	EC-5.3.1.32	autoinducer AI-2 degradation	(2<i>S</i>)-2-hydroxy-3,4-dioxopentyl phosphate // 3-hydroxy-2,4-dioxopentyl phosphate
a (3R,9Z)-3-hydroxyhexadec-9-enoyl-[acp] + NADP+  <-  a (9Z)-3-oxohexadec-9-enoyl-[acp] + NADPH + H+	EC-1.1.1.100	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	NADP<sup>+</sup> // a (3<i>R</i>,9<i>Z</i>)-3-hydroxyhexadec-9-enoyl-[acp] // a (9<i>Z</i>)-3-oxohexadec-9-enoyl-[acp] // NADPH // H<SUP>+</SUP>
(R)-pantothenate + ATP  ->  (R)-4'-phosphopantothenate + ADP + H+	EC-2.7.1.33	phosphopantothenate biosynthesis I	ATP // (<i>R</i>)-pantothenate // H<SUP>+</SUP> // (<i>R</i>)-4'-phosphopantothenate // ADP
hypoxanthine + NAD+ + H2O  <-->  6,8-dihydroxypurine + NADH + H+	EC-1.17.1.4		NAD<sup>+</sup> // H<sub>2</sub>O // hypoxanthine // 6,8-dihydroxypurine // NADH // H<SUP>+</SUP>
spirilloxanthin + 4 a reduced ferredoxin [iron-sulfur] cluster + 2 oxygen + 4 H+  ->  2-oxospirilloxanthin + 4 an oxidized ferredoxin [iron-sulfur] cluster + 3 H2O	EC-1.14.15.9	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis	H<SUP>+</SUP> // a reduced ferredoxin [iron-sulfur] cluster // oxygen // spirilloxanthin // 2-oxospirilloxanthin // an oxidized ferredoxin [iron-sulfur] cluster // H<sub>2</sub>O
a (3R)-3-hydroxyhexadecanoyl-[acp]  ->  a (2E)-hexadec-2-enoyl-[acp] + H2O	EC-4.2.1.59	palmitate biosynthesis (type II fatty acid synthase)	a (3<i>R</i>)-3-hydroxyhexadecanoyl-[acp] // H<sub>2</sub>O // a (2<i>E</i>)-hexadec-2-enoyl-[acp]
an (S-diacyl-sn-glyceryl)-L-cysteinyl-[apolipoprotein] + a phosphatidylethanolamine  =  an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein] + a 1-lysophosphatidylethanolamine + H+	EC-2.3.1.269		a phosphatidylethanolamine // an (<i>S</i>-diacyl-<i>sn</i>-glyceryl)-L-cysteinyl-[apolipoprotein] // an <i>N</i>-acyl-(<i>S</i>-diacyl-<i>sn</i>-glyceryl)-L-cysteinyl-[lipoprotein] // a 1-lysophosphatidylethanolamine // H<SUP>+</SUP>
4 S-adenosyl-L-methionine + adenine1518/adenine1519 in 16S rRNA  ->  N6-dimethyladenine1518/N6-dimethyladenine1519in 16S rRNA + 4 S-adenosyl-L-homocysteine + 4 H+	EC-2.1.1.182		adenine<sup>1518</sup>/adenine<sup>1519</sup> in 16S rRNA // <i>S</i>-adenosyl-L-methionine // N<sup>6</sup>-dimethyladenine<sup>1518</sup>/N<sup>6</sup>-dimethyladenine<sup>1519</sup>in 16S rRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>
4 a reduced flavodoxin + N2 + 16 ATP + 16 H2O  ->  4 an oxidized flavodoxin + 2 ammonium + 16 ADP + 16 phosphate + H2 + 14 H+	EC-1.19.6.1	nitrogen fixation II (flavodoxin)	H<sub>2</sub>O // ATP // N<sub>2</sub> // a reduced flavodoxin // an oxidized flavodoxin // ammonium // H<SUB>2</SUB> // ADP // phosphate // H<SUP>+</SUP>
crotonyl-[acp] reductase	EC-1.3.1.9	palmitate biosynthesis (type II fatty acid synthase)	NAD<sup>+</sup> // a butanoyl-[acp] // a (2<i>E</i>)-but-2-enoyl-[acp] // NADH // H<SUP>+</SUP>
2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	EC-6.3.2.4		ATP // D-alanine // H<SUP>+</SUP> // D-alanyl-D-alanine // phosphate // ADP
10-formyl-tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  10-formyl-tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate	EC-6.3.2.17	folate polyglutamylation	ATP // L-glutamate // an <i>N</i><sup>10</sup>-formyltetrahydrofolate // ADP // phosphate
6,8-dihydroxypurine + NAD+ + H2O  ->  urate + NADH + H+	EC-1.17.1.4		NAD<sup>+</sup> // H<sub>2</sub>O // 6,8-dihydroxypurine // urate // NADH // H<SUP>+</SUP>
L-cysteine + a [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex  ->  L-alanine + an S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex	EC-2.8.1.7	[2Fe-2S] iron-sulfur cluster biosynthesis	a [cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex // L-cysteine // L-alanine // an <i>S</i>-sulfanyl-[cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex
a [dinitrogen reductase]-Nomega-alpha-( ADP-D-ribosyl)-L-arginine + H2O  ->  ADP-D-ribose + a [dinitrogen reductase]-L-arginine	EC-3.2.2.24		H<sub>2</sub>O // a [dinitrogen reductase]-<i>N</i><sup>&omega;</sup>-&alpha;-( ADP-D-ribosyl)-L-arginine // ADP-D-ribose // a [dinitrogen reductase]-L-arginine
a [protein chain elongation factor P]-L-lysine34 + (R)-beta-lysine + ATP  ->  [a protein chain elongation factor EF-P]-N-(beta-L-lysyl)-L-lysine34 + AMP + diphosphate + H+	EC-6.3.2		ATP // (R)-&beta;-lysine // a [protein chain elongation factor P]-L-lysine<sup>34</sup> // [a protein chain elongation factor EF-P]-<i>N</i>-(&beta;-L-lysyl)-L-lysine<sup>34</sup> // AMP // diphosphate // H<SUP>+</SUP>
L-histidine  ->  ammonium + urocanate	EC-4.3.1.3	L-histidine degradation II	L-histidine // ammonium // urocanate
a [protein] with an N-terminal 5-oxo-L-proline + H2O  ->  5-oxo-L-proline + a peptide	EC-3.4.19.3	5-oxo-L-proline metabolism	H<sub>2</sub>O // a [protein] with an N-terminal 5-oxo-L-proline // 5-oxo-L-proline // a peptide
2-methoxy-6-(all-trans-octaprenyl)phenol + NADPH + oxygen + H+  ->  2-methoxy-6-all trans-octaprenyl-1,4-benzoquinol + NADP+ + H2O	EC-1.14.13	ubiquinol-8 biosynthesis (early decarboxylation)	H<SUP>+</SUP> // NADPH // oxygen // 2-methoxy-6-(<i>all-trans</i>-octaprenyl)phenol // 2-methoxy-6-<i>all trans</i>-octaprenyl-1,4-benzoquinol // H<sub>2</sub>O // NADP<sup>+</sup>
glyphosate + ATP  ->  alpha-D-ribose-1-[N-(phosphonomethyl)glycine] 5-triphosphate + adenine	EC-2.7.8.37	glyphosate degradation III	ATP // glyphosate // &alpha;-D-ribose-1-[<i>N</i>-(phosphonomethyl)glycine] 5-triphosphate // adenine
GTP + 2 hydroxyl radical  ->  8-oxo-GTP + H2O			hydroxyl radical // GTP // 8-oxo-GTP // H<sub>2</sub>O
(3R)-3-hydroxypentanoyl-CoA + NADP+  ->  3-oxopentanoyl-CoA + NADPH + H+	EC-1.1.1.36		NADP<sup>+</sup> // (3<i>R</i>)-3-hydroxypentanoyl-CoA // 3-oxopentanoyl-CoA // NADPH // H<SUP>+</SUP>
L-valine + 2-oxoglutarate  <-->  L-glutamate + 3-methyl-2-oxobutanoate	EC-2.6.1.42	L-valine degradation I // L-valine biosynthesis	2-oxoglutarate // L-valine // L-glutamate // 3-methyl-2-oxobutanoate
xanthine + NAD+ + H2O  <-->  urate + NADH + H+	EC-1.17.1.4	guanosine nucleotides degradation III // inosine 5'-phosphate degradation	H<sub>2</sub>O // NAD<sup>+</sup> // xanthine // urate // NADH // H<SUP>+</SUP>
dGDP + ATP  ->  dGTP + ADP	EC-2.7.4.6	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	ATP // dGDP // dGTP // ADP
3-(carbamoylamino)-2-methylpropanoate + H2O + 2 H+  ->  (R)-3-amino-2-methylpropanoate + ammonium + CO2	EC-3.5.1.6	thymine degradation	H<SUP>+</SUP> // H<sub>2</sub>O // 3-(carbamoylamino)-2-methylpropanoate // (R)-3-amino-2-methylpropanoate // ammonium // CO<SUB>2</SUB>
S-(hydroxymethyl)glutathione + NAD(P)+  ->  S-formylglutathione + NAD(P)H + H+	EC-1.1.1.284	formaldehyde oxidation II (glutathione-dependent)	NAD(P)<sup>+</sup> // <i>S</i>-(hydroxymethyl)glutathione // <i>S</i>-formylglutathione // NAD(P)H // H<SUP>+</SUP>
3-deacetyl-3-(1-hydroxyethyl)bacteriochlorophyllide a + ADP + 2 an oxidized ferredoxin [iron-sulfur] cluster + phosphate  <-  3-devinyl-3-(1-hydroxyethyl)chlorophyllide a + ATP + 2 a reduced ferredoxin [iron-sulfur] cluster + H2O + H+	EC-1.3.7.15	bacteriochlorophyll <i>a</i> biosynthesis	phosphate // an oxidized ferredoxin [iron-sulfur] cluster // ADP // 3-deacetyl-3-(1-hydroxyethyl)bacteriochlorophyllide <i>a</i> // 3-devinyl-3-(1-hydroxyethyl)chlorophyllide <i>a</i> // ATP // a reduced ferredoxin [iron-sulfur] cluster // H<sub>2</sub>O // H<SUP>+</SUP>
a (3R)-3-hydroxytetradecanoyl-[acp] + UDP-3-O-(3-hydroxymyristoyl)-alpha-D-glucosamine  ->  UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosamine + acyl-carrier protein + H+	EC-2.3.1.191	lipid IV<sub>A</sub> biosynthesis (E. coli)	UDP-3-<i>O</i>-(3-hydroxymyristoyl)-&alpha;-D-glucosamine // a (3<i>R</i>)-3-hydroxytetradecanoyl-[acp] // UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-&alpha;-D-glucosamine // a soluble [acyl-carrier protein] // H<SUP>+</SUP>
ammonium + L-glutamate + ATP  ->  L-glutamine + ADP + phosphate + H+	EC-6.3.1.2	L-glutamine biosynthesis I	ATP // L-glutamate // ammonium // H<SUP>+</SUP> // L-glutamine // ADP // phosphate
protoheme + 2 H+  <-  protoporphyrin IX + Fe2+	EC-4.99.1.1	heme <i>b</i> biosynthesis II (oxygen-independent)	H<SUP>+</SUP> // protoheme // protoporphyrin IX // Fe<SUP>2+</SUP>
4-nitrophenyl butanoate + H2O  ->  4-nitrophenol + butanoate + 2 H+	EC-3.1.1.2		H<sub>2</sub>O // 4-nitrophenyl butanoate // 4-nitrophenol // butanoate // H<SUP>+</SUP>
(5Z)-tetradecenoyl-CoA + acetyl-CoA  <-  3-oxo-(7Z)-hexadecenoyl-CoA + coenzyme A	EC-2.3.1.16	oleate &beta;-oxidation	acetyl-CoA // (5Z)-tetradecenoyl-CoA // 3-oxo-(7Z)-hexadecenoyl-CoA // coenzyme A
beta-nicotinate D-ribonucleotide + 5,6-dimethylbenzimidazole  ->  alpha-ribazole 5'-phosphate + nicotinate + H+	EC-2.4.2.21	superpathway of adenosylcobalamin salvage from cobinamide I // adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	5,6-dimethylbenzimidazole // &beta;-nicotinate D-ribonucleotide // &alpha;-ribazole 5'-phosphate // nicotinate // H<SUP>+</SUP>
n a (1->4)-alpha-D-glucan  ->  n starch	EC-2.4.1.18		a (1&rarr;4)-&alpha;-D-glucan // starch
