Reaction	EC-Number	In-Pathway	Substrates
a long-chain acyl-CoA + sn-glycerol-3-phosphate  ->  a 2-lysophosphatidate + coenzyme A	EC-2.3.1.15	triacylglycerol biosynthesis // CDP-diacylglycerol biosynthesis I	<i>sn</i>-glycerol-3-phosphate // a long-chain acyl-CoA // a 2-lysophosphatidate // coenzyme A
hydrogen peroxide + 2 iodide + 2 H+  =  I2 + 2 H2O	EC-1.11.1.8		H<SUP>+</SUP> // iodide // hydrogen peroxide // I<SUB>2</SUB> // H<SUB>2</SUB>O
bupropion + 2 H+  ->  erythrohydrobupropion		bupropion degradation	bupropion // H<SUP>+</SUP> // erythrohydrobupropion
hydrogen sulfide + a quinone  =  intracellular S0 + a quinol	EC-1.8.5		a quinone // hydrogen sulfide // intracellular S<sup>0</sup> // a quinol
DL-allothreonine  =  acetaldehyde + glycine	EC-4.1.2.5		DL-allothreonine // acetaldehyde // glycine
ATP + H2O  =  ADP + phosphate + H+	EC-3.6.4.3		ATP // H<SUB>2</SUB>O // H<SUP>+</SUP> // phosphate // ADP
sphingosine-1-phosphate + H2O  ->  sphingosine + phosphate		sphingosine and sphingosine-1-phosphate metabolism	H<SUB>2</SUB>O // sphingosine-1-phosphate // sphingosine // phosphate
5,6,7,8-tetrahydrobiopterin + L-tryptophan + oxygen  ->  5-hydroxy-L-tryptophan + 4alpha-hydroxy-tetrahydrobiopterin	EC-1.14.16.4	serotonin and melatonin biosynthesis // biosynthesis of serotonin and melatonin	L-tryptophan // oxygen // 5,6,7,8-tetrahydrobiopterin // 5-hydroxy-L-tryptophan // 4&alpha;-hydroxy-tetrahydrobiopterin
7,8-dihydrobiopterin + NADH + H+  ->  5,6,7,8-tetrahydrobiopterin + NAD+	EC-1.5.1.34	phenylalanine degradation I (aerobic)	NADH // H<SUP>+</SUP> // 7,8-dihydrobiopterin // 5,6,7,8-tetrahydrobiopterin // NAD<sup>+</sup>
L-pipecolate + oxygen  =  Delta1-piperideine-6-carboxylate + hydrogen peroxide + H+	EC-1.5.3.7		L-pipecolate // oxygen // H<SUP>+</SUP> // &Delta;<sup>1</sup>-piperideine-6-carboxylate // hydrogen peroxide
2'-hydroxygenistein + dimethylallyl diphosphate  =  2,3-dehydrokievitone + diphosphate	EC-2.5.1.1		dimethylallyl diphosphate // 2'-hydroxygenistein // 2,3-dehydrokievitone // diphosphate
nicotinamide mononucleotide + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + nicotinamide + H+	EC-2.4.2.12	NAD biosynthesis III	nicotinamide mononucleotide // diphosphate // H<SUP>+</SUP> // 5-phospho-&alpha;-D-ribose 1-diphosphate // nicotinamide
tRNAsec + L-serine + ATP + H+  ->  an L-seryl-[tRNAsec] + AMP + diphosphate	EC-6.1.1.11	selenocysteine biosynthesis II (archaea and eukaryotes)	ATP // L-serine // tRNA<SUP>sec</SUP> // H<SUP>+</SUP> // an L-seryl-[tRNA<SUP>sec</SUP>] // diphosphate // AMP
S-adenosyl-L-methionine + N-methyl-beta-alanine  =  N,N-dimethyl-beta-alanine + S-adenosyl-L-homocysteine + H+	EC-2.1.1		N-methyl-&beta;-alanine // <i>S</i>-adenosyl-L-methionine // H<SUP>+</SUP> // N,N-dimethyl-&beta;-alanine // <i>S</i>-adenosyl-L-homocysteine
beta-D-glucose + ADP  ->  beta-D-glucose-6-phosphate + AMP + H+	EC-2.7.1.147	glycolysis V (Pyrococcus)	ADP // &beta;-D-glucose // H<SUP>+</SUP> // &beta;-D-glucose-6-phosphate // AMP
a phenyl acetate + H2O  =  acetate + a phenol	EC-3.1.1.2		a phenyl acetate // H<SUB>2</SUB>O // acetate // a phenol
Dihydrolipoamide dehydrogenase	EC-1.8.1.4		NAD<sup>+</sup> // dihydrolipoamide // H<SUP>+</SUP> // lipoamide // NADH
acetyl-CoA + a 2-arylethylamine  =  an N-acetyl-2-arylethylamine + coenzyme A	EC-2.3.1.87		a 2-arylethylamine // acetyl-CoA // coenzyme A // an <i>N</i>-acetyl-2-arylethylamine
trans-1,2-Dihydrobenzene-1,2-diol + NADP+  =  catechol + NADPH + H+	EC-1.3.1.20		trans-1,2-Dihydrobenzene-1,2-diol // NADP<sup>+</sup> // H<SUP>+</SUP> // NADPH // catechol
acetone + NADPH + H+ + oxygen  =  acetol + NADP+ + H2O	EC-1.14.14.1		oxygen // NADPH // acetone // H<SUP>+</SUP> // acetol // NADP<sup>+</sup> // H<SUB>2</SUB>O
3-sulfinyl-pyruvate + H2O  ->  sulfite + pyruvate + H+		L-cysteine degradation I	H<SUB>2</SUB>O // 3-sulfinyl-pyruvate // H<SUP>+</SUP> // sulfite // pyruvate
hydrogen cyanide + 3-mercaptopyruvate  ->  pyruvate + thiocyanate + H+	EC-2.8.1.2	L-cysteine degradation III	3-mercaptopyruvate // hydrogen cyanide // H<SUP>+</SUP> // pyruvate // thiocyanate
a [protein] N6,N6-dimethyl-L-lysine + 2-oxoglutarate + oxygen  =  a [protein] N6-methyl-L-lysine + succinate + formaldehyde + CO2	EC-1.14.11.27		oxygen // 2-oxoglutarate // a [protein] <i>N</i><sup>6</sup>,<i>N</i><sup>6</sup>-dimethyl-L-lysine // a [protein] N<sup>6</sup>-methyl-L-lysine // succinate // formaldehyde // CO<SUB>2</SUB>
ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+	EC-6.3.5.1	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde // pyridine nucleotide cycling	H<SUB>2</SUB>O // L-glutamine // nicotinate adenine dinucleotide // ATP // H<SUP>+</SUP> // L-glutamate // AMP // diphosphate // NAD<sup>+</sup>
2-phosphoglycolate + H2O  =  glycolate + phosphate	EC-3.1.3.18		2-phosphoglycolate // H<SUB>2</SUB>O // glycolate // phosphate
pyridoxine-5'-phosphate + oxygen  ->  hydrogen peroxide + pyridoxal 5'-phosphate	EC-1.4.3.5	pyridoxal 5'-phosphate salvage pathway	pyridoxine-5'-phosphate // oxygen // hydrogen peroxide // pyridoxal 5'-phosphate
a 1-phosphatidyl-1D-myo-inositol 3-phosphate + ATP  ->  a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate + ADP	EC-2.7.1.149	PIP metabolism	ATP // a 1-phosphatidyl-1D-myo-inositol 3-phosphate // a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate // ADP
L-tryptophan + 2 H+ + oxygen  =  N-formylkynurenine	EC-1.13.11.52		oxygen // L-tryptophan // H<SUP>+</SUP> // <i>N</i>-formylkynurenine
dimethylglycine dehydrogenase	EC-1.5.99.2	glycine betaine degradation	an oxidized electron-transfer flavoprotein // H<SUB>2</SUB>O // dimethylglycine // sarcosine // formaldehyde // a reduced electron-transfer flavoprotein
deoxyuridine + phosphate  =  uracil + 2-deoxy-alpha-D-ribose 1-phosphate	EC-2.4.2.23		phosphate // deoxyuridine // uracil // 2-deoxy-&alpha;-D-ribose 1-phosphate
pyridoxamine 5'-phosphate + oxygen + H2O  ->  ammonia + hydrogen peroxide + pyridoxal 5'-phosphate + H+	EC-1.4.3.5	pyridoxal 5'-phosphate salvage pathway	pyridoxamine 5'-phosphate // H<SUB>2</SUB>O // oxygen // H<SUP>+</SUP> // ammonia // hydrogen peroxide // pyridoxal 5'-phosphate
prostaglandin-H2  ->  prostaglandin I2	EC-5.3.99.4	biosynthesis of prostaglandins	prostaglandin-H<sub>2</sub> // prostaglandin I<sub>2</sub>
NAD+ + H2O  ->  ADP-ribose + nicotinamide + H+	EC-3.2.2.5	pyridine nucleotide cycling	NAD<sup>+</sup> // H<SUB>2</SUB>O // H<SUP>+</SUP> // ADP-ribose // nicotinamide
a CDP-diacylglycerol + a phosphatidylglycerol  ->  a cardiolipin + CMP		cardiolipin biosynthesis II	a phosphatidylglycerol // a CDP-diacylglycerol // a cardiolipin // CMP
L-arginine + H2O  ->  ammonia + L-citrulline + H+	EC-3.5.3.6	proline biosynthesis II (from arginine)	L-arginine // H<SUB>2</SUB>O // H<SUP>+</SUP> // ammonia // L-citrulline
glycolate + oxygen  =  glyoxylate + hydrogen peroxide	EC-1.1.3.15		oxygen // glycolate // glyoxylate // hydrogen peroxide
4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol + NADPH + H+ + oxygen  ->  4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8-en-3beta-ol + NADP+ + 2 H2O	EC-1.14.13.70	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	NADPH // oxygen // 4,4-dimethyl-14&alpha;-hydroxymethyl-5&alpha;-cholesta-8-en-3&beta;-ol // H<SUP>+</SUP> // 4,4-dimethyl-14&alpha;-formyl-5&alpha;-cholesta-8-en-3&beta;-ol // H<SUB>2</SUB>O // NADP<sup>+</sup>
deoxyguanosine + ATP  =  dGMP + ADP + H+	EC-2.7.1.113		ATP // deoxyguanosine // H<SUP>+</SUP> // dGMP // ADP
Dol-P-Glc:Man<sub>9</sub>GlcNAc<sub>2</sub>-PP-Dol &alpha;-1,3-glucosyltransferase	EC-2.4.1	dolichyl-diphosphooligosaccharide biosynthesis	a dolichyl &beta;-D-glucosyl phosphate // &alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol // &alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol // a dolichyl phosphate // H<SUP>+</SUP>
succinate + an oxidized electron carrier  ->  fumarate + a reduced two electron carrier	EC-1.3.99.1	glutamate degradation VII	an oxidized electron carrier // succinate // fumarate // a reduced two electron carrier
ATP + pyridoxine  ->  ADP + pyridoxine-5'-phosphate + H+	EC-2.7.1	pyridoxal 5'-phosphate salvage pathway	pyridoxine // ATP // H<SUP>+</SUP> // ADP // pyridoxine-5'-phosphate
thiamin triphosphate + H2O  =  thiamine diphosphate + phosphate + H+	EC-3.6.1.28		thiamin triphosphate // H<SUB>2</SUB>O // H<SUP>+</SUP> // phosphate // thiamine diphosphate
<i>trans</i> oct-2-enoyl-[acyl-carrier protein] reductase (NADPH, B-specific)	EC-1.3.1.39	palmitate biosynthesis I (animals)	NADP<sup>+</sup> // an octanoyl-[acp] // a (2<i>E</i>)-oct-2-enoyl-[acp] // NADPH // H<SUP>+</SUP>
pyruvate + L-phenylalanine  ->  keto-phenylpyruvate + L-alanine	EC-2.6.1.58	phenylalanine degradation III	L-phenylalanine // pyruvate // keto-phenylpyruvate // L-alanine
cyclic-GMP + H2O  ->  GMP + H+	EC-3.1.4.35	cyclic GMP biosynthesis	H<SUB>2</SUB>O // cyclic-GMP // H<SUP>+</SUP> // GMP
pregnenolone + NADH + oxygen  ->  17-alpha,20-alpha-dihydroxypregn-4-en-3-one + NAD+ + H2O	EC-1.14.99.9	biosynthesis of estrogens	oxygen // NADH // pregnenolone // 17-&alpha;,20-&alpha;-dihydroxypregn-4-en-3-one // NAD<sup>+</sup> // H<SUB>2</SUB>O
formyltetrahydrofolate deformylase	EC-3.5.1.10	folate transformations I	10-formyl-tetrahydrofolate // H<SUB>2</SUB>O // H<SUP>+</SUP> // tetrahydrofolate // formate
NG,NG-dimethyl-L-arginine + H2O  =  dimethylamine + L-citrulline	EC-3.5.3.18		NG,NG-dimethyl-L-arginine // H<SUB>2</SUB>O // dimethylamine // L-citrulline
L-histidine  ->  ammonia + urocanate + H+	EC-4.3.1.3	histidine degradation III	L-histidine // H<SUP>+</SUP> // ammonia // urocanate
a alpha-limit dextrin with short branches + H2O  ->  a debranched alpha-limit dextrin + beta-D-glucose	EC-3.2.1.33	glycogen degradation II	H<SUB>2</SUB>O // a &alpha;-limit dextrin with short branches // a debranched &alpha;-limit dextrin // &beta;-D-glucose
a dolichyl phosphate + GDP-alpha-D-mannose  ->  a dolichyl beta-D-mannosyl phosphate + GDP	EC-2.4.1.83	dolichyl-diphosphooligosaccharide biosynthesis	GDP-&alpha;-D-mannose // a dolichyl phosphate // a dolichyl &beta;-D-mannosyl phosphate // GDP
5,10-methylenetetrahydropteroyl mono-L-glutamate + NAD+  ->  5,10-methenyltetrahydrofolate + NADH	EC-1.5.1.15	folate transformations I	NAD<sup>+</sup> // 5,10-methylenetetrahydropteroyl mono-L-glutamate // 5,10-methenyltetrahydrofolate // NADH
Dol-P-Glc:Glc<sub>1</sub>Man<sub>9</sub>GlcNAc<sub>2</sub>-PP-Dol &alpha;-1,3-glucosyltransferase	EC-2.4.1	dolichyl-diphosphooligosaccharide biosynthesis	a dolichyl &beta;-D-glucosyl phosphate // &alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol // &alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol // a dolichyl phosphate // H<SUP>+</SUP>
UDP-D-glucose + a dolichyl phosphate  ->  a dolichyl beta-D-glucosyl phosphate + UDP	EC-2.4.1.117	dolichyl-diphosphooligosaccharide biosynthesis	a dolichyl phosphate // UDP-D-glucose // a dolichyl &beta;-D-glucosyl phosphate // UDP
GDP-alpha-D-mannose  ->  GDP-4-dehydro-6-deoxy-D-mannose + H2O	EC-4.2.1.47	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	GDP-&alpha;-D-mannose // H<SUB>2</SUB>O // GDP-4-dehydro-6-deoxy-D-mannose
glycyl-peptide + myristoyl-CoA  =  N-tetradecanoylglycyl-peptide + coenzyme A	EC-2.3.1.97		myristoyl-CoA // glycyl-peptide // N-tetradecanoylglycyl-peptide // coenzyme A
beta-D-glucose + UDP-D-galactose  =  lactose + UDP + H+	EC-2.4.1.22		UDP-D-galactose // &beta;-D-glucose // H<SUP>+</SUP> // lactose // UDP
nicotine-Delta1'5'-iminium ion + oxygen + H2O  ->  cotinine + hydrogen peroxide + H+	EC-1.2.3.1	nicotine degradation II // nicotine degradation III	H<SUB>2</SUB>O // oxygen // nicotine-&Delta;<sup>1'5'</sup>-iminium ion // H<SUP>+</SUP> // cotinine // hydrogen peroxide
2,3-diphosphoglycerate + H2O  ->  3-phospho-D-glycerate + phosphate	EC-3.1.3.13	Rapoport-Luebering glycolytic shunt	2,3-diphosphoglycerate // H<SUB>2</SUB>O // phosphate // 3-phospho-D-glycerate
a carboxylic ester + H2O  =  an alcohol + a carboxylate	EC-3.1.1.1		H<SUB>2</SUB>O // a carboxylic ester // an alcohol // a carboxylate
D-myo-inositol (1,3,4)-trisphosphate + ATP  ->  D-myo-inositol (1,3,4,6)-tetrakisphosphate + ADP + H+	EC-2.7.1.159	D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis // 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	ATP // D-<i>myo</i>-inositol (1,3,4)-trisphosphate // H<SUP>+</SUP> // D-<i>myo</i>-inositol (1,3,4,6)-tetrakisphosphate // ADP
cytidine + GTP  ->  CMP + GDP + H+	EC-2.7.1	salvage pathways of pyrimidine ribonucleotides	GTP // cytidine // H<SUP>+</SUP> // CMP // GDP
6-O-trans-methoxy-mycolyl-trehalose O-mycolyltransferase			trehalose 6-phosphate // 6-O-trans-methoxy-mycolyl-&beta;-D-mannopyranosyl-1-phosphoheptaprenol // 6-O-trans-methoxy-mycolyl-trehalose-6-phosphate // D-mannopyranosyl-1-phosphoheptaprenol
retinol dehydrogenase	EC-1.1.1.105		retinol // NAD<sup>+</sup> // H<SUP>+</SUP> // NADH // retinal
a maltooligosyl-trehalose  =  a maltodextrin + trehalose	EC-3.2.1.141		a maltooligosyl-trehalose // a maltodextrin // trehalose
a tRNAPro + L-proline + ATP + H+  ->  an L-prolyl-[tRNAPro] + AMP + diphosphate	EC-6.1.1.15	tRNA charging pathway	ATP // L-proline // a tRNA<SUP>Pro</SUP> // H<SUP>+</SUP> // an L-prolyl-[tRNA<SUP>Pro</SUP>] // diphosphate // AMP
6-phospho-D-glucono-1,5-lactone + H2O  ->  6-phospho-D-gluconate + H+	EC-3.1.1.31	formaldehyde oxidation I // pentose phosphate pathway (oxidative branch)	H<SUB>2</SUB>O // 6-phospho-D-glucono-1,5-lactone // H<SUP>+</SUP> // 6-phospho-D-gluconate
squalene + NADPH + oxygen + H+  =  (S)-2,3-epoxysqualene + NADP+ + H2O	EC-1.14.99.7		H<SUP>+</SUP> // NADPH // oxygen // squalene // (S)-2,3-epoxysqualene // NADP<sup>+</sup> // H<SUB>2</SUB>O
alpha-D-glucose 1-phosphate  ->  beta-D-glucose 1-phosphate		galactose degradation I (Leloir pathway)	&alpha;-D-glucose 1-phosphate // &beta;-D-glucose 1-phosphate
CTP + a phosphatidate + H+  ->  a CDP-diacylglycerol + diphosphate	EC-2.7.7.41	CDP-diacylglycerol biosynthesis II // CDP-diacylglycerol biosynthesis I	H<SUP>+</SUP> // a phosphatidate // CTP // a CDP-diacylglycerol // diphosphate
beta-D-glucose-6-phosphate + NADP+  ->  6-phospho-D-glucono-1,5-lactone + NADPH + H+	EC-1.1.1.49	formaldehyde oxidation I // pentose phosphate pathway (oxidative branch)	NADP<sup>+</sup> // &beta;-D-glucose-6-phosphate // 6-phospho-D-glucono-1,5-lactone // NADPH // H<SUP>+</SUP>
beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine + CMP-N-acetylneuraminate  =  alpha-N-acetylneuraminyl-2,6-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine + CMP + H+	EC-2.4.99.1		CMP-<i>N</i>-acetylneuraminate // &beta;-D-galactosyl-1,4-<i>N</i>-acetyl-&beta;-D-glucosamine // H<SUP>+</SUP> // &alpha;-<i>N</i>-acetylneuraminyl-2,6-&beta;-D-galactosyl-1,4-<i>N</i>-acetyl-&beta;-D-glucosamine // CMP
3alpha,7alpha,12alpha-trihydroxy-24-oxo-5-beta-cholestanoyl CoA + coenzyme A  ->  choloyl-CoA + propanoyl-CoA	EC-2.3.1.176	bile acid biosynthesis, neutral pathway	coenzyme A // 3&alpha;,7&alpha;,12&alpha;-trihydroxy-24-oxo-5-&beta;-cholestanoyl CoA // choloyl-CoA // propanoyl-CoA
linoleate + ATP + coenzyme A  ->  linoleoyl-CoA + AMP + diphosphate	EC-6.2.1.3	&gamma;-linolenate biosynthesis II (animals)	ATP // coenzyme A // linoleate // linoleoyl-CoA // diphosphate // AMP
myo-inositol + oxygen  =  D-glucuronate + H+ + H2O	EC-1.13.99.1		<I>myo</I>-inositol // oxygen // D-glucuronate // H<SUP>+</SUP> // H<SUB>2</SUB>O
a phosphatidylserine + H+  ->  a phosphatidylethanolamine + CO2	EC-4.1.1.65	phosphatidylethanolamine biosynthesis I	H<SUP>+</SUP> // a phosphatidylserine // a phosphatidylethanolamine // CO<SUB>2</SUB>
adenosine 3',5'-bisphosphate + H2O  =  AMP + phosphate	EC-3.1.3.7		H<SUB>2</SUB>O // adenosine 3',5'-bisphosphate // phosphate // AMP
guanosine + H2O  =  ammonia + xanthosine	EC-3.5.4.15		guanosine // H<SUB>2</SUB>O // ammonia // xanthosine
octaprenyldihydroxybenzoate methyltransferase	EC-2.1.1.114	ubiquinol-8 biosynthesis (eukaryotic)	3,4-dihydroxy-5-<i>all-trans</i>-octaprenylbenzoate // <i>S</i>-adenosyl-L-methionine // H<SUP>+</SUP> // 3-methoxy-4-hydroxy-5-<i>all-trans</i>-octaprenylbenzoate // <i>S</i>-adenosyl-L-homocysteine
UDP-N-acetyl-D-galactosamine + a glycoprotein-alpha-L-fucosyl-(1,2)-D-galactose  =  a [glycoprotein]-N-acetyl-alpha-D-galactosaminyl-(1,3)-[alpha-L-fucosyl-(1,2)]-D-galactose + UDP	EC-2.4.1.40		a glycoprotein-&alpha;-L-fucosyl-(1,2)-D-galactose // UDP-<i>N</i>-acetyl-D-galactosamine // a [glycoprotein]-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-(1,3)-[&alpha;-L-fucosyl-(1,2)]-D-galactose // UDP
glycerate kinase	EC-2.7.1.31		ATP // D-glycerate // H<SUP>+</SUP> // 3-phospho-D-glycerate // ADP
a diglyceride + H2O  ->  a 2-acylglycerol + a fatty acid	EC-3.1.1	triacylglycerol degradation	H<SUB>2</SUB>O // a diglyceride // a 2-acylglycerol // a fatty acid
xanthine + NAD+ + H2O  ->  urate + NADH + H+	EC-1.17.1.4	guanosine nucleotides degradation III // adenosine nucleotides degradation II // urate biosynthesis/inosine 5'-phosphate degradation	H<SUB>2</SUB>O // NAD<sup>+</sup> // xanthine // urate // NADH // H<SUP>+</SUP>
5-phospho-ribosyl-glycineamide + formate + ATP  ->  5'-phosphoribosyl-N-formylglycineamide + ADP + phosphate + H+	EC-2.1.2	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis II	ATP // formate // 5-phospho-ribosyl-glycineamide // H<SUP>+</SUP> // 5'-phosphoribosyl-<i>N</i>-formylglycineamide // ADP // phosphate
L-proline + an oxidized electron carrier  ->  (S)-1-pyrroline-5-carboxylate + a reduced two electron carrier	EC-1.5.99.8	proline degradation II	an oxidized electron carrier // L-proline // (<i>S</i>)-1-pyrroline-5-carboxylate // a reduced two electron carrier
ADP-ribose + H2O  =  D-ribose 5-phosphate + AMP + 2 H+	EC-3.6.1.13		H<SUB>2</SUB>O // ADP-ribose // D-ribose 5-phosphate // H<SUP>+</SUP> // AMP
cyclic-AMP + H2O  ->  AMP + H+	EC-3.1.4.53	cyclic AMP biosynthesis	H<SUB>2</SUB>O // cyclic-AMP // H<SUP>+</SUP> // AMP
L(or D)-O-phosphoserine + H2O  =  D-or-L-serine + phosphate	EC-3.1.3.3		H<SUB>2</SUB>O // L(or D)-<i>O</i>-phosphoserine // D-or-L-serine // phosphate
2.6.1.1 (cytosolic)	EC-2.6.1.1		2-oxoglutarate // L-aspartate // oxaloacetate // L-glutamate
3-oxo-octanoyl-[acyl-carrier protein] synthase	EC-2.3.1.41	palmitate biosynthesis I (animals)	malonyl-CoA // a hexanoyl-[acp] // a 3-oxooctanoyl-[acp] // CO<SUB>2</SUB> // coenzyme A
