Reaction	EC-Number	In-Pathway	Substrates
adenosine + H+ + H2O  =  ammonium + inosine	EC-3.5.4.4		adenosine // H<sub>2</sub>O // H<SUP>+</SUP> // ammonium // inosine
nicotinate + 5-phospho-alpha-D-ribose 1-diphosphate + ATP + H2O  ->  beta-nicotinate D-ribonucleotide + ADP + diphosphate + phosphate	EC-6.3.4.21	NAD salvage pathway V (PNC V cycle) // pyridine nucleotide cycling (plants)	H<sub>2</sub>O // ATP // 5-phospho-&alpha;-D-ribose 1-diphosphate // nicotinate // &beta;-nicotinate D-ribonucleotide // diphosphate // ADP // phosphate
CDP-1-18:1(9Z)-2-18:1(9Z)-glycerol + sn-glycerol 3-phosphate  =  CMP + phosphatidylglycerophosphate (dioctadec-9-enoyl(Z)) + H+	EC-2.7.8.5		<i>sn</i>-glycerol 3-phosphate // CDP-1-18:1(9Z)-2-18:1(9Z)-glycerol // CMP // phosphatidylglycerophosphate (dioctadec-9-enoyl(Z)) // H<SUP>+</SUP>
S-adenosyl-L-methionine + a cytosine2278 in 25S rRNA  ->  S-adenosyl-L-homocysteine + a 5-methylcytosine2278 in 25S rRNA + H+	EC-2.1.1.311		a cytosine<sup>2278</sup> in 25S rRNA // <i>S</i>-adenosyl-L-methionine // <i>S</i>-adenosyl-L-homocysteine // a 5-methylcytosine<sup>2278</sup> in 25S rRNA // H<SUP>+</SUP>
<i>N</i>,<i>N</i>-dihydroxy-L-tyrosine carboxy-lyase		glucosinolate biosynthesis from tyrosine // L-tyrosine + 2 a reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  (E)-(4-hydroxyphenyl)acetaldehyde oxime + 2 an oxidized [NADPH-hemoprotein reductase] + CO2 + 3 H2O	<i>N</i>,<i>N</i>-dihydroxy-L-tyrosine // H<SUP>+</SUP> // (<i>E</i>)-(4-hydroxyphenyl)acetaldehyde oxime // CO<SUB>2</SUB> // H<sub>2</sub>O
(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-omega-(methylsulfanyl)butan-1-imine + H2O  ->  (Z)-omega-(methylsulfanyl)butyl-thiohydroximate + L-seryl-glycine	EC-4.4.1	glucosinolate biosynthesis from homomethionine	H<sub>2</sub>O // (<i>Z</i>)-1-(L-cysteinylglycin-<i>S</i>-yl)-<i>N</i>-hydroxy-&omega;-(methylsulfanyl)butan-1-imine // (<i>Z</i>)-&omega;-(methylsulfanyl)butyl-thiohydroximate // L-seryl-glycine
glycine + gamma-L-glutamyl-(S)-2-aminobutanoate + ATP  ->  ophthalmate + ADP + phosphate + H+	EC-6.3.2.3	ophthalmate biosynthesis	ATP // &gamma;-L-glutamyl-(<i>S</i>)-2-aminobutanoate // glycine // ophthalmate // ADP // phosphate // H<SUP>+</SUP>
71-hydroxychlorophyllide a + NADPH + dioxygen + H+  ->  71-dihydroxychlorophyllide a + NADP+ + H2O		chlorophyll cycle // chlorophyllide a + 2 NADPH + 2 dioxygen + 2 H+  ->  chlorophyllide b + 2 NADP+ + 3 H2O	H<SUP>+</SUP> // NADPH // dioxygen // 7<sup>1</sup>-hydroxychlorophyllide <i>a</i> // 7<sup>1</sup>-dihydroxychlorophyllide <i>a</i> // H<sub>2</sub>O // NADP<sup>+</sup>
RH + chloride + hydrogen peroxide + H+  ->  RCl + 2 H2O	EC-1.11.1.10		H<SUP>+</SUP> // hydrogen peroxide // chloride // an organic molecule // an organochlorine compound // H<sub>2</sub>O
S-adenosyl-L-methionine + a [protein]-L-arginine  ->  S-adenosyl-L-homocysteine + [protein]-N5-methyl-L-arginine + H+	EC-2.1.1.322		a [protein]-L-arginine // <i>S</i>-adenosyl-L-methionine // <i>S</i>-adenosyl-L-homocysteine // [protein]-<i>N</i><sup>5</sup>-methyl-L-arginine // H<SUP>+</SUP>
a polyhydroxylated tetraketide alpha-pyrone + NADP+  =  a hydroxylated tetraketide alpha-pyrone + NADPH + H+	EC-1.1.1		NADP<sup>+</sup> // a polyhydroxylated tetraketide &alpha;-pyrone // a hydroxylated tetraketide &alpha;-pyrone // NADPH // H<SUP>+</SUP>
UDP-alpha-D-glucose + trans-zeatin-O-glucoside  ->  trans-zeatin-O-glucoside-7-N-glucoside + UDP + H+	EC-2.4.1	cytokinins 7-<i>N</i>-glucoside biosynthesis	<i>trans</i>-zeatin-<i>O</i>-glucoside // UDP-&alpha;-D-glucose // H<SUP>+</SUP> // <i>trans</i>-zeatin-<i>O</i>-glucoside-7-<i>N</i>-glucoside // UDP
pyridoxine 5'-phosphate + dioxygen  ->  hydrogen peroxide + pyridoxal 5'-phosphate	EC-1.4.3.5	pyridoxal 5'-phosphate salvage I // pyridoxal 5'-phosphate salvage II (plants)	pyridoxine 5'-phosphate // dioxygen // hydrogen peroxide // pyridoxal 5'-phosphate
D-cysteine + H2O  ->  ammonium + pyruvate + hydrogen sulfide	EC-4.4.1.15		H<sub>2</sub>O // D-cysteine // ammonium // pyruvate // hydrogen sulfide
2-dehydro-3-deoxy-D-octonate  <-->  3-deoxy-alpha-D-manno-2-octulosonate			2-dehydro-3-deoxy-D-octonate // 3-deoxy-&alpha;-D-<i>manno</i>-2-octulosonate
prenyl diphosphate + AMP  ->  N6-prenyladenosine 5'-phosphate + diphosphate	EC-2.5.1.27	<i>trans</i>-zeatin biosynthesis	AMP // prenyl diphosphate // <i>N</i><sup>6</sup>-prenyladenosine 5'-phosphate // diphosphate
(S)-scoulerine + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (S)-cheilanthifoline + an oxidized [NADPH-hemoprotein reductase] + 2 H2O	EC-1.14.19.65	sanguinarine and macarpine biosynthesis	a reduced [NADPH-hemoprotein reductase] // dioxygen // (<i>S</i>)-scoulerine // (<i>S</i>)-cheilanthifoline // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase]
S-adenosyl-L-methionine + zymosterol  ->  S-adenosyl-L-homocysteine + fecosterol + H+	EC-2.1.1.41		zymosterol // <i>S</i>-adenosyl-L-methionine // H<SUP>+</SUP> // <i>S</i>-adenosyl-L-homocysteine // fecosterol
D-glucopyranose + ATP  ->  D-glucopyranose 6-phosphate + ADP + H+	EC-2.7.1.1 // EC-2.7.1.2	GDP-glucose biosynthesis // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II // sucrose biosynthesis II // sucrose degradation III (sucrose invertase) // glucose and glucose-1-phosphate degradation // trehalose degradation II (cytosolic)	ATP // D-glucopyranose // D-glucopyranose 6-phosphate // ADP // H<SUP>+</SUP>
a mercapturate + H2O  ->  an L-cysteine-S-conjugate + acetate	EC-3.5.1.14 // EC-3.5.1.114		H<sub>2</sub>O // a mercapturate // an L-cysteine-<i>S</i>-conjugate // acetate
6-(methylsulfanyl)hexyl-desulfoglucosinolate + 3'-phosphoadenylyl-sulfate  ->  adenosine 3',5'-bisphosphate + 6-(methylsulfanyl)hexyl-glucosinolate + H+	EC-2.8.2.38	glucosinolate biosynthesis from tetrahomomethionine	3'-phosphoadenylyl-sulfate // 6-(methylsulfanyl)hexyl-desulfoglucosinolate // adenosine 3',5'-bisphosphate // H<SUP>+</SUP> // 6-(methylsulfanyl)hexyl-glucosinolate
(glutathion-S-yl)-4-methoxy-3-indolylmethylisothiocyanate + 2 H2O  ->  4-methoxy-3-indolylmethylamine + raphanusamate + L-glutamate + glycine		indole glucosinolate activation (intact plant cell)	H<sub>2</sub>O // (glutathion-<i>S</i>-yl)-4-methoxy-3-indolylmethylisothiocyanate // 4-methoxy-3-indolylmethylamine // raphanusamate // L-glutamate // glycine
a rhamnogalacturonan type I + H2O  ->  [rhamnogalacturonan I oligosaccharide]-alpha-L-rhamnose + 4-deoxy-4,5-unsaturated alpha-D-galactopyranosyluronate-[rhamnogalacturonan I oligosaccharide]	EC-4.2.2.23		H<sub>2</sub>O // a rhamnogalacturonan type I // [rhamnogalacturonan I oligosaccharide]-&alpha;-L-rhamnose // 4-deoxy-4,5-unsaturated &alpha;-D-galactopyranosyluronate-[rhamnogalacturonan I oligosaccharide]
UDP-alpha-D-glucose + cis-tuberonic acid  ->  cis-tuberonic acid glucoside + UDP + H+	EC-2.4.1	jasmonoyl-L-isoleucine inactivation	<i>cis</i>-tuberonic acid // UDP-&alpha;-D-glucose // <i>cis</i>-tuberonic acid glucoside // UDP // H<SUP>+</SUP>
D-gluconate 6-phosphate + H2O  ->  D-gluconate + phosphate	EC-3.1.3		H<sub>2</sub>O // D-gluconate 6-phosphate // D-gluconate // phosphate
2'-deoxyguanosine + ATP  ->  dGMP + ADP + H+	EC-2.7.1.74 // EC-2.7.1.113 // EC-2.7.1.145	purine deoxyribonucleosides salvage	ATP // 2'-deoxyguanosine // H<SUP>+</SUP> // dGMP // ADP
UDP-alpha-D-galactose + a lactosylceramide  =  a globotriosylceramide + UDP + H+	EC-2.4.1.228		a lactosylceramide // UDP-&alpha;-D-galactose // a globotriosylceramide // H<SUP>+</SUP> // UDP
(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl CoA  =  (24E)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA + H2O	EC-4.2.1.107		(24<i>R</i>,25<i>R</i>)-3&alpha;,7&alpha;,12&alpha;,24-tetrahydroxy-5&beta;-cholestanoyl CoA // (24<i>E</i>)-3&alpha;,7&alpha;,12&alpha;-trihydroxy-5&beta;-cholest-24-enoyl-CoA // H<sub>2</sub>O
D-ribulose 5-phosphate + ATP  ->  D-ribulose-1,5-bisphosphate + ADP + H+	EC-2.7.1.19	Rubisco shunt // Calvin-Benson-Bassham cycle	ATP // D-ribulose 5-phosphate // H<SUP>+</SUP> // D-ribulose-1,5-bisphosphate // ADP
6-(methylsulfanyl)-2-oxohexanoate + acetyl-CoA + H2O  ->  2-[(4'-methylsulfanyl)butyl]malate + coenzyme A + H+	EC-2.3.3.17	aliphatic glucosinolate biosynthesis, side chain elongation cycle	H<sub>2</sub>O // acetyl-CoA // 6-(methylsulfanyl)-2-oxohexanoate // H<SUP>+</SUP> // 2-[(4'-methylsulfanyl)butyl]malate // coenzyme A
4-aminobutanal  <-->  1-pyrroline + H2O		putrescine degradation IV	4-aminobutanal // 1-pyrroline // H<sub>2</sub>O
sulfanylarsonate + H2O  ->  arsenate + hydrogen sulfide			H<sub>2</sub>O // sulfanylarsonate // arsenate // hydrogen sulfide
desulfoglucotropaeolin + 3'-phosphoadenylyl-sulfate  ->  adenosine 3',5'-bisphosphate + glucotropaeolin + H+	EC-2.8.2.24	glucosinolate biosynthesis from phenylalanine	3'-phosphoadenylyl-sulfate // desulfoglucotropaeolin // adenosine 3',5'-bisphosphate // H<SUP>+</SUP> // glucotropaeolin
stachyose + galactinol  ->  verbascose + myo-inositol	EC-2.4.1	ajugose biosynthesis I (galactinol-dependent)	galactinol // stachyose // verbascose // <I>myo</I>-inositol
UDP-alpha-D-glucose + trans-zeatin  ->  trans-zeatin-O-glucoside + UDP + H+	EC-2.4.1.203	cytokinin-<i>O</i>-glucosides biosynthesis	<i>trans</i>-zeatin // UDP-&alpha;-D-glucose // H<SUP>+</SUP> // <i>trans</i>-zeatin-<i>O</i>-glucoside // UDP
(E)-(indol-3-yl)acetaldehyde oxime + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  1-(1H-indol-3-yl)-2-aci-nitroethane + an oxidized [NADPH-hemoprotein reductase] + H2O		glucosinolate biosynthesis from tryptophan // (E)-(indol-3-yl)acetaldehyde oxime + glutathione + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (Z)-1-(glutathion-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine + an oxidized [NADPH-hemoprotein reductase] + 2 H2O	dioxygen // a reduced [NADPH-hemoprotein reductase] // (<i>E</i>)-(indol-3-yl)acetaldehyde oxime // 1-(1<i>H</i>-indol-3-yl)-2-<i>aci</i>-nitroethane // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O
24-epicathasterone + 3'-phosphoadenylyl-sulfate  ->  24-epicathasterone-22-O-sulfate + adenosine 3',5'-bisphosphate + H+	EC-2.8.2		3'-phosphoadenylyl-sulfate // 24-epicathasterone // H<SUP>+</SUP> // 24-epicathasterone-22-O-sulfate // adenosine 3',5'-bisphosphate
3-methoxy-4-hydroxy-5-all-trans-nonaprenylbenzoate + H+  ->  2-methoxy-6-(all-trans-nonaprenyl)phenol + CO2	EC-4.1.1	ubiquinol-9 biosynthesis (late decarboxylation)	3-methoxy-4-hydroxy-5-<i>all-trans</i>-nonaprenylbenzoate // H<SUP>+</SUP> // 2-methoxy-6-(<i>all-trans</i>-nonaprenyl)phenol // CO<SUB>2</SUB>
a [protein]-N6-acetyl-L-lysine + NAD+  ->  a [protein]-N6-[1,1-(5-adenosylyl-alpha-D-ribose-1,2-di-O-yl)ethyl]-L-lysine + nicotinamide		a [protein]-N6-acetyl-L-lysine + NAD+ + H2O  ->  a [protein]-L-lysine + 2''-O-acetyl-ADP-ribose + nicotinamide	NAD<sup>+</sup> // a [protein]-<i>N</i><sup>6</sup>-acetyl-L-lysine // a [protein]-<i>N</i><sup>6</sup>-[1,1-(5-adenosylyl-&alpha;-D-ribose-1,2-di-O-yl)ethyl]-L-lysine // nicotinamide
CDP + ATP  ->  CTP + ADP	EC-2.7.4.6	CMP phosphorylation	ATP // CDP // CTP // ADP
trans-5-O-caffeoyl-D-quinate + coenzyme A  <-->  (E)-caffeoyl-CoA + L-quinate	EC-2.3.1	caffeoylglucarate biosynthesis // chlorogenic acid biosynthesis I // phenylpropanoid biosynthesis	coenzyme A // <i>trans</i>-5-O-caffeoyl-D-quinate // (<i>E</i>)-caffeoyl-CoA // L-quinate
trans-5-O-(4-coumaroyl)-D-quinate + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  trans-5-O-caffeoyl-D-quinate + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.96	chlorogenic acid biosynthesis II // chlorogenic acid biosynthesis I // phenylpropanoid biosynthesis	a reduced [NADPH-hemoprotein reductase] // dioxygen // <i>trans</i>-5-<i>O</i>-(4-coumaroyl)-D-quinate // <i>trans</i>-5-O-caffeoyl-D-quinate // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase]
(1R,2S)-homoisocitrate + NAD+  =  2-oxoadipate + CO2 + NADH	EC-1.1.1.87 // EC-1.1.1.286		NAD<sup>+</sup> // (1<i>R</i>,2<i>S</i>)-homoisocitrate // 2-oxoadipate // CO<SUB>2</SUB> // NADH
a 1,2-diacyl-3-O-(beta-D-galactopyranosyl)-sn-glycerol + 2 H2O  ->  2 a carboxylate + 3-beta-D-galactosyl-sn-glycerol + 2 H+	EC-3.1.1.26		H<sub>2</sub>O // a 1,2-diacyl-3-O-(&beta;-D-galactopyranosyl)-<i>sn</i>-glycerol // a carboxylate // 3-&beta;-D-galactosyl-sn-glycerol // H<SUP>+</SUP>
an omega-(methylsulfinyl)alkyl-glucosinolate + dioxygen + H2O  ->  an omega-hydroxyalkyl glucosinolate + methanesulfonate + H+	EC-1.14.11		H<sub>2</sub>O // dioxygen // an &omega;-(methylsulfinyl)alkyl-glucosinolate // an &omega;-hydroxyalkyl glucosinolate // methanesulfonate // H<SUP>+</SUP>
S-adenosyl-L-methionine + ethanolamine  ->  N-monomethylethanolamine + S-adenosyl-L-homocysteine + H+	EC-2.1.1	choline biosynthesis II	ethanolamine // <i>S</i>-adenosyl-L-methionine // H<SUP>+</SUP> // <i>N</i>-monomethylethanolamine // <i>S</i>-adenosyl-L-homocysteine
D-myo-inositol 1,3,4,5,6-pentakisphosphate + ATP  ->  phytate + ADP + H+	EC-2.7.1.158	inositol diphosphates biosynthesis // 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3) // 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3) // 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>) // lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P<sub>3</sub>) // lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)	ATP // D-<i>myo</i>-inositol 1,3,4,5,6-pentakisphosphate // H<SUP>+</SUP> // phytate // ADP
meso-diaminopimelate + H+  ->  CO2 + L-lysine	EC-4.1.1.20	L-lysine biosynthesis VI	<i>meso</i>-diaminopimelate // H<SUP>+</SUP> // CO<SUB>2</SUB> // L-lysine
4-coumarate + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  trans-caffeate + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.96	suberin monomers biosynthesis // superpathway of scopolin and esculin biosynthesis // free phenylpropanoid acid biosynthesis	dioxygen // a reduced [NADPH-hemoprotein reductase] // 4-coumarate // <i>trans</i>-caffeate // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase]
dCDP + an oxidized NrdH glutaredoxin-like protein + H2O  <-  CDP + a reduced NrdH glutaredoxin-like protein	EC-1.17.4.1	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	H<sub>2</sub>O // an oxidized NrdH glutaredoxin-like protein // dCDP // CDP // a reduced NrdH glutaredoxin-like protein
(S)-3-hydroxyhexanoyl-CoA + NAD+  =  3-oxohexanoyl-CoA + NADH + H+	EC-1.1.1.35		NAD<sup>+</sup> // (<i>S</i>)-3-hydroxyhexanoyl-CoA // 3-oxohexanoyl-CoA // NADH // H<SUP>+</SUP>
an N-(sulfonatooxy)alkanimidothioic acid  ->  a nitrile + sulfate + sulfur(0) + H+	EC-4.8.1	glucosinolate activation	an <i>N</i>-(sulfonatooxy)alkanimidothioic acid // a nitrile // sulfate // sulfur(0) // H<SUP>+</SUP>
homogentisate + phytyl diphosphate + H+  ->  2-methyl-6-phytyl-1,4-benzoquinol + CO2 + diphosphate	EC-2.5.1.115	vitamin E biosynthesis (tocopherols)	phytyl diphosphate // homogentisate // H<SUP>+</SUP> // 2-methyl-6-phytyl-1,4-benzoquinol // CO<SUB>2</SUB> // diphosphate
a [protein]-Npi-phospho-L-histidine + 2-phospho-D-glycerate  <-->  a [protein]-L-histidine + 2,3-diphospho-D-glycerate		2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	2-phospho-D-glycerate // a [protein]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine // a [protein]-L-histidine // 2,3-diphospho-D-glycerate
pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)		acetoin + an [acetoin dehydrogenase E2 protein] N6-lipoyl-L-lysine  ->  an [acetoin dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + acetaldehyde // pyruvate + a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + CO2	thiamine diphosphate // pyruvate // H<SUP>+</SUP> // 2-(&alpha;-hydroxyethyl)thiamine diphosphate // CO<SUB>2</SUB>
2''-O-acetyl-ADP-ribose  <-->  3''-O-acetyl-ADP-ribose			2''-<i>O</i>-acetyl-ADP-ribose // 3''-<i>O</i>-acetyl-ADP-ribose
a 2,3,4-saturated fatty acyl-[acp] + NAD+  <-  a trans-2-enoyl-[acyl-carrier protein] + NADH + H+	EC-1.3.1.9	fatty acid elongation -- saturated	NAD<sup>+</sup> // a 2,3,4-saturated fatty acyl-[acp] // a <i>trans</i>-2-enoyl-[acyl-carrier protein] // NADH // H<SUP>+</SUP>
beta-L-arabinose 1-phosphate + UTP + H+  ->  UDP-beta-L-arabinopyranose + diphosphate	EC-2.7.7.37	UDP-&beta;-L-arabinose biosynthesis II (from &beta;-L-arabinose)	UTP // &beta;-L-arabinose 1-phosphate // H<SUP>+</SUP> // UDP-&beta;-L-arabinopyranose // diphosphate
gibberellin A12 + 2-oxoglutarate + dioxygen  ->  gibberellin A14 + succinate + CO2	EC-1.14.11	gibberellin biosynthesis II (early C-3 hydroxylation)	dioxygen // 2-oxoglutarate // gibberellin A<sub>12</sub> // gibberellin A<sub>14</sub> // succinate // CO<SUB>2</SUB>
2-[(2'-methylsulfanyl)heptyl]maleate + H2O  <-->  3-[(7'-methylsulfanyl)heptyl]malate		2-[(7'-methylsulfanyl)heptyl]malate  ->  3-[(7'-methylsulfanyl)heptyl]malate // aliphatic glucosinolate biosynthesis, side chain elongation cycle	H<sub>2</sub>O // 2-[(2'-methylsulfanyl)heptyl]maleate // 3-[(7'-methylsulfanyl)heptyl]malate
Painter reaction		selenate reduction	H<SUP>+</SUP> // glutathione // selenite // selenodiglutathione // glutathione disulfide // H<sub>2</sub>O
(3R)-3-hydroxylignoceroyl-CoA  ->  trans-lignocer-2-enoyl-CoA + H2O	EC-4.2.1.134	very long chain fatty acid biosynthesis II	(3<i>R</i>)-3-hydroxylignoceroyl-CoA // <i>trans</i>-lignocer-2-enoyl-CoA // H<sub>2</sub>O
arabidopsis anthocyanin A5 + coenzyme A  ->  arabidopsis anthocyanin A3 + malonyl-CoA	EC-2.3.1	anthocyanidin modification (<i>Arabidopsis</i>)	malonyl-CoA // arabidopsis anthocyanin A3 // arabidopsis anthocyanin A5 // coenzyme A
isorhamnetin + 3'-phosphoadenylyl-sulfate  ->  adenosine 3',5'-bisphosphate + isorhamnetin 3-sulfate + H+		quercetin sulfate biosynthesis	3'-phosphoadenylyl-sulfate // isorhamnetin // adenosine 3',5'-bisphosphate // H<SUP>+</SUP> // isorhamnetin 3-sulfate
a 5-phosphooxy-L-glutamyl-[tRNAGln] + ammonia  ->  an L-glutaminyl-[tRNAGln] + phosphate		glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-glutamine + an L-glutamyl-[tRNAGln] + ATP + H2O  ->  L-glutamate + an L-glutaminyl-[tRNAGln] + ADP + phosphate + H+	ammonia // a 5-phosphooxy-L-glutamyl-[tRNA<sup>Gln</sup>] // an L-glutaminyl-[tRNA<SUP>Gln</SUP>] // phosphate
(Z)-1-(glutathion-S-yl)-N-hydroxy-omega-(methylsulfanyl)pentan-1-imine + H2O  ->  (Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-omega-(methylsulfanyl)pentan-1-imine + L-glutamate	EC-3.4.19.16	glucosinolate biosynthesis from dihomomethionine	H<sub>2</sub>O // (<i>Z</i>)-1-(glutathion-<i>S</i>-yl)-<i>N</i>-hydroxy-&omega;-(methylsulfanyl)pentan-1-imine // (<i>Z</i>)-1-(L-cysteinylglycin-<i>S</i>-yl)-<i>N</i>-hydroxy-&omega;-(methylsulfanyl)pentan-1-imine // L-glutamate
(R)-S-lactoylglutathione + H2O  ->  glutathione + (R)-lactate + H+	EC-3.1.2.6	methylglyoxal degradation I	H<sub>2</sub>O // (<i>R</i>)-<i>S</i>-lactoylglutathione // H<SUP>+</SUP> // glutathione // (<i>R</i>)-lactate
a alpha-D-mannosyl-(1->6)-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl-[protein] + H2O  ->  alpha1,6-D mannobiose + an N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl-[protein]	EC-3.2.1.152		H<sub>2</sub>O // a &alpha;-D-mannosyl-(1->6)-&beta;-D-mannosyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-[protein] // &alpha;1,6-D mannobiose // an <i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-[protein]
a 2-lysophosphatidate + H2O  ->  a 1-acyl-sn-glycerol + phosphate	EC-3.1.3.106		H<sub>2</sub>O // a 2-lysophosphatidate // a 1-acyl-<i>sn</i>-glycerol // phosphate
2 glutathione + NADP+  <-  glutathione disulfide + NADPH + H+	EC-1.8.1.7	glutathione-peroxide redox reactions	NADP<sup>+</sup> // glutathione // glutathione disulfide // NADPH // H<SUP>+</SUP>
UDP-alpha-D-glucose + kinetin  ->  kinetin-7-N-glucoside + UDP + H+	EC-2.4.1	cytokinins 7-<i>N</i>-glucoside biosynthesis	kinetin // UDP-&alpha;-D-glucose // H<SUP>+</SUP> // kinetin-7-<i>N</i>-glucoside // UDP
adenosine + ATP  ->  AMP + ADP + H+	EC-2.7.1.20	adenine and adenosine salvage VI	ATP // adenosine // H<SUP>+</SUP> // AMP // ADP
geranylgeranyl diphosphate + 5 3-methylbut-3-en-1-yl diphosphate  ->  all-trans-nonaprenyl diphosphate + 5 diphosphate	EC-2.5.1.85	nonaprenyl diphosphate biosynthesis II	3-methylbut-3-en-1-yl diphosphate // geranylgeranyl diphosphate // <i>all-trans</i>-nonaprenyl diphosphate // diphosphate
