Reaction	EC-Number	In-Pathway	Substrates
an apo acyl-carrier protein + coenzyme A  ->  adenosine 3',5'-bisphosphate + a holo acyl-carrier protein + H+	EC-2.7.8.7	acyl carrier protein activation	coenzyme A // all <i>apo</i>-acyl carrier proteins // adenosine 3',5'-bisphosphate // all <i>holo</i>-acyl carrier proteins // H<SUP>+</SUP>
(R)-S-lactoylglutathione  <-  methylglyoxal + glutathione	EC-4.4.1.5	methylglyoxal degradation I	(<i>R</i>)-<i>S</i>-lactoylglutathione // methylglyoxal // glutathione
a [cysteine desulfurase]-(S-sulfanyl)2-[disordered-form scaffold protein] complex + 2 Fe3+  ->  a [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex		[2Fe-2S] iron-sulfur cluster biosynthesis	Fe<SUP>3+</SUP> // a [cysteine desulfurase]-(<i>S</i>-sulfanyl)<sub>2</sub>-[disordered-form scaffold protein] complex // a [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex
3-isopropylmalate dehydratase		L-leucine biosynthesis // (2R,3S)-3-isopropylmalate  <-->  (2S)-2-isopropylmalate	(2<i>R</i>,3<i>S</i>)-3-isopropylmalate // 2-isopropylmaleate // H<sub>2</sub>O
adenosylcob(III)alamin-[corrinoid adenosyltranferase]  ->  adenosylcobalamin + a [corrinoid adenosyltransferase]		2 ATP + 2 cob(II)alamin + a [reduced flavoprotein]  ->  2 adenosylcobalamin + 2 triphosphate + an [oxidized flavoprotein] + 2 H+ // adenosylcobalamin salvage from cobalamin	adenosylcob(III)alamin-[corrinoid adenosyltranferase] // adenosylcobalamin // a [corrinoid adenosyltransferase]
[(R)-lipoyl]adenylate + a [lipoyl-carrier protein]-L-lysine  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + AMP + 2 H+		lipoate salvage I // a [lipoyl-carrier protein]-L-lysine + ATP + (R)-lipoate  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + AMP + diphosphate + H+	a [lipoyl-carrier protein]-L-lysine // [(<i>R</i>)-lipoyl]adenylate // a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // AMP // H<SUP>+</SUP>
heme <i>o</i> biosynthesis	EC-2.5.1.141	heme <i>a</i> biosynthesis	H<sub>2</sub>O // (2<i>E</i>,6<i>E</i>)-farnesyl diphosphate // protoheme // ferroheme <i>o</i> // diphosphate
a beta-D-fructofuranoside + H2O  ->  beta-D-fructofuranose + a glycoside	EC-3.2.1.26		H<sub>2</sub>O // a &beta;-D-fructofuranoside // &beta;-D-fructofuranose // a glycoside
3-oxo-palmitoyl-[acyl-carrier protein] synthase	EC-2.3.1.179 // EC-2.3.1.41	palmitate biosynthesis II (bacteria and plant cytoplasm)	H<SUP>+</SUP> // a malonyl-[acp] // a myristoyl-[acp] // a 3-oxohexadecanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate  ->  3-(imidazol-4-yl)-2-oxopropyl phosphate + H2O	EC-4.2.1.19	L-histidine biosynthesis	D-<i>erythro</i>-1-(imidazol-4-yl)-glycerol 3-phosphate // 3-(imidazol-4-yl)-2-oxopropyl phosphate // H<sub>2</sub>O
<i>trans</i> hexadecenoyl-[acp] reductase	EC-1.3.1.9	palmitate biosynthesis II (bacteria and plant cytoplasm)	NAD<sup>+</sup> // a palmitoyl-[acp] // a (2<i>E</i>)-hexadec-2-enoyl-[acp] // NADH // H<SUP>+</SUP>
2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol  ->  2-C-methyl-D-erythritol-2,4-cyclodiphosphate + CMP	EC-4.6.1.12	methylerythritol phosphate pathway	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol // 2-C-methyl-D-erythritol-2,4-cyclodiphosphate // CMP
L-lysine + H+  ->  cadaverine + CO2	EC-4.1.1.18	cadaverine biosynthesis	H<SUP>+</SUP> // L-lysine // cadaverine // CO<SUB>2</SUB>
2 a reduced ferredoxin [iron-sulfur] cluster + NADP+ + H+  <-->  2 an oxidized ferredoxin [iron-sulfur] cluster + NADPH	EC-1.18.1.2	photosynthesis light reactions	H<SUP>+</SUP> // NADP<sup>+</sup> // a reduced ferredoxin [iron-sulfur] cluster // an oxidized ferredoxin [iron-sulfur] cluster // NADPH
D-ribofuranose 5-phosphate + uracil  =  pseudouridine 5'-phosphate + H2O	EC-4.2.1.70		uracil // D-ribofuranose 5-phosphate // H<sub>2</sub>O // pseudouridine 5'-phosphate
ADP reductase	EC-1.17.4.1	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	H<sub>2</sub>O // an oxidized thioredoxin // dADP // ADP // a reduced thioredoxin
beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	EC-2.7.7.18	NAD <i>de novo</i> biosynthesis I (from aspartate)	H<SUP>+</SUP> // ATP // &beta;-nicotinate D-ribonucleotide // nicotinate adenine dinucleotide // diphosphate
2 glutathione + an oxidized glutaredoxin  ->  glutathione disulfide + a reduced glutaredoxin		glutathione-glutaredoxin redox reactions // 2 glutathione + a protein with a disulfide bond  ->  glutathione disulfide + a protein with reduced L-cysteine residues	an oxidized glutaredoxin // glutathione // glutathione disulfide // a reduced glutaredoxin
CTP + 2 hydroxyl radical  ->  5-hydroxy-CTP + H2O			hydroxyl radical // CTP // 5-hydroxy-CTP // H<sub>2</sub>O
oxaloacetate + phosphate  <-  phosphoenolpyruvate + hydrogencarbonate	EC-4.1.1.31	partial TCA cycle (obligate autotrophs)	oxaloacetate // phosphate // phospho<i>enol</i>pyruvate // hydrogencarbonate
ATP + protoporphyrin IX + Mg2+ + H2O  ->  Mg-protoporphyrin + ADP + phosphate + 3 H+	EC-6.6.1.1	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	H<sub>2</sub>O // Mg<SUP>2+</SUP> // protoporphyrin IX // ATP // H<SUP>+</SUP> // Mg-protoporphyrin // phosphate // ADP
3-oxo-hexanoyl-[acyl-carrier protein] synthase	EC-2.3.1.179 // EC-2.3.1.41	palmitate biosynthesis II (bacteria and plant cytoplasm)	H<SUP>+</SUP> // a malonyl-[acp] // a butanoyl-[acp] // a 3-oxohexanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
alpha-D-ribose-1-phosphate  ->  D-ribose 5-phosphate	EC-5.4.2.7	purine ribonucleosides degradation	&alpha;-D-ribose-1-phosphate // D-ribose 5-phosphate
a palmitoyl-[acp] + H2O  ->  palmitate + acyl-carrier protein + H+	EC-3.1.2.14	palmitate biosynthesis II (bacteria and plant cytoplasm)	H<sub>2</sub>O // a palmitoyl-[acp] // palmitate // a soluble [acyl-carrier protein] // H<SUP>+</SUP>
putrescine + S-adenosyl 3-(methylsulfanyl)propylamine  ->  spermidine + S-methyl-5'-thioadenosine + H+	EC-2.5.1.16	spermidine biosynthesis I	<i>S</i>-adenosyl 3-(methylsulfanyl)propylamine // putrescine // H<SUP>+</SUP> // spermidine // <i>S</i>-methyl-5'-thioadenosine
arsenate + glutathione + a reduced glutaredoxin + H+  ->  arsenite + a [glutaredoxin]-glutathione disulfide + H2O	EC-1.20.4.1	arsenate detoxification II (glutaredoxin)	H<SUP>+</SUP> // a reduced glutaredoxin // glutathione // arsenate // arsenite // a [glutaredoxin]-glutathione disulfide // H<sub>2</sub>O
4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ATP  ->  4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + ADP	EC-2.7.4.7	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I	ATP // 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine // 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine // ADP
1-deoxy-D-xylulose 5-phosphate + 2-iminoacetate + a thiocarboxy-[ThiS-Protein]  ->  2-[(2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + a [ThiS sulfur-carrier protein] + 2 H2O	EC-2.8.1.10	thiamine diphosphate thiazole component biosynthesis	a thiocarboxy-[ThiS-Protein] // 2-iminoacetate // 1-deoxy-D-xylulose 5-phosphate // 2-[(2<i>R</i>,5<i>Z</i>)-2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene]ethyl phosphate // H<sub>2</sub>O // a [ThiS sulfur-carrier protein]
2 glutathione + a hydroperoxy-fatty-acyl-[lipid]  ->  glutathione disulfide + a hydroxy-fatty-acyl-[lipid] + H2O	EC-1.11.1.12	glutathione-peroxide redox reactions	a hydroperoxy-fatty-acyl-[lipid] // glutathione // glutathione disulfide // a hydroxy-fatty-acyl-[lipid] // H<sub>2</sub>O
(2R,3Z)-phycocyanobilin + 4 an oxidized ferredoxin [iron-sulfur] cluster  <-  (Z,Z)-biliverdin-IX alpha + 4 a reduced ferredoxin [iron-sulfur] cluster + 4 H+	EC-1.3.7.5	phycocyanobilin biosynthesis	an oxidized ferredoxin [iron-sulfur] cluster // (2R,3Z)-phycocyanobilin // (<i>Z,Z</i>)-biliverdin-IX &alpha; // a reduced ferredoxin [iron-sulfur] cluster // H<SUP>+</SUP>
L-tryptophan + a tRNATrp + ATP  ->  AMP + an L-tryptophanyl-[tRNATrp] + diphosphate	EC-6.1.1.2	tRNA charging	ATP // a tRNA<SUP>Trp</SUP> // L-tryptophan // AMP // diphosphate // an L-tryptophanyl-[tRNA<SUP>Trp</SUP>]
dCDP + an oxidized thioredoxin + H2O  <-  CDP + a reduced thioredoxin	EC-1.17.4.1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	H<sub>2</sub>O // an oxidized thioredoxin // dCDP // CDP // a reduced thioredoxin
D-ribose 5-phosphate  <-->  D-ribulose 5-phosphate	EC-5.3.1.6	Rubisco shunt // Calvin-Benson-Bassham cycle // pentose phosphate pathway (non-oxidative branch)	D-ribose 5-phosphate // D-ribulose 5-phosphate
a long-chain fatty aldehyde + acyl-carrier protein + NAD(P)+  <-  a long-chain fatty acyl-[acyl-carrier protein] + NAD(P)H + H+	EC-1.2.1.80	alkane biosynthesis I	NAD(P)<sup>+</sup> // a soluble [acyl-carrier protein] // a long-chain fatty aldehyde // a long-chain fatty acyl-[acyl-carrier protein] // NAD(P)H // H<SUP>+</SUP>
isochorismate + 2-oxoglutarate + H+  ->  2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate + CO2	EC-2.2.1.9	2-carboxy-1,4-naphthoquinol biosynthesis	2-oxoglutarate // isochorismate // H<SUP>+</SUP> // 2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate // CO<SUB>2</SUB>
an oxidized plastocyanin[thylakoid lumen] + a reduced ferredoxin [iron-sulfur] cluster  <-  hnu + a reduced plastocyanin[thylakoid lumen] + an oxidized ferredoxin [iron-sulfur] cluster	EC-1.97.1.12	cyclic electron flow // photosynthesis light reactions	a reduced ferredoxin [iron-sulfur] cluster // an oxidized plastocyanin // h&nu; // a reduced plastocyanin // an oxidized ferredoxin [iron-sulfur] cluster
preuroporphyrinogen  ->  uroporphyrinogen-III + H2O	EC-4.2.1.75	tetrapyrrole biosynthesis I (from glutamate)	preuroporphyrinogen // uroporphyrinogen-III // H<sub>2</sub>O
geranylgeranyl diphosphate + 5 isopentenyl diphosphate  ->  all-trans-nonaprenyl diphosphate + 5 diphosphate	EC-2.5.1.85	nonaprenyl diphosphate biosynthesis II	isopentenyl diphosphate // geranylgeranyl diphosphate // <i>all-trans</i>-nonaprenyl diphosphate // diphosphate
3-oxo-octanoyl-[acyl-carrier protein] synthase	EC-2.3.1.179 // EC-2.3.1.41	palmitate biosynthesis II (bacteria and plant cytoplasm)	H<SUP>+</SUP> // a malonyl-[acp] // a hexanoyl-[acp] // a 3-oxooctanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
UDP + H2O  ->  UMP + phosphate + H+	EC-3.6.1.6	UTP and CTP dephosphorylation I	H<sub>2</sub>O // UDP // phosphate // UMP // H<SUP>+</SUP>
3-oxo-stearoyl-[acyl-carrier protein] reductase	EC-1.1.1.100	stearate biosynthesis II (bacteria and plants)	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxyoctadecanoyl-[acp] // a 3-oxooctadecanoyl-[acp] // NADPH // H<SUP>+</SUP>
pyruvate + a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + CO2	EC-1.2.4.1	pyruvate decarboxylation to acetyl CoA // pyruvate + coenzyme A + NAD+  ->  acetyl-CoA + CO2 + NADH	H<SUP>+</SUP> // a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // pyruvate // a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-acetyldihydrolipoyl-L-lysine // CO<SUB>2</SUB>
2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	EC-5.4.2.12	Entner-Doudoroff pathway I // Rubisco shunt	2-phospho-D-glycerate // 3-phospho-D-glycerate
selenite + AMP + glutathione disulfide + 2 H+  <-  adenosine 5'-phosphoselenate + 2 glutathione	EC-1.8.4.9	selenate reduction	H<SUP>+</SUP> // glutathione disulfide // AMP // selenite // adenosine 5'-phosphoselenate // glutathione
a (3R)-3-hydroxytetradecanoyl-[acp] + UDP-3-O-(3-hydroxymyristoyl)-alpha-D-glucosamine  ->  UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosamine + acyl-carrier protein + H+	EC-2.3.1.191	lipid IV<sub>A</sub> biosynthesis (E. coli)	UDP-3-<i>O</i>-(3-hydroxymyristoyl)-&alpha;-D-glucosamine // a (3<i>R</i>)-3-hydroxytetradecanoyl-[acp] // UDP-2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-&alpha;-D-glucosamine // a soluble [acyl-carrier protein] // H<SUP>+</SUP>
N-acetyl-L-glutamate + ATP  ->  N-acetylglutamyl-phosphate + ADP	EC-2.7.2.8	L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)	ATP // <i>N</i>-acetyl-L-glutamate // <i>N</i>-acetylglutamyl-phosphate // ADP
acetyl-CoA + a malonyl-[acp] + H+  ->  an acetoacetyl-[acp] + CO2 + coenzyme A	EC-2.3.1.180	fatty acid biosynthesis initiation (bacteria and plants)	H<SUP>+</SUP> // a malonyl-[acp] // acetyl-CoA // an acetoacetyl-[acp] // coenzyme A // CO<SUB>2</SUB>
(S)-2,3,4,5-tetrahydrodipicolinate + NAD(P)+ + H2O  =  (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + NAD(P)H + H+	EC-1.17.1.8		H<sub>2</sub>O // NAD(P)<sup>+</sup> // (<i>S</i>)-2,3,4,5-tetrahydrodipicolinate // (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate // NAD(P)H // H<SUP>+</SUP>
a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + H2O  ->  a [lipoyl-carrier protein]-L-lysine + (R)-lipoate	EC-3.5.1	lipoate salvage II	H<sub>2</sub>O // a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // a [lipoyl-carrier protein]-L-lysine // (<i>R</i>)-lipoate
5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  ->  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	EC-4.3.2.2	inosine-5'-phosphate biosynthesis I	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole // fumarate // 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
a [lipoyl-carrier protein]-L-lysine + ATP + (R)-lipoate  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + AMP + diphosphate + H+	EC-6.3.1.20		ATP // (<i>R</i>)-lipoate // a [lipoyl-carrier protein]-L-lysine // a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // AMP // diphosphate // H<SUP>+</SUP>
ATP + UTP + ammonium  ->  ADP + CTP + phosphate + 2 H+		ATP + UTP + L-glutamine + H2O  ->  ADP + CTP + L-glutamate + phosphate + 2 H+	ammonium // UTP // ATP // ADP // phosphate // CTP // H<SUP>+</SUP>
L-arginino-succinate  ->  L-arginine + fumarate	EC-4.3.2.1	L-arginine biosynthesis I (via L-ornithine) // urea cycle // L-arginine biosynthesis II (acetyl cycle)	L-arginino-succinate // L-arginine // fumarate
L-threonine  ->  (2Z)-2-aminobut-2-enoate + H2O + H+		L-isoleucine biosynthesis I (from threonine) // L-threonine  ->  2-oxobutanoate + ammonium	L-threonine // (2Z)-2-aminobut-2-enoate // H<sub>2</sub>O // H<SUP>+</SUP>
3-oxo-decanoyl-[acyl-carrier protein] reductase	EC-1.1.1.100	palmitate biosynthesis II (bacteria and plant cytoplasm)	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxydecanoyl-[acp] // a 3-oxodecanoyl-[acp] // NADPH // H<SUP>+</SUP>
L-valine + 2-oxoglutarate  <-  L-glutamate + 3-methyl-2-oxobutanoate	EC-2.6.1.42	L-valine biosynthesis	2-oxoglutarate // L-valine // L-glutamate // 3-methyl-2-oxobutanoate
a (3R)-3-hydroxydecanoyl-[acp]  ->  a (2E)-dec-2-enoyl-[acp] + H2O	EC-4.2.1.59	palmitate biosynthesis II (bacteria and plant cytoplasm)	a (3<i>R</i>)-3-hydroxydecanoyl-[acp] // a (2<i>E</i>)-dec-2-enoyl-[acp] // H<sub>2</sub>O
acetyl-CoA + a [carboxyl-carrier protein dimer]-N6-carboxybiotinyl-L-lysine  ->  malonyl-CoA + a [biotin carboxyl-carrier-protein dimer]-N6-biotinyl-L-lysine	EC-2.1.3.15	biotin-carboxyl carrier protein assembly // fatty acid biosynthesis initiation (bacteria and plants)	a [carboxyl-carrier protein dimer]-<i>N</i><sup>6</sup>-carboxybiotinyl-L-lysine // acetyl-CoA // malonyl-CoA // a [biotin carboxyl-carrier-protein dimer]-<i>N</i><sup>6</sup>-biotinyl-L-lysine
an acyl-CoA + a 2-lysophosphatidate  =  a phosphatidate + coenzyme A	EC-2.3.1.51		a 2-lysophosphatidate // an acyl-CoA // a phosphatidate // coenzyme A
2-hydroxyisobutyramide + H2O  ->  2-hydroxy-2-methylpropanoate + ammonium	EC-3.5.1.4		H<sub>2</sub>O // 2-hydroxyisobutyramide // 2-hydroxy-2-methylpropanoate // ammonium
a 2,3,4-saturated fatty acyl-[acp] + a malonyl-[acp] + H+  ->  a 3-oxoacyl-[acp] + CO2 + acyl-carrier protein	EC-2.3.1.179 // EC-2.3.1.41	fatty acid elongation -- saturated	H<SUP>+</SUP> // a malonyl-[acp] // a 2,3,4-saturated fatty acyl-[acp] // a 3-oxoacyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
a [glycine-cleavage complex H protein] N6-aminomethyldihydrolipoyl-L-lysine + a tetrahydrofolate  <-->  a [glycine-cleavage complex H protein] N6-dihydrolipoyl-L-lysine + a 5,10-methylenetetrahydrofolate + ammonium	EC-2.1.2.10	glycine cleavage // glycine + a tetrahydrofolate + NAD+  ->  a 5,10-methylenetetrahydrofolate + ammonium + CO2 + NADH	a tetrahydrofolate // a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-aminomethyldihydrolipoyl-L-lysine // a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-dihydrolipoyl-L-lysine // a 5,10-methylenetetrahydrofolate // ammonium
ferroheme o + an oxidized electron carrier + H2O  ->  ferroheme i + a reduced two electron carrier		heme <i>a</i> biosynthesis // ferroheme o + 2 an oxidized electron carrier + H2O  ->  ferroheme a + 2 a reduced two electron carrier	an oxidized electron carrier // H<sub>2</sub>O // ferroheme <i>o</i> // ferroheme <i>i</i> // a reduced two electron carrier
[(R)-lipoyl]adenylate + [glycine cleavage system lipoyl-carrier protein]-L-lysine  ->  a [glycine-cleavage complex H protein] N6-[(R)-lipoyl]-L-lysine + AMP + 2 H+		lipoate salvage II // lipoate--GcvH protein ligase	[glycine cleavage system lipoyl-carrier protein]-L-lysine // [(<i>R</i>)-lipoyl]adenylate // a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // AMP // H<SUP>+</SUP>
beta-nicotinate D-ribonucleotide + benzimidazole  ->  benzimidazole ribotide phosphate + nicotinate + H+	EC-2.4.2.21	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	benzimidazole // &beta;-nicotinate D-ribonucleotide // benzimidazole ribotide phosphate // nicotinate // H<SUP>+</SUP>
an (S-diacyl-sn-glyceryl)-L-cysteinyl-[apolipoprotein] + a phosphoglyceride  ->  an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein] + a 1-lysophospholipid + H+	EC-2.3.1.269	lipoprotein posttranslational modification	a phosphoglyceride // an (<i>S</i>-diacyl-<i>sn</i>-glyceryl)-L-cysteinyl-[apolipoprotein] // an <i>N</i>-acyl-(<i>S</i>-diacyl-<i>sn</i>-glyceryl)-L-cysteinyl-[lipoprotein] // a 1-lysophospholipid // H<SUP>+</SUP>
