Compound	SMILES
&beta;-carotene	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)CCCC(/C)=2)
&delta;-carotene	CC(C)=CCCC(\C)=C/C=C/C(\C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@H]1(C(C)(C)CC\C=C(C)/1)
&alpha;-zeacarotene	CC(C)=CCCC(\C)=C/CCC(\C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@H]1([C@@](CC\C=C(C)/1)(C)C)
&alpha;-carotene	CC(/C=C/C=C(C)/C=C/[C@@H]1(C(C)(C)CC\C=C(C)/1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)CCCC(/C)=2)
9,9'-di-<i>cis</i>-&zeta;-carotene	CC(C)=CCCC(\C)=C/CCC(/C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)\CC/C=C(C)/CCC=C(C)C
&alpha;-L-xylopyranose	[C@H]1(O)(OC[C@H](O)[C@@H](O)[C@H](O)1)
&epsilon;-carotene	CC(/C=C/C=C(C)/C=C/[C@H]1(C(/C)=C/CCC(C)(C)1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@H]2(C(C)(C)CC\C=C(C)/2)
<i>N</i>-acetyl-&alpha;-D-glucosamine 1-phosphate	CC(=O)N[C@@H]1([C@@H](O)[C@H](O)[C@@H](CO)O[C@H](OP([O-])(=O)[O-])1)
&gamma;-carotene	CC(C)=CCCC(\C)=C/C=C/C(\C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1(/C(C)(C)CCCC(/C)=1)
9,15,9'-tri-<i>cis</i>-&zeta;-carotene	CC(C)=CCCC(\C)=C/CCC(/C)=C/C=C/C(\C)=C/C=C\C=C(C)\C=C\C=C(C)/CC/C=C(C)/CCC=C(C)C
D-alanine	C[C@@H]([NH3+])C([O-])=O
&beta;-zeacarotene	CC(C)=CCCC(\C)=C/CCC(\C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1(/C(C)(C)CCCC(/C)=1)
D-glutamate	C(CC[C@H](C(=O)[O-])[NH3+])([O-])=O
2-octaprenylphenol	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(\O)=C/C=C\C=1)
2-phospho-D-glycerate	C(=O)([O-])[C@H](OP(=O)([O-])[O-])CO
2-nonaprenylphenol	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(\O)=C/C=C\C=1)
3-phospho-D-glycerate	C(OP(=O)([O-])[O-])[C@@H](O)C(=O)[O-]
2-(<i>all-trans</i>-nonaprenyl)benzene-1,4-diol	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(\O)=C/C=C(\C=1)/O)
3-phospho-D-glyceroyl phosphate	C([C@@H](O)C(OP(=O)([O-])[O-])=O)OP(=O)([O-])[O-]
2-<i>O</i>-(&alpha;-D-glucopyranosyl)-3-phospho-D-glycerate	C([C@H](C([O-])=O)O[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O))OP([O-])(=O)[O-]
2-<i>O</i>-(&alpha;-D-glucopyranosyl)-D-glycerate	C(O)[C@@H](O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))C(=O)[O-]
1-arseno-3-phosphoglycerate	C([C@@H](O)C(O[As](=O)([O-])[O-])=O)OP(=O)([O-])[O-]
6-<i>O</i>-methyl-&beta;-D-galacturonate	COC(=O)[C@@H]1([C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)
&alpha;-D-galacturonate	C([O-])(=O)[C@@H]1([C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)
&beta;-D-galacturonate	C([O-])(=O)[C@@H]1([C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)
<i>sn</i>-glycerol 3-phosphate	C(OP([O-])(=O)[O-])[C@H](O)CO
<i>sn</i>-glycerol 1-phosphate	C(OP([O-])(=O)[O-])[C@@H](O)CO
<i>N</i>-carbamoyl-L-aspartate	C(=O)([O-])C[C@H](NC(N)=O)C([O-])=O
&beta;-D-fructofuranose	C(O)[C@H]1(O[C@](O)(CO)[C@H]([C@@H]1O)O)
hydrogen peroxide	OO
&alpha;-D-fructofuranose	C(O)[C@H]1(O[C@@](O)(CO)[C@H]([C@@H]1O)O)
L-lysine	C([NH3+])CCC[C@H]([NH3+])C([O-])=O
adenosylcobalamin	CC%15(\C=C%12(C(/N%13([C@H]%14(O[C@H](CO)[C@@H](OP([O-])(=O)O[C@@H](C)CNC(=O)CC[C@]1([C@@H](CC(N)=O)[C@@H]2([C@@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C4(\C(/C)=C5([C@@](CC(=O)N)([C@H](CCC(N)=O)C6(\C=C7(C(C)(C)[C@H](CCC(N)=O)C8(\C(/C)=C1/N2[Co-3]([N+]\3=4)([N+]5=6)([N+]\7=8)(C[C@@H]9([C@H]([C@@H](O)[C@@H](O9)N%10(\C=N/C%11(\C/%10=N/C=N\C(/N)=%11)))O))[N+]/%12=C/%13))))C)))))(C))[C@@H](O)%14)))=C\C(/C)=%15))
L-cysteinylglycine	C(C([O-])=O)NC([C@H](CS)[NH3+])=O
L-arginine	C(NC(N)=[NH2+])CC[C@H]([NH3+])C(=O)[O-]
L-tyrosine	C([C@H](CC1(\C=C/C(/O)=C\C=1))[NH3+])(=O)[O-]
&beta;-D-fructose 1,6-bisphosphate	C([C@@H]1([C@H]([C@@H]([C@](O1)(COP(=O)([O-])[O-])O)O)O))OP([O-])(=O)[O-]
urate	C12(NC(=O)NC(C(=O)NC(=O)N1)=2)
L-serine	C(O)[C@H]([NH3+])C(=O)[O-]
L-glutamine	C(=O)(N)CC[C@H]([NH3+])C([O-])=O
<i>meso</i>-diaminopimelate	C([C@H](CCC[C@H](C([O-])=O)[NH3+])[NH3+])([O-])=O
Mn<SUP>2+</SUP>	[Mn+2]
Co<SUP>2+</SUP>	[Co+2]
L-asparagine	C(C[C@@H](C(=O)[O-])[NH3+])(N)=O
Mo<SUP>2+</SUP>	[Mo+2]
L-cystathionine	C(SC[C@@H](C([O-])=O)[NH3+])C[C@H]([NH3+])C([O-])=O
Fe<SUP>2+</SUP>	[Fe+2]
glycyl-glycine	C([NH3+])C(=O)NCC([O-])=O
Ni<SUP>2+</SUP>	[Ni+2]
Fe<SUP>3+</SUP>	[Fe+3]
L-threonine	C[C@@H](O)[C@H]([NH3+])C(=O)[O-]
L-glutamate	C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O
D-erythrose	C(=O)[C@H](O)[C@H](O)CO
L-2,4-diaminobutanoate	C(C[C@@H](C([O-])=O)[NH3+])[NH3+]
sucrose	C(O)[C@H]1(O[C@@H]([C@H](O)[C@@H](O)[C@H](O)1)O[C@]2(CO)(O[C@H](CO)[C@@H](O)[C@H](O)2))
L,L-diaminopimelate	C([C@H](CCC[C@@H](C([O-])=O)[NH3+])[NH3+])([O-])=O
L-ornithine	C(=O)([O-])[C@@H]([NH3+])CCC[NH3+]
<i>di-trans,octa-cis</i>-undecaprenyl phosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])[O-]
L-histidine	C1(\N\C=N/C(\C[C@@H](C(=O)[O-])[NH3+])=1)
&beta;-D-glucopyranose	C(O)[C@H]1(O[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1)
&alpha;-D-glucopyranose	C(O)[C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)
(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-]
geranylgeranyl diphosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
<i>all-trans</i>-nonaprenyl diphosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(OP(=O)([O-])[O-])(=O)[O-]
&alpha;-D-galactofuranose	C(O)[C@@H](O)[C@H]1([C@H](O)[C@@H](O)[C@H](O1)O)
D-alanyl-D-alanine	C[C@@H]([NH3+])C(=O)N[C@H](C)C([O-])=O
<i>Co</i>&alpha;-[&alpha;-(2-methyladenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide 5'-phosphate	C[C@@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](COP([O-])(=O)[O-])1)N%14(C%15(/C(/N)=N\C(/C)=N/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
adenosylcobalamin 5'-phosphate	CC%15(\C=C%12(C(/N%13([C@H]%14(O[C@H](COP([O-])(=O)[O-])[C@@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@@]1([C@@H](CC(N)=O)[C@@H]2([C@@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C4(\C(/C)=C7([C@@](CC(=O)N)([C@H](CCC(N)=O)C8(\C=C5(C(C)(C)[C@H](CCC(N)=O)C6(\C(/C)=C1/N2[Co-3]([N+]\3=4)([N+]\5=6)([N+]7=8)(C[C@@H]9([C@H]([C@@H](O)[C@@H](O9)N%10(\C=N/C%11(\C/%10=N/C=N\C(/N)=%11)))O))[N+]/%12=C/%13))))C)))))(C))[C@@H](O)%14)))=C\C(/C)=%15))
<i>Co</i>&alpha;-[&alpha;-(adenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide 5'-phosphate	C[C@@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](COP([O-])(=O)[O-])1)N%14(C%15(/C(/N)=N\C=N/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
<i>Co</i>&alpha;-[&alpha;-(benzimidazolyl)]-<i>Co</i>&beta;-adenosylcobamide 5'-phosphate	C[C@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](COP([O-])(=O)[O-])1)N%14(C%15(\C(\[N+](\[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C/%14)=C/C=C\C=%15))))
<i>Co</i>&alpha;-[&alpha;-(5-methylbenzimidazolyl)]-<i>Co</i>&beta;-adenosylcobamide 5'-phosphate	CC%12(\C=C/C%13(/N%14([C@H]%15(O[C@H](COP([O-])(=O)[O-])[C@@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@@]1([C@@H](CC(N)=O)[C@@H]2([C@@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C4(\C(/C)=C7([C@@](CC(=O)N)([C@H](CCC(N)=O)C8(\C=C5(C(C)(C)[C@H](CCC(N)=O)C6(\C(/C)=C1/N2[Co-3]([N+]\3=4)([N+]\5=6)([N+]7=8)(C[C@@H]9([C@H]([C@@H](O)[C@@H](O9)N%10(\C=N/C%11(\C/%10=N/C=N\C(/N)=%11)))O))[N+](\C(/C=%12)=%13)=C/%14))))C)))))(C))[C@@H](O)%15))))
adenosine 5'-phosphoselenate	C(OP(=O)([O-])O[Se](=O)(=O)[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
&beta;-D-fructopyranose	C(O)[C@@]1(O)(OC[C@@H](O)[C@@H](O)[C@H](O)1)
ophthalmate	CC[C@@H](C(NCC(=O)[O-])=O)NC(CC[C@@H](C(=O)[O-])[NH3+])=O
norophthalmate	C[C@@H](C(NCC(=O)[O-])=O)NC(CC[C@@H](C(=O)[O-])[NH3+])=O
(<i>S</i>)-2-aceto-2-hydroxybutanoate	CC[C@@](O)(C(=O)[O-])C(C)=O
a 2-acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	CCCCCC/C=C/CCCCCCCCCC(O[C@@H](COP(OC[C@@H](O)CO)([O-])=O)CO)=O
(<i>S</i>)-2-acetolactate	CC(=O)[C@](C)(O)C(=O)[O-]
pimelate	C([O-])(=O)CCCCCC([O-])=O
&alpha;-D-fucopyranose	C[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@@H](O)O1)
&beta;-L-rhamnopyranose	C[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)O)
&alpha;-L-rhamnopyranose	C[C@H]1([C@@H]([C@H]([C@H]([C@@H](O1)O)O)O)O)
(<i>S</i>)-3-methyl-2-oxopentanoate	CC[C@H](C)C(=O)C([O-])=O
S-adenosyl-4-methylsulfanyl-2-oxobutanoate	C[S+](CCC(C([O-])=O)=O)C[C@H]1(O[C@H]([C@@H]([C@@H]1O)O)N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))
3-(4-hydroxyphenyl)pyruvate	C1(\C(/CC(C([O-])=O)=O)=C/C=C(\C=1)/O)
<i>di-trans,octa-cis</i>-undecaprenyl diphosphate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
&alpha;-L-fucopyranose	C[C@@H]1(O[C@H]([C@H]([C@@H]([C@@H]1O)O)O)O)
3-methyl-2-oxobutanoate	CC(C(C([O-])=O)=O)C
&beta;-L-fucopyranose	C[C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)O)
<i>Co</i>&alpha;-[&alpha;-(benzimidazolyl)]-<i>Co</i>&beta;-adenosylcobamide	C[C@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)N%14(C%15(\C(\[N+](\[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C/%14)=C/C=C\C=%15))))
3-phenyl-2-oxopropanoate	C([O-])(=O)C(=O)CC1(\C=C/C=C\C=1)
3-(cyclohexa-1,3-dien-1-yl)-2-oxopropanoate	C([O-])(=O)C(=O)CC1(CC\C=C/C=1)
glyoxylate	C(C(=O)[O-])=O
2-oxobutanoate	CCC(=O)C(=O)[O-]
<i>Co</i>&alpha;-[&alpha;-(2-methyladenin-7-yl)]-<i>Co</i>&beta;-adenosylcobamide	C[C@@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)N%14(C%15(/C(/N)=N\C(/C)=N/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
<i>Co</i>&alpha;-[&alpha;-(adenin-7-yl)]-<i>Co</i>&beta;-adenosylcobamide	C[C@@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)N%14(C%15(/C(/N)=N\C=N/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
8'-apo-&beta;-carotenal	CC(/C=C/C=C(C)/C=C/C1(/C(CCCC(/C)=1)(C)C))=C\C=C\C=C(C)\C=C\C=C(C)\C=O
&beta;-cryptoxanthin	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@@H](CC(/C)=2)O)
zeaxanthin	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)C[C@@H](CC(/C)=1)O))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@@H](CC(/C)=2)O)
a C52-&alpha;-meroacyl-adenylate	CCCCCCCCCCCCCCCCCCC1(CC1CCCCCCCCCCC2(CC2CCCCCCCCCCCCCCCCCC(=O)OP(OC[C@@H]5([C@H]([C@H]([C@H](N3(C4(\N=C/N=C(C(\N=C/3)=4)/N)))O5)O)O))([O-])=O))
3-nonaprenyl-4-hydroxybenzoate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(/C=C(\C=C/C(/O)=1)/C(=O)[O-])
maltopentaose	C([C@H]5(O[C@H](O[C@@H]4([C@H](O[C@H](O[C@@H]1([C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@@H]2([C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3([C@H](OC([C@@H]([C@H]3O)O)O)CO))CO))CO))[C@@H]([C@H]4O)O)CO))[C@@H]([C@H]([C@@H]5O)O)O))O
3-octaprenyl-4-hydroxybenzoate	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(/C=C(\C=C/C(/O)=1)/C(=O)[O-])
maltohexaose	C([C@H]6(O[C@H](O[C@@H]5([C@H](O[C@H](O[C@@H]4([C@H](O[C@H](O[C@@H]1([C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@@H]2([C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3([C@H](OC([C@@H]([C@H]3O)O)O)CO))CO))CO))[C@@H]([C@H]4O)O)CO))[C@@H]([C@H]5O)O)CO))[C@@H]([C@H]([C@@H]6O)O)O))O
<i>all-trans</i> neurosporene	CC(C)=CCCC(\C)=C/C=C/C(\C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)/CC/C=C(C)/CCC=C(C)C
prolycopene	CC(C)=CCCC(\C)=C/C=C\C(/C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)\C=C/C=C(C)/CCC=C(C)C
7,9,9'-<i>cis</i>-neurosporene	CC(C)=CCCC(\C)=C/C=C\C(/C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)\CC/C=C(C)/CCC=C(C)C
15-<i>cis</i>-phytoene	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/C=C\C=C(C)\CC/C=C(C)/CC/C=C(C)/CCC=C(C)C
quinoxaline-2-carboxyl adenylate	C([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3)O)O))OP(OC(=O)C4(\C=N/C5(\C(\N=4)=C/C=C\C=5)))([O-])=O
<i>all-trans</i>-lycopene	CC(C)=CCCC(\C)=C/C=C/C(\C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/CCC=C(C)C
15,9'-di-<i>cis</i>-phytofluene	CC(C)=CCCC(\C)=C/CCC(/C)=C/C=C/C(\C)=C/C=C\C=C(C)\CC/C=C(C)/CC/C=C(C)/CCC=C(C)C
[(<i>R</i>)-lipoyl]adenylate	C1(SS[C@@H](C1)CCCCC(=O)OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])
biotinyl-5'-adenylate	C(OP(OC(=O)CCCC[C@@H]1(SC[C@@H]2(NC(=O)N[C@H]12)))(=O)[O-])[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](O)[C@H](O)5)
succinyl-CoA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-])COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
isobutanoyl-CoA	CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP([O-])(OC[C@@H]1([C@@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))=O)([O-])=O
acetyl-CoA	CC(=O)SCCNC(CCNC([C@@H](C(COP([O-])(=O)OP([O-])(=O)OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@@H]([C@@H]3OP(=O)([O-])[O-])O))(C)C)O)=O)=O
isovaleryl-CoA	CC(CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])C
glycolyl-CoA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(CO)=O)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
