Reaction	EC-Number	In-Pathway	Substrates
NADH + H2O  ->  (S)-NADHX			H<sub>2</sub>O // NADH // (<i>S</i>)-NADHX
S-adenosyl-L-methionine + a cytosine in DNA  ->  a 5-methylcytosine in DNA + S-adenosyl-L-homocysteine + H+	EC-2.1.1.37		a cytosine in DNA // <i>S</i>-adenosyl-L-methionine // a 5-methylcytosine in DNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>
cyclo(L-leucyl-L-leucyl) + 6 a reduced ferredoxin [iron-sulfur] cluster + 3 dioxygen + 4 H+  ->  pulcherriminic acid + 6 an oxidized ferredoxin [iron-sulfur] cluster + 4 H2O	EC-1.14.15.13	pulcherrimin biosynthesis	H<SUP>+</SUP> // dioxygen // a reduced ferredoxin [iron-sulfur] cluster // cyclo(L-leucyl-L-leucyl) // pulcherriminic acid // an oxidized ferredoxin [iron-sulfur] cluster // H<sub>2</sub>O
alpha-D-xylopyranose  <-->  alpha-D-xylulofuranose	EC-5.3.1.5	D-xylose degradation I	&alpha;-D-xylopyranose // &alpha;-D-xylulofuranose
a (4S,3R)-3-hydroxy-4-methylhexanoyl-[acp] + NADP+  <-  a (4S)-4-methyl-3-oxohhexanoyl-[acp] + NADPH + H+	EC-1.1.1.100	<i>anteiso</i>-branched-chain fatty acid biosynthesis	NADP<sup>+</sup> // a (4<i>S</i>,<i>3R</i>)-3-hydroxy-4-methylhexanoyl-[acp] // a (4<i>S</i>)-4-methyl-3-oxohhexanoyl-[acp] // NADPH // H<SUP>+</SUP>
ATP + an L-glutamyl-[tRNAGln]  ->  a 5-phosphooxy-L-glutamyl-[tRNAGln] + ADP		glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-glutamine + an L-glutamyl-[tRNAGln] + ATP + H2O  ->  L-glutamate + an L-glutaminyl-[tRNAGln] + ADP + phosphate + H+	an L-glutamyl-[tRNA<sup>Gln</sup>] // ATP // a 5-phosphooxy-L-glutamyl-[tRNA<sup>Gln</sup>] // ADP
a (3R,12S)-3-hydroxy-12-methyltetradecanoyl-[acp] + NADP+  <-  a (12S)-12-methyl-3-oxotetradecanoyl-[acp] + NADPH + H+	EC-1.1.1.100	<i>anteiso</i>-branched-chain fatty acid biosynthesis	NADP<sup>+</sup> // a (3<i>R</i>,12<i>S</i>)-3-hydroxy-12-methyltetradecanoyl-[acp] // a (12<i>S</i>)-12-methyl-3-oxotetradecanoyl-[acp] // NADPH // H<SUP>+</SUP>
scyllo-inositol + NAD+  <-->  scyllo-inosose + NADH + H+	EC-1.1.1.370	<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation	NAD<sup>+</sup> // <i>scyllo</i>-inositol // <i>scyllo</i>-inosose // NADH // H<SUP>+</SUP>
a [protein]-L-cysteine + an O6-methylguanine in DNA  ->  a [protein]-S-methyl-L-cysteine + a guanine in DNA	EC-2.1.1.63		an <i>O</i><sup>6</sup>-methylguanine in DNA // a [protein]-L-cysteine // a [protein]-<i>S</i>-methyl-L-cysteine // a guanine in DNA
beta-D-fructofuranose 1,6-bisphosphate  <-->  glycerone phosphate + D-glyceraldehyde 3-phosphate	EC-4.1.2.13	gluconeogenesis I // glycolysis I (from glucose 6-phosphate) // gluconeogenesis I // glycolysis II (from fructose 6-phosphate) // formaldehyde assimilation II (assimilatory RuMP Cycle)	&beta;-D-fructofuranose 1,6-bisphosphate // glycerone phosphate // D-glyceraldehyde 3-phosphate
a 5-methylhexanoyl-[acp] + NAD+  <-  a (2E)-5-methylhex-2-enoyl-[acp] + NADH + H+	EC-1.3.1.9	odd <i>iso</i>-branched-chain fatty acid biosynthesis	NAD<sup>+</sup> // a 5-methylhexanoyl-[acp] // a (2<i>E</i>)-5-methylhex-2-enoyl-[acp] // NADH // H<SUP>+</SUP>
(S)-3-hydroxydodecanoyl-CoA  <-  (2E)-dodec-2-enoyl-CoA + H2O	EC-4.2.1.17		(S)-3-hydroxydodecanoyl-CoA // (2<i>E</i>)-dodec-2-enoyl-CoA // H<sub>2</sub>O
a [protein] (L-serine/L-threonine) phosphate + H2O  ->  a [protein]-(L-serine/L-threonine) + phosphate	EC-3.1.3.16		H<sub>2</sub>O // a [protein] (L-serine/L-threonine) phosphate // a [protein]-(L-serine/L-threonine) // phosphate
dCDP + H2O  ->  dCMP + phosphate + H+	EC-3.6.1.6	pyrimidine deoxyribonucleotides biosynthesis from CTP	H<sub>2</sub>O // dCDP // dCMP // phosphate // H<SUP>+</SUP>
an 11-methyldodecanoyl-[acp] + NADP+  <-  a (2E)-11-methyldodec-2-enoyl-[acp] + NADPH + H+	EC-1.3.1.104 // EC-1.3.1.10	odd <i>iso</i>-branched-chain fatty acid biosynthesis	NADP<sup>+</sup> // an 11-methyldodecanoyl-[acp] // a (2<i>E</i>)-11-methyldodec-2-enoyl-[acp] // NADPH // H<SUP>+</SUP>
alpha-D-galactopyranose + ATP  ->  alpha-D-galactose 1-phosphate + ADP + H+	EC-2.7.1.6	D-galactose degradation I (Leloir pathway)	ATP // &alpha;-D-galactopyranose // H<SUP>+</SUP> // &alpha;-D-galactose 1-phosphate // ADP
a holo-[hydroxymethylbilane synthase] + porphobilinogen  ->  a holo [hydroxymethylbilane synthase] ES intermediate + ammonium		4 porphobilinogen + H2O  ->  4 ammonium + preuroporphyrinogen	porphobilinogen // a <i>holo</i>-[hydroxymethylbilane synthase] // a holo [hydroxymethylbilane synthase] ES intermediate // ammonium
a 5-methylhexanoyl-[acp] + a malonyl-[acp] + H+  ->  a 6-methyl-3-oxoheptanoyl-[acp] + CO2 + acyl-carrier protein	EC-2.3.1.179	even <i>iso</i>-branched-chain fatty acid biosynthesis	H<SUP>+</SUP> // a malonyl-[acp] // a 5-methylhexanoyl-[acp] // a 6-methyl-3-oxoheptanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
dihydrolipoyllysine-residue (2-methylbutanoyl)transferase	EC-2.3.1.168	(<i>S</i>)-3-methyl-2-oxopentanoate dehydrogenase (acylating)	an [<i>apo</i> BCAA dehydrogenase E2 protein] <i>N<sup>6</sup></i>-dihydrolipoyl-L-lysine // (2<i>S</i>)-2-methylbutanoyl-CoA // an [<i>apo</i> BCAA dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-[2-methylbutanoyl]dihydrolipoyl-L-lysine // coenzyme A
D-glucono-1,5-lactone + H2O  ->  D-gluconate + H+	EC-3.1.1.17	glucose and glucose-1-phosphate degradation	H<sub>2</sub>O // D-glucono-1,5-lactone // H<SUP>+</SUP> // D-gluconate
a (3R)-3-hydroxy-12-methyltridecanoyl-[acp] + NADP+  <-  a 12-methyl-3-oxotridecanoyl-[acp] + NADPH + H+	EC-1.1.1.100	even <i>iso</i>-branched-chain fatty acid biosynthesis	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxy-12-methyltridecanoyl-[acp] // a 12-methyl-3-oxotridecanoyl-[acp] // NADPH // H<SUP>+</SUP>
(R)-lactate + H+  <-->  (R)-lactic acid			H<SUP>+</SUP> // (<i>R</i>)-lactate // <i>(R)</i>-lactic acid
an [acetoin dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  ->  an [acetoin dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+		acetoin degradation // acetoin + coenzyme A + NAD+  ->  acetaldehyde + acetyl-CoA + NADH + H+	NAD<sup>+</sup> // an [acetoin dehydrogenase E2 protein] <i>N<sup>6</sup></i>-dihydrolipoyl-L-lysine // an [acetoin dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // NADH // H<SUP>+</SUP>
oleoyl-CoA + 1-oleoyl-sn-glycerol 3-phosphate  =  bisoleoyl phosphatidate + coenzyme A	EC-2.3.1.51		1-oleoyl-<i>sn</i>-glycerol 3-phosphate // oleoyl-CoA // bisoleoyl phosphatidate // coenzyme A
3-oxo-octanoyl-[acyl-carrier protein] reductase	EC-1.1.1.100	palmitate biosynthesis II (type II fatty acid synthase)	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxyoctanoyl-[acp] // a 3-oxooctanoyl-[acp] // NADPH // H<SUP>+</SUP>
(S)-4-amino-5-oxopentanoate + a tRNAglu + NADP+  <-  an L-glutamyl-[tRNAGlu] + NADPH + H+	EC-1.2.1.70	tetrapyrrole biosynthesis I (from glutamate)	a tRNA<SUP>glu</SUP> // NADP<sup>+</sup> // (S)-4-amino-5-oxopentanoate // an L-glutamyl-[tRNA<SUP>Glu</SUP>] // NADPH // H<SUP>+</SUP>
a palmitoyl-[acp] + H2O  ->  palmitate + acyl-carrier protein + H+	EC-3.1.2.14	palmitate biosynthesis II (type II fatty acid synthase)	H<sub>2</sub>O // a palmitoyl-[acp] // palmitate // a soluble [acyl-carrier protein] // H<SUP>+</SUP>
N-acetyl-S-benzyl-L-cysteine + FMNH2 + dioxygen  ->  (R)-N-acetyl-S-benzyl-L-cysteine sulfoxide + FMN + H2O + H+	EC-1.14.14	<i>S</i>-benzyl-L-cysteine degradation	FMNH<SUB>2</SUB> // dioxygen // <i>N</i>-acetyl-<i>S</i>-benzyl-L-cysteine // (<i>R</i>)-<i>N</i>-acetyl-<i>S</i>-benzyl-L-cysteine sulfoxide // H<sub>2</sub>O // FMN // H<SUP>+</SUP>
<i>trans</i> dodec-2-enoyl-[acp] reductase	EC-1.3.1.9	palmitate biosynthesis II (type II fatty acid synthase)	NAD<sup>+</sup> // a dodecanoyl-[acp] // a (2<i>E</i>)-dodec-2-enoyl-[acp] // NADH // H<SUP>+</SUP>
(R)-S-lactoylglutathione  =  methylglyoxal + glutathione	EC-4.4.1.5		(<i>R</i>)-<i>S</i>-lactoylglutathione // methylglyoxal // glutathione
dADP + an oxidized NrdH glutaredoxin-like protein + H2O  <-  ADP + a reduced NrdH glutaredoxin-like protein	EC-1.17.4.1	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	H<sub>2</sub>O // an oxidized NrdH glutaredoxin-like protein // dADP // ADP // a reduced NrdH glutaredoxin-like protein
2-oxopent-4-enoate  <-->  (2Z)-2-hydroxypenta-2,4-dienoate	EC-5.3.2		2-oxopent-4-enoate // (2Z)-2-hydroxypenta-2,4-dienoate
heme <i>o</i> biosynthesis	EC-2.5.1.141	heme <i>a</i> biosynthesis	H<sub>2</sub>O // (2<i>E</i>,6<i>E</i>)-farnesyl diphosphate // protoheme // ferroheme <i>o</i> // diphosphate
methylmalonate semialdehyde + coenzyme A + NAD+ + H2O  =  propanoyl-CoA + hydrogencarbonate + NADH + H+	EC-1.2.1.27		H<sub>2</sub>O // NAD<sup>+</sup> // coenzyme A // methylmalonate semialdehyde // propanoyl-CoA // hydrogencarbonate // NADH // H<SUP>+</SUP>
4-coumarate + H+  ->  4-vinylphenol + CO2	EC-4.1.1.102		4-coumarate // H<SUP>+</SUP> // 4-vinylphenol // CO<SUB>2</SUB>
(S)-3-hydroxy-3-methylglutaryl-CoA  ->  acetoacetate + acetyl-CoA	EC-4.1.3.4	L-leucine degradation I	(<i>S</i>)-3-hydroxy-3-methylglutaryl-CoA // acetoacetate // acetyl-CoA
a 5,10-methylenetetrahydrofolate + a uracil54 in tRNA + NAD(P)H + H+  ->  a tetrahydrofolate + a 5-methyluracil54 in tRNA + NAD(P)+	EC-2.1.1.74		H<SUP>+</SUP> // NAD(P)H // a uracil<sup>54</sup> in tRNA // a 5,10-methylenetetrahydrofolate // a tetrahydrofolate // a 5-methyluracil<sup>54</sup> in tRNA // NAD(P)<sup>+</sup>
a [protein]-Npi-phospho-L-histidine + 2-phospho-D-glycerate  <-->  a [protein]-L-histidine + 2,3-diphospho-D-glycerate		2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	2-phospho-D-glycerate // a [protein]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine // a [protein]-L-histidine // 2,3-diphospho-D-glycerate
S-adenosyl-L-methionine + precorrin-1  ->  S-adenosyl-L-homocysteine + precorrin-2		2 S-adenosyl-L-methionine + uroporphyrinogen-III  ->  2 S-adenosyl-L-homocysteine + precorrin-2 + H+ // siroheme biosynthesis	precorrin-1 // <i>S</i>-adenosyl-L-methionine // <i>S</i>-adenosyl-L-homocysteine // precorrin-2
(2,3-dihydroxybenzoyl)adenylate + a holo-[DhbB aryl-carrier protein]  ->  a 2,3-dihydroxybenzoyl-[DhbB aryl-carrier protein] + AMP + H+		2,3-dihydroxybenzoate + a holo-[DhbB aryl-carrier protein] + ATP  ->  a 2,3-dihydroxybenzoyl-[DhbB aryl-carrier protein] + AMP + diphosphate // bacillibactin biosynthesis	a <i>holo</i>-[DhbB aryl-carrier protein] // (2,3-dihydroxybenzoyl)adenylate // a 2,3-dihydroxybenzoyl-[DhbB aryl-carrier protein] // AMP // H<SUP>+</SUP>
a 2,3,4-saturated fatty acyl CoA + acetyl-CoA  <-  a 2,3,4-saturated 3-oxoacyl-CoA + coenzyme A	EC-2.3.1.16	fatty acid &beta;-oxidation I (generic)	acetyl-CoA // a 2,3,4-saturated fatty acyl CoA // a 2,3,4-saturated 3-oxoacyl-CoA // coenzyme A
a (4S)-4-methylhexanoyl-[acp] + a malonyl-[acp] + H+  ->  a (6S)-6-methyl-3-oxooctanoyl-[acp] + CO2 + acyl-carrier protein	EC-2.3.1.179	<i>anteiso</i>-branched-chain fatty acid biosynthesis	H<SUP>+</SUP> // a malonyl-[acp] // a (4<i>S</i>)-4-methylhexanoyl-[acp] // a (6<i>S</i>)-6-methyl-3-oxooctanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O	EC-4.2.1.11	superpathway of glucose and xylose degradation // gluconeogenesis I // Entner-Doudoroff pathway I // glycolysis I (from glucose 6-phosphate) // gluconeogenesis I // glycolysis II (from fructose 6-phosphate) // respiration (anaerobic)	2-phospho-D-glycerate // phospho<i>enol</i>pyruvate // H<sub>2</sub>O
a (12S)-12-methyltetradecanoyl-[acp] + a malonyl-[acp] + H+  ->  a (14S)-14-methyl-3-oxohexadecanoyl-[acp] + CO2 + acyl-carrier protein	EC-2.3.1.179	<i>anteiso</i>-branched-chain fatty acid biosynthesis	H<SUP>+</SUP> // a malonyl-[acp] // a (12<i>S</i>)-12-methyltetradecanoyl-[acp] // a (14<i>S</i>)-14-methyl-3-oxohexadecanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
L-threonine + ATP + H+  ->  (L-threonyl)adenylate + diphosphate		L-threonine + a [DhbF non-ribosomal peptide synthase] + ATP  ->  an L-threonyl-[DhbF non-ribosomal peptide synthase] + AMP + diphosphate // bacillibactin biosynthesis	H<SUP>+</SUP> // ATP // L-threonine // (L-threonyl)adenylate // diphosphate
a palmitoleoyl-[acp] + a malonyl-[acp] + H+  ->  an (11Z)-3-oxooctadec-11-enoyl-[acp] + CO2 + acyl-carrier protein	EC-2.3.1.179	<i>cis</i>-vaccenate biosynthesis	H<SUP>+</SUP> // a malonyl-[acp] // a palmitoleoyl-[acp] // an (11<i>Z</i>)-3-oxooctadec-11-enoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein]
acetyl-CoA + glyoxylate + H2O  ->  (S)-malate + coenzyme A + H+	EC-2.3.3.9	glycolate and glyoxylate degradation II	glyoxylate // H<sub>2</sub>O // acetyl-CoA // H<SUP>+</SUP> // (<i>S</i>)-malate // coenzyme A
a (3R)-3-hydroxy-7-methyloctanoyl-[acp] + NADP+  <-  a 7-methyl-3-oxooctanoyl-[acp] + NADPH + H+	EC-1.1.1.100	odd <i>iso</i>-branched-chain fatty acid biosynthesis	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxy-7-methyloctanoyl-[acp] // a 7-methyl-3-oxooctanoyl-[acp] // NADPH // H<SUP>+</SUP>
a beta-D-fructofuranoside + H2O  ->  beta-D-fructofuranose + a glycoside	EC-3.2.1.26		H<sub>2</sub>O // a &beta;-D-fructofuranoside // &beta;-D-fructofuranose // a glycoside
3-methylcrotonyl-CoA + hydrogencarbonate + ATP  ->  3-methylglutaconyl-CoA + ADP + phosphate + H+	EC-6.4.1.4	L-leucine degradation I	ATP // hydrogencarbonate // 3-methylcrotonyl-CoA // 3-methylglutaconyl-CoA // ADP // phosphate // H<SUP>+</SUP>
a (3R)-3-hydroxy-13-methyltetradecanoyl-[acp]  ->  a (2E)-13-methyltetradec-2-enoyl-[acp] + H2O	EC-4.2.1.59	odd <i>iso</i>-branched-chain fatty acid biosynthesis	a (3<i>R</i>)-3-hydroxy-13-methyltetradecanoyl-[acp] // a (2<i>E</i>)-13-methyltetradec-2-enoyl-[acp] // H<sub>2</sub>O
sucrose + H2O  ->  beta-D-fructofuranose + D-glucopyranose	EC-3.2.1.26 // EC-3.2.1.48		H<sub>2</sub>O // sucrose // &beta;-D-fructofuranose // D-glucopyranose
2,3,4-saturated fatty acyl-[acp] dehydrogenase	EC-1.3.1.10 // EC-1.3.1.104 // EC-1.3.1.39	fatty acid elongation -- saturated	NADP<sup>+</sup> // a 2,3,4-saturated fatty acyl-[acp] // NADPH // a <i>trans</i>-2-enoyl-[acyl-carrier protein] // H<SUP>+</SUP>
a 6-methylheptanoyl-[acp] + NAD+  <-  a (2E)-6-methylhept-2-enoyl-[acp] + NADH + H+	EC-1.3.1.9	even <i>iso</i>-branched-chain fatty acid biosynthesis	NAD<sup>+</sup> // a 6-methylheptanoyl-[acp] // a (2<i>E</i>)-6-methylhept-2-enoyl-[acp] // NADH // H<SUP>+</SUP>
ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+	EC-6.3.1.5	NAD <i>de novo</i> biosynthesis I (from aspartate)	nicotinate adenine dinucleotide // ATP // ammonium // H<SUP>+</SUP> // AMP // diphosphate // NAD<sup>+</sup>
a [protein]-(L-serine/L-threonine) + ATP  ->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+	EC-2.7.12.1 // EC-2.7.11.12 // EC-2.7.11.17 // EC-2.7.11.1 // EC-2.7.11.13 // EC-2.7.11.22 // EC-2.7.11.21		ATP // a [protein]-(L-serine/L-threonine) // a [protein] (L-serine/L-threonine) phosphate // ADP // H<SUP>+</SUP>
a 12-methyltridecanoyl-[acp] + NADP+  <-  a (2E)-12-methyltridec-2-enoyl-[acp] + NADPH + H+	EC-1.3.1.104 // EC-1.3.1.10	even <i>iso</i>-branched-chain fatty acid biosynthesis	NADP<sup>+</sup> // a 12-methyltridecanoyl-[acp] // a (2<i>E</i>)-12-methyltridec-2-enoyl-[acp] // NADPH // H<SUP>+</SUP>
L-ribulose + ATP  ->  L-ribulose 5-phosphate + ADP + H+	EC-2.7.1.16	L-arabinose degradation I	ATP // L-ribulose // H<SUP>+</SUP> // L-ribulose 5-phosphate // ADP
a [2-oxoglutarate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+	EC-1.8.1.4	2-oxoglutarate dehydrogenase complex // 2-oxoglutarate decarboxylation to succinyl-CoA	NAD<sup>+</sup> // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-dihydrolipoyl-L-lysine // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // NADH // H<SUP>+</SUP>
a 2,3,4-saturated (3R)-3-hydroxyacyl-CoA  <-->  a 2,3,4-saturated (3S)-3-hydroxyacyl-CoA	EC-5.1.2.3	fatty acid &beta;-oxidation I (generic)	a 2,3,4-saturated (3<i>R</i>)-3-hydroxyacyl-CoA // a 2,3,4-saturated (3<i>S</i>)-3-hydroxyacyl-CoA
3-oxo-decanoyl-[acyl-carrier protein] reductase	EC-1.1.1.100	palmitate biosynthesis II (type II fatty acid synthase)	NADP<sup>+</sup> // a (3<i>R</i>)-3-hydroxydecanoyl-[acp] // a 3-oxodecanoyl-[acp] // NADPH // H<SUP>+</SUP>
2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	EC-5.4.2.12	superpathway of glucose and xylose degradation // gluconeogenesis I // glycolysis I (from glucose 6-phosphate) // gluconeogenesis I // glycolysis II (from fructose 6-phosphate)	2-phospho-D-glycerate // 3-phospho-D-glycerate
a cis-vaccenoyl-[acp] + H2O  ->  cis-vaccenate + acyl-carrier protein + H+	EC-3.1.2.14	<i>cis</i>-vaccenate biosynthesis	H<sub>2</sub>O // a <i>cis</i>-vaccenoyl-[acp] // <i>cis</i>-vaccenate // a soluble [acyl-carrier protein] // H<SUP>+</SUP>
beta-D-ribopyranose  ->  beta-D-ribofuranose	EC-5.4.99.62	ribose phosphorylation	&beta;-D-ribopyranose // &beta;-D-ribofuranose
a [ThiS sulfur-carrier protein] + ATP + H+  ->  a carboxy-adenylated-[ThiS sulfur-carrier protein] + diphosphate	EC-2.7.7.73	thiazole component of thiamine diphosphate biosynthesis II	H<SUP>+</SUP> // ATP // a [ThiS sulfur-carrier protein] // a carboxy-adenylated-[ThiS sulfur-carrier protein] // diphosphate
oxaloacetate + phosphate  <-  phosphoenolpyruvate + hydrogencarbonate	EC-4.1.1.31	respiration (anaerobic)	oxaloacetate // phosphate // phospho<i>enol</i>pyruvate // hydrogencarbonate
squalene  =  hop-22(29)-ene	EC-5.4.99.17		squalene // hop-22(29)-ene
6-carboxy-5,6,7,8-tetrahydropterin + H+  ->  7-carboxy-7-deazaguanine + ammonium	EC-4.3.99.3	preQ<sub>0</sub> biosynthesis	6-carboxy-5,6,7,8-tetrahydropterin // H<SUP>+</SUP> // 7-carboxy-7-deazaguanine // ammonium
a phosphatidylserine + H+  ->  a phosphatidylethanolamine + CO2	EC-4.1.1.65	phosphatidylserine and phosphatidylethanolamine biosynthesis I	H<SUP>+</SUP> // a phosphatidylserine // a phosphatidylethanolamine // CO<SUB>2</SUB>
2 pyruvate + H+  ->  (S)-2-acetolactate + CO2	EC-2.2.1.6	pyruvate fermentation to (<i>R</i>)-acetoin II // L-valine biosynthesis	pyruvate // H<SUP>+</SUP> // (<i>S</i>)-2-acetolactate // CO<SUB>2</SUB>
(7R,8S)-diaminononanoate + CO2  ->  (7R,8S)-8-amino-7-(carboxyamino)nonanoate + 2 H+		CO2 + (7R,8S)-diaminononanoate + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+	CO<SUB>2</SUB> // (7<i>R</i>,8<i>S</i>)-diaminononanoate // (7<i>R</i>,8<i>S</i>)-8-amino-7-(carboxyamino)nonanoate // H<SUP>+</SUP>
a reduced thioredoxin + NADP+  <-  an oxidized thioredoxin + NADPH + H+	EC-1.8.1.9	thioredoxin pathway	NADP<sup>+</sup> // a reduced thioredoxin // an oxidized thioredoxin // NADPH // H<SUP>+</SUP>
a tRNAPro + L-proline + ATP  ->  an L-prolyl-[tRNAPro] + AMP + diphosphate	EC-6.1.1.15	tRNA charging	ATP // L-proline // a tRNA<SUP>Pro</SUP> // an L-prolyl-[tRNA<SUP>Pro</SUP>] // diphosphate // AMP
pyruvate + 2 an oxidized ferredoxin [iron-sulfur] cluster + coenzyme A  <-->  acetyl-CoA + CO2 + 2 a reduced ferredoxin [iron-sulfur] cluster + H+	EC-1.2.7.1	pyruvate fermentation to butanoate	an oxidized ferredoxin [iron-sulfur] cluster // coenzyme A // pyruvate // acetyl-CoA // CO<SUB>2</SUB> // a reduced ferredoxin [iron-sulfur] cluster // H<SUP>+</SUP>
adenine + H+ + H2O  ->  ammonium + hypoxanthine	EC-3.5.4.2	adenine salvage	adenine // H<sub>2</sub>O // H<SUP>+</SUP> // ammonium // hypoxanthine
an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a carboxy-adenylated-[ThiS sulfur-carrier protein] + a reduced two electron carrier  ->  a thiocarboxylated-[ThiS sulfur-carrier protein] + an [L-cysteine desulfurase]-L-cysteine + AMP + an oxidized electron carrier + 2 H+		L-cysteine + a carboxy-adenylated-[ThiS sulfur-carrier protein] + a reduced two electron carrier  ->  a thiocarboxylated-[ThiS sulfur-carrier protein] + L-alanine + AMP + an oxidized electron carrier + 2 H+ // thiazole component of thiamine diphosphate biosynthesis II	a reduced two electron carrier // a carboxy-adenylated-[ThiS sulfur-carrier protein] // an [L-cysteine desulfurase]-<i>S</i>-sulfanyl-L-cysteine // a thiocarboxylated-[ThiS sulfur-carrier protein] // an [L-cysteine desulfurase]-L-cysteine // AMP // an oxidized electron carrier // H<SUP>+</SUP>
