Reaction	EC-Number	In-Pathway	Substrates
2-oxoglutarate + L-alanine  <-->  L-glutamate + pyruvate	EC-2.6.1.2	L-alanine degradation III // L-alanine biosynthesis II // C4 photosynthetic carbon assimilation cycle, NAD-ME type	L-alanine // 2-oxoglutarate // L-glutamate // pyruvate
geranylgeranyl chlorophyll a + NADPH + H+  ->  dihydrogeranylgeranyl chlorophyll a + NADP+		chlorophyll a + 3 NADP+  <-  geranylgeranyl chlorophyll a + 3 NADPH + 3 H+	NADP<sup>+</sup> // dihydrogeranylgeranyl chlorophyll a // geranylgeranyl chlorophyll <i>a</i> // NADPH // H<SUP>+</SUP>
L-aspartate + carbamoyl phosphate  ->  N-carbamoyl-L-aspartate + phosphate + H+	EC-2.1.3.2	UMP biosynthesis	carbamoyl phosphate // L-aspartate // H<SUP>+</SUP> // <i>N</i>-carbamoyl-L-aspartate // phosphate
a nucleoside diphosphate + ATP  =  a nucleoside triphosphate + ADP	EC-2.7.4.6		ATP // a nucleoside diphosphate // a nucleoside triphosphate // ADP
L,L-diaminopimelate + 2-oxoglutarate  <-->  (S)-2,3,4,5-tetrahydrodipicolinate + L-glutamate + H2O + H+	EC-2.6.1.83	L-lysine biosynthesis VI	2-oxoglutarate // L,L-diaminopimelate // (<i>S</i>)-2,3,4,5-tetrahydrodipicolinate // L-glutamate // H<sub>2</sub>O // H<SUP>+</SUP>
lanosterol + 3 NADPH + 3 oxygen + 2 H+  ->  4,4-dimethyl-cholesta-8,12,24-trienol + formate + 3 NADP+ + 4 H2O	EC-1.14.13.70		H<SUP>+</SUP> // NADPH // oxygen // lanosterol // 4,4-dimethyl-cholesta-8,12,24-trienol // formate // NADP<sup>+</sup> // H<sub>2</sub>O
1-pyrroline-5-carboxylate dehydrogenase			H<sub>2</sub>O // NAD<sup>+</sup> // (<i>S</i>)-1-pyrroline-5-carboxylate // H<SUP>+</SUP> // L-glutamate // NADH
a [lipoyl-carrier protein]-L-lysine + ATP + (R)-lipoate  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + AMP + diphosphate + H+	EC-6.3.1.20		ATP // (<i>R</i>)-lipoate // a [lipoyl-carrier protein]-L-lysine // a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // AMP // diphosphate // H<SUP>+</SUP>
an [amino-group carrier protein]-C-terminal-gamma-(L-ornithyl)-L-glutamate + 2-oxoglutarate  <-->  L-glutamate + an [amino-group carrier protein]-C-terminal-gamma-(L-glutamate 5-semialdehyde-2-yl)-L-glutamate	EC-2.6.1.11		2-oxoglutarate // an [amino-group carrier protein]-C-terminal-&gamma;-(L-ornithyl)-L-glutamate // L-glutamate // an [amino-group carrier protein]-C-terminal-&gamma;-(L-glutamate 5-semialdehyde-2-yl)-L-glutamate
D-sorbitol 2-dehydrogenase	EC-1.1.1.14		NAD<sup>+</sup> // D-sorbitol // <i>keto</i>-D-fructose // NADH // H<SUP>+</SUP>
acetaldehyde + NADP+ + H2O  ->  acetate + NADPH + 2 H+	EC-1.2.1.4		H<sub>2</sub>O // NADP<sup>+</sup> // acetaldehyde // acetate // NADPH // H<SUP>+</SUP>
6-trans-3-oxo-tridecenoyl-CoA + coenzyme A  =  4-trans-undecenoyl-CoA + acetyl-CoA	EC-2.3.1.16		coenzyme A // 6-<i>trans</i>-3-oxo-tridecenoyl-CoA // 4-<i>trans</i>-undecenoyl-CoA // acetyl-CoA
ADP reductase	EC-1.17.4.1	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	H<sub>2</sub>O // an oxidized thioredoxin // dADP // ADP // a reduced thioredoxin
L-ornithine + H+  ->  CO2 + putrescine	EC-4.1.1.17	putrescine biosynthesis III	L-ornithine // H<SUP>+</SUP> // CO<SUB>2</SUB> // putrescine
1-palmitoylglycerol 3-phosphate + myristoyl-CoA  ->  1-palmitoyl-2-myristoyl phosphatidate + coenzyme A	EC-2.3.1.51		myristoyl-CoA // 1-palmitoylglycerol 3-phosphate // 1-palmitoyl-2-myristoyl phosphatidate // coenzyme A
6-O-cis-keto-mycolyl-trehalose 6-phosphate + H2O  ->  trehalose-cis-keto-mono-mycolate + phosphate	EC-3.1.3.12		H<sub>2</sub>O // 6-O-cis-keto-mycolyl-trehalose 6-phosphate // trehalose-cis-keto-mono-mycolate // phosphate
a secondary alcohol + NAD+  =  a ketone + NADH + H+	EC-1.1.1.1		NAD<sup>+</sup> // a secondary alcohol // a ketone // NADH // H<SUP>+</SUP>
dUTP + 2 H2O  ->  dUMP + 2 phosphate + 2 H+	EC-3.6.1.5		H<sub>2</sub>O // dUTP // dUMP // phosphate // H<SUP>+</SUP>
an N-acylated aliphatic-L-amino acid + H2O  =  a carboxylate + an aliphatic L-amino acid	EC-3.5.1.14		H<sub>2</sub>O // an <i>N</i>-acylated aliphatic-L-amino acid // a carboxylate // an aliphatic L-amino acid
(S)-3-hydroxydecanoyl-CoA + NAD+  =  3-oxodecanoyl-CoA + NADH + H+	EC-1.1.1.35		NAD<sup>+</sup> // (<i>S</i>)-3-hydroxydecanoyl-CoA // 3-oxodecanoyl-CoA // NADH // H<SUP>+</SUP>
dUMP + a 5,10-methylenetetrahydrofolate + NADPH + H+  ->  dTMP + a tetrahydrofolate + NADP+	EC-2.1.1.148	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	H<SUP>+</SUP> // NADPH // a 5,10-methylenetetrahydrofolate // dUMP // dTMP // a tetrahydrofolate // NADP<sup>+</sup>
glycine + acetyl-CoA  <-  L-2-amino-3-oxobutanoate + coenzyme A	EC-2.3.1.29		acetyl-CoA // glycine // L-2-amino-3-oxobutanoate // coenzyme A
oxaloacetate + phosphate  <-  phosphoenolpyruvate + hydrogen carbonate	EC-4.1.1.31	C4 photosynthetic carbon assimilation cycle, NAD-ME type // L-glutamine biosynthesis III	oxaloacetate // phosphate // phospho<i>enol</i>pyruvate // hydrogen carbonate
2-oxo-3-phenylpropanoate  ->  enol-phenylpyruvate	EC-5.3.2.1		2-oxo-3-phenylpropanoate // enol-phenylpyruvate
4-cis-undecenoyl-CoA + oxygen  ->  2-trans, 4-cis-undecadienoyl-CoA + hydrogen peroxide	EC-1.3.3.6		oxygen // 4-<i>cis</i>-undecenoyl-CoA // 2-<i>trans</i>, 4-<i>cis</i>-undecadienoyl-CoA // hydrogen peroxide
S-adenosyl-L-methionine + H+  ->  CO2 + S-adenosyl 3-(methylthio)propylamine	EC-4.1.1.50	spermidine biosynthesis I	H<SUP>+</SUP> // <i>S</i>-adenosyl-L-methionine // CO<SUB>2</SUB> // <i>S</i>-adenosyl 3-(methylthio)propylamine
Man5(GlcNAc)3-[protein] + 2 H2O  ->  Man3(GlcNAc)3-[protein] + 2 alpha-D-mannopyranose	EC-3.2.1.114	mannosyl-glycoprotein <i>N</i>-acetylglucosaminyltransferases	H<sub>2</sub>O // Man<sub>5</sub>(GlcNAc)<sub>3</sub>-[protein] // Man<sub>3</sub>(GlcNAc)<sub>3</sub>-[protein] // &alpha;-D-mannopyranose
L-cysteine + H2O  ->  pyruvate + hydrogen sulfide + ammonium	EC-4.4.1.1 // EC-4.4.1.28		H<sub>2</sub>O // L-cysteine // pyruvate // hydrogen sulfide // ammonium
hydroxypyruvate reductase (NADP+)	EC-1.1.1		NADP<sup>+</sup> // D-glycerate // H<SUP>+</SUP> // hydroxypyruvate // NADPH
4-trans-3-oxo-undecenoyl-CoA + coenzyme A  =  2-trans-nonenoyl-CoA + acetyl-CoA	EC-2.3.1.16		coenzyme A // 4-<i>trans</i>-3-oxo-undecenoyl-CoA // 2-<i>trans</i>-nonenoyl-CoA // acetyl-CoA
a tRNAThr + L-threonine + ATP + H+  ->  an L-threonyl-[tRNAThr] + AMP + diphosphate	EC-6.1.1.3	tRNA charging	ATP // L-threonine // a tRNA<SUP>Thr</SUP> // H<SUP>+</SUP> // an L-threonyl-[tRNA<SUP>Thr</SUP>] // diphosphate // AMP
ATP + a 1,2-diacyl-sn-glycerol  ->  a phosphatidate + ADP + H+	EC-2.7.1.107		a 1,2-diacyl-<i>sn</i>-glycerol // ATP // H<SUP>+</SUP> // a phosphatidate // ADP
N-acetyl-alpha-D-glucosaminyl-diphosphodolichol + UDP-N-acetyl-alpha-D-glucosamine  ->  N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphosphodolichol + UDP + H+	EC-2.4.1.141	protein <i>N</i>-glycosylation (eukaryotic, high mannose)	UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // <i>N</i>-acetyl-&alpha;-D-glucosaminyl-diphosphodolichol // <i>N</i>-acetyl-&beta;-D-glucosaminyl-(1&rarr;4)-<i>N</i>-acetyl-&alpha;-D-glucosaminyl-diphosphodolichol // H<SUP>+</SUP> // UDP
3-dehydroquinate  ->  3-dehydroshikimate + H2O	EC-4.2.1.10	chorismate biosynthesis from 3-dehydroquinate	3-dehydroquinate // H<sub>2</sub>O // 3-dehydroshikimate
IMP + diphosphate  =  hypoxanthine + 5-phospho-alpha-D-ribose 1-diphosphate	EC-2.4.2.8		diphosphate // IMP // hypoxanthine // 5-phospho-&alpha;-D-ribose 1-diphosphate
hexadecanedioyl-CoA + sn-glycerol 3-phosphate  =  1-C16:0-alpha,omega-dicarboxyl-2-lysophosphatidate + coenzyme A	EC-2.3.1.15		<i>sn</i>-glycerol 3-phosphate // hexadecanedioyl-CoA // coenzyme A // 1-C16:0-&alpha;,&omega;-dicarboxyl-2-lysophosphatidate
alpha-D-mannose 1-phosphate  <-  D-mannopyranose 6-phosphate	EC-5.4.2.8	GDP-mannose biosynthesis	&alpha;-D-mannose 1-phosphate // D-mannopyranose 6-phosphate
a (6S)-5-formyltetrahydrofolate + ATP  ->  a 5,10-methenyltetrahydrofolate + ADP + phosphate	EC-6.3.3.2		ATP // a (6<i>S</i>)-5-formyltetrahydrofolate // a 5,10-methenyltetrahydrofolate // ADP // phosphate
5alpha-cholestan-3-one + NADP+  =  cholest-4-en-3-one + NADPH + H+	EC-1.3.1.22		NADP<sup>+</sup> // 5&alpha;-cholestan-3-one // cholest-4-en-3-one // NADPH // H<SUP>+</SUP>
L-serine + indole  =  L-tryptophan + H2O	EC-4.2.1.122	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine  =  L-tryptophan + D-glyceraldehyde 3-phosphate + H2O	indole // L-serine // L-tryptophan // H<sub>2</sub>O
cis-aconitate hydratase		TCA cycle II (plants and fungi) // L-glutamine biosynthesis III // citrate  <-->  D-threo-isocitrate	H<sub>2</sub>O // <i>cis</i>-aconitate // D-<i>threo</i>-isocitrate
L-homocysteine + N5-methyl--tetrahydropteroyl tri-L-glutamate  ->  L-methionine + tetrahydropteroyl tri-L-glutamate	EC-2.1.1.14	<i>S</i>-adenosyl-L-methionine cycle II	L-homocysteine // <i>N</i><sup>5</sup>-methyl--tetrahydropteroyl tri-L-glutamate // tetrahydropteroyl tri-L-glutamate // L-methionine
9,9'-di-cis-zeta-carotene + 2 an electron-transfer quinone  =  prolycopene + 2 an electron-transfer quinol	EC-1.3.5.6		an electron-transfer quinone // 9,9'-di-<i>cis</i>-&zeta;-carotene // prolycopene // an electron-transfer quinol
luteolin-7-<i>O</i>-diglucuronide peroxidase	EC-1.11.1.7		hydrogen peroxide // luteolin 7-<i>O</i>-&beta;-D-diglucuronide // a radical of luteolin-7-<i>O</i>-diglucuronide // H<sub>2</sub>O
a [chaperone-ADP]-[disordered-form scaffold protein] complex + ATP  ->  an [Fe-S cluster biosynthesis chaperone]-ATP + a [disordered-form [Fe-S] cluster scaffold protein] + ADP	EC-3.6.4	[2Fe-2S] iron-sulfur cluster biosynthesis	ATP // a [chaperone-ADP]-[disordered-form scaffold protein] complex // an [Fe-S cluster biosynthesis chaperone]-ATP // a [disordered-form [Fe-S] cluster scaffold protein] // ADP
L-glutamate + NADP+ + H2O  =  ammonium + 2-oxoglutarate + NADPH + H+	EC-1.4.1.4		NADP<sup>+</sup> // H<sub>2</sub>O // L-glutamate // H<SUP>+</SUP> // ammonium // 2-oxoglutarate // NADPH
cadaverine + H2O + oxygen  ->  5-aminopentanal + ammonium + hydrogen peroxide	EC-1.4.3.21		oxygen // H<sub>2</sub>O // cadaverine // 5-aminopentanal // ammonium // hydrogen peroxide
N4-(beta-N-acetyl-D-glucosaminyl)-L-asparagine + H2O  =  N-acetyl-beta-glucosaminylamine + L-aspartate + H+	EC-3.5.1.26		H<sub>2</sub>O // <i>N</i><sup>4</sup>-(&beta;-<i>N</i>-acetyl-D-glucosaminyl)-L-asparagine // H<SUP>+</SUP> // <i>N</i>-acetyl-&beta;-glucosaminylamine // L-aspartate
2 a siderophore-bound Fe(II) + NAD+ + H+  <-  2 a siderophore-bound Fe(III) + NADH	EC-1.16.1.7		H<SUP>+</SUP> // NAD<sup>+</sup> // a siderophore-bound Fe(II) // a siderophore-bound Fe(III) // NADH
a (3Z)-alk-3-enoyl-CoA  ->  a (2E)-2-enoyl-CoA	EC-5.3.3.8	fatty acid &beta;-oxidation III (unsaturated, odd number) // fatty acid &beta;-oxidation I	a (3Z)-alk-3-enoyl-CoA // a (2<i>E</i>)-2-enoyl-CoA
2 monodehydroascorbate radical + NADH  =  2 L-ascorbate + NAD+ + H+	EC-1.6.5.4		NADH // monodehydroascorbate radical // H<SUP>+</SUP> // L-ascorbate // NAD<sup>+</sup>
S-adenosyl-L-methionine + Mg-protoporphyrin  ->  S-adenosyl-L-homocysteine + magnesium-protoporphyrin IX 13-monomethyl ester	EC-2.1.1.11	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	Mg-protoporphyrin // <i>S</i>-adenosyl-L-methionine // <i>S</i>-adenosyl-L-homocysteine // magnesium-protoporphyrin IX 13-monomethyl ester
straight chain fatty acyl-CoA ligase	EC-6.2.1.3		coenzyme A // ATP // an odd numbered straight chain 2,3,4-saturated fatty acid // an odd numbered straight chain 2,3,4-saturated fatty acyl CoA // AMP // diphosphate
(R)-methylmalonate-semialdehyde  <-->  (S)-methylmalonate-semialdehyde			(<i>R</i>)-methylmalonate-semialdehyde // (<i>S</i>)-methylmalonate-semialdehyde
2-methylbutanoyl-CoA + an oxidized electron-transfer flavoprotein + H+  ->  (E)-2-methylcrotonoyl-CoA + a reduced electron-transfer flavoprotein	EC-1.3.8.5	L-isoleucine degradation I	H<SUP>+</SUP> // an oxidized electron-transfer flavoprotein // 2-methylbutanoyl-CoA // (<i>E</i>)-2-methylcrotonoyl-CoA // a reduced electron-transfer flavoprotein
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate + 4-amino-2-methyl-5-(diphosphomethyl)pyrimidine + 2 H+  =  thiamine phosphate + CO2 + diphosphate	EC-2.5.1.3		H<SUP>+</SUP> // 4-amino-2-methyl-5-(diphosphomethyl)pyrimidine // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate // thiamine phosphate // CO<SUB>2</SUB> // diphosphate
ATP + AMP  ->  2 ADP	EC-2.7.4.3	adenosine ribonucleotides <i>de novo</i> biosynthesis	AMP // ATP // ADP
S-adenosyl-L-methionine + a [phospholipid] olefinic fatty acid  ->  a [phospholipid] methylene fatty acid + S-adenosyl-L-homocysteine + H+	EC-2.1.1.16		a [phospholipid] olefinic fatty acid // <i>S</i>-adenosyl-L-methionine // a [phospholipid] methylene fatty acid // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>
lipoyl-adenylate + [glycine cleavage system lipoyl-carrier protein]-L-lysine  ->  a [glycine-cleavage complex H protein] N6-[(R)-lipoyl]-L-lysine + AMP + 2 H+		lipoate--GcvH protein ligase	[glycine cleavage system lipoyl-carrier protein]-L-lysine // lipoyl-adenylate // a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // AMP // H<SUP>+</SUP>
2-carboxy-L-xylonolactone + H2O  ->  2-carboxy-L-threo-pentonate + H+		L-ascorbate degradation V	H<sub>2</sub>O // 2-carboxy-L-xylonolactone // 2-carboxy-L-<i>threo</i>-pentonate // H<SUP>+</SUP>
acetyl-CoA + a [pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine  ->  a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + coenzyme A	EC-2.3.1.12	pyruvate decarboxylation to acetyl CoA	a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-dihydrolipoyl-L-lysine // acetyl-CoA // coenzyme A // a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-acetyldihydrolipoyl-L-lysine
pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)		pyruvate + a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + CO2	thiamine diphosphate // pyruvate // H<SUP>+</SUP> // 2-(&alpha;-hydroxyethyl)thiamine diphosphate // CO<SUB>2</SUB>
D-erythro-sphinganine + a long-chain fatty acyl-CoA  ->  a dihydroceramide + coenzyme A + H+		ceramide <i>de novo</i> biosynthesis	a long-chain fatty acyl-CoA // D-<i>erythro</i>-sphinganine // a dihydroceramide // coenzyme A // H<SUP>+</SUP>
ADP-ribose 1",2"-cyclic phosphate 2''-phosphodiesterase	EC-3.1.4	tRNA splicing	H<sub>2</sub>O // ADP ribose 1'',2''-cyclic phosphate // H<SUP>+</SUP> // ADP ribose 1''-phosphate
fatty aldehyde dehydrogenase	EC-1.2.1.3		H<sub>2</sub>O // NAD<sup>+</sup> // a 2-methyl branched 2,3,4-saturated fatty aldehyde // a 2-methyl branched 2,3,4-saturated fatty acid // NADH // H<SUP>+</SUP>
a 2,3,4-saturated (3S)-3-hydroxyacyl-CoA  <-  a (2E)-2-enoyl-CoA + H2O	EC-4.2.1.17	fatty acid &beta;-oxidation II (peroxisome) // fatty acid &beta;-oxidation I	a 2,3,4-saturated (3<i>S</i>)-3-hydroxyacyl-CoA // a (2<i>E</i>)-2-enoyl-CoA // H<sub>2</sub>O
dimethylallyl diphosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O  <-  (E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 H+	EC-1.17.7.4	methylerythritol phosphate pathway II	H<sub>2</sub>O // an oxidized ferredoxin [iron-sulfur] cluster // dimethylallyl diphosphate // (<i>E</i>)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate // a reduced ferredoxin [iron-sulfur] cluster // H<SUP>+</SUP>
2-oxoglutarate + a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + CO2	EC-1.2.4.2	2-oxoglutarate decarboxylation to succinyl-CoA // 2-oxoglutarate dehydrogenase complex	H<SUP>+</SUP> // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // 2-oxoglutarate // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-succinyldihydrolipoyl-L-lysine // CO<SUB>2</SUB>
3-hydroxypropanoyl-CoA + H2O  ->  3-hydroxypropanoate + coenzyme A + H+	EC-3.1.2.4		H<sub>2</sub>O // 3-hydroxypropanoyl-CoA // H<SUP>+</SUP> // 3-hydroxypropanoate // coenzyme A
5',5'''-diadenosine triphosphate + H2O  =  AMP + ADP + 2 H+	EC-3.6.1.29		H<sub>2</sub>O // 5',5'''-diadenosine triphosphate // H<SUP>+</SUP> // AMP // ADP
NAD+ + H2O  =  beta-nicotinamide D-ribonucleotide + AMP + 2 H+	EC-3.6.1.22		NAD<sup>+</sup> // H<sub>2</sub>O // H<SUP>+</SUP> // &beta;-nicotinamide D-ribonucleotide // AMP
a sphingomyelin + H2O  ->  a ceramide + phosphocholine + H+	EC-3.1.4.12		H<sub>2</sub>O // a sphingomyelin // a ceramide // phosphocholine // H<SUP>+</SUP>
prolycopene  ->  all-trans-lycopene	EC-5.2.1.13	<i>trans</i>-lycopene biosynthesis II (plants)	prolycopene // <i>all-trans</i>-lycopene
straight chain (<i>R</i>)-2-hydroxy fatty acyl-CoA ligase	EC-6.2.1		coenzyme A // ATP // a (2<i>R</i>)-2-hydroxy even numbered straight chain 2,3,4-saturated fatty acid // a (<i>R</i>)-2-hydroxy even numbered straight chain 2,3,4-saturated fatty acyl CoA // AMP // diphosphate
a [lipoyl-carrier protein]-N6-[(R)-dihydrolipoyl]-L-lysine + NAD+  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + NADH + H+	EC-1.8.1.4		NAD<sup>+</sup> // a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(R)-dihydrolipoyl]-L-lysine // a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // NADH // H<SUP>+</SUP>
phospholipase A2	EC-3.1.1.4	phospholipid remodeling (phosphatidate, yeast)	H<sub>2</sub>O // dioleoyl phosphatidate // 1-oleyl-2-lyso-phosphatidate // oleate // H<SUP>+</SUP>
3-methyl-2-oxobutanoate + 5,10-methylene-tetrahydromethanopterin + H2O  =  2-dehydropantoate + tetrahydromethanopterin	EC-2.1.2.11		H<sub>2</sub>O // 3-methyl-2-oxobutanoate // 5,10-methylene-tetrahydromethanopterin // 2-dehydropantoate // tetrahydromethanopterin
2 nitric oxide + NAD(P)H + 2 oxygen  ->  2 nitrate + NAD(P)+ + H+	EC-1.14.12.17		NAD(P)H // oxygen // nitric oxide // nitrate // NAD(P)<sup>+</sup> // H<SUP>+</SUP>
histidinal + NAD+ + H2O  ->  L-histidine + NADH + 2 H+		histidinol + 2 NAD+ + H2O  ->  L-histidine + 2 NADH + 3 H+	H<sub>2</sub>O // NAD<sup>+</sup> // histidinal // H<SUP>+</SUP> // L-histidine // NADH
<i>trans</i>-2,3-stearoyl-CoA-reductase (NADPH, B-specific)	EC-1.3.1		NADP<sup>+</sup> // stearoyl-CoA // <i>trans</i>-octadec-2-enoyl-CoA // NADPH // H<SUP>+</SUP>
(3S)-hydroxy-(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + NAD+  ->  3-oxo-(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + NADH + H+	EC-1.1.1	docosahexaenoate biosynthesis III (6-desaturase, mammals)	NAD<sup>+</sup> // (3S)-hydroxy-(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA // 3-oxo-(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA // NADH // H<SUP>+</SUP>
a [protein]-L-histidine + 2,3-diphospho-D-glycerate  <-->  a [protein]-Npi-phospho-L-histidine + 2-or-3 phospho-D-glycerate		2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	2,3-diphospho-D-glycerate // a [protein]-L-histidine // a [protein]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine // 2-or-3 phospho-D-glycerate
